"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-afad1236-1-one-1","numerals-afad1236-1","Chan2019","one",1,"sə́rə̀jā","saraja","","false",NA,NA,NA
"2","numerals-afad1236-1-two-1","numerals-afad1236-1","Chan2019","two",2,"sɗā","sda","","false",NA,NA,NA
"3","numerals-afad1236-1-three-1","numerals-afad1236-1","Chan2019","three",3,"ɡàrkə̀","garka","","false",NA,NA,NA
"4","numerals-afad1236-1-four-1","numerals-afad1236-1","Chan2019","four",4,"ɡàɗē","gade","","false",NA,NA,NA
"5","numerals-afad1236-1-five-1","numerals-afad1236-1","Chan2019","five",5,"ʃìʃí","sisi","","false",NA,NA,NA
"6","numerals-afad1236-1-six-1","numerals-afad1236-1","Chan2019","six",6,"və̀nārkə̄","vanarka","( 2 x 3 )","false",NA,NA,NA
"7","numerals-afad1236-1-seven-1","numerals-afad1236-1","Chan2019","seven",7,"kàtùl","katul","","false",NA,NA,NA
"8","numerals-afad1236-1-eight-1","numerals-afad1236-1","Chan2019","eight",8,"vìyāɗē","viyade","( 2 x 4 )","false",NA,NA,NA
"9","numerals-afad1236-1-nine-1","numerals-afad1236-1","Chan2019","nine",9,"dìʃẽ̄","dise","","false",NA,NA,NA
"10","numerals-afad1236-1-ten-1","numerals-afad1236-1","Chan2019","ten",10,"χkàn","khkan","","false",NA,NA,NA
"11","numerals-afad1236-1-eleven-1","numerals-afad1236-1","Chan2019","eleven",11,"χkàn kát kú","khkankatku","","false",NA,NA,NA
"12","numerals-afad1236-1-twelve-1","numerals-afad1236-1","Chan2019","twelve",12,"χkàn kát sɗā","khkankatsda","","false",NA,NA,NA
"13","numerals-afad1236-1-thirteen-1","numerals-afad1236-1","Chan2019","thirteen",13,"χkàn kát ɡàrkə̀","khkankatgarka","","false",NA,NA,NA
"14","numerals-afad1236-1-fourteen-1","numerals-afad1236-1","Chan2019","fourteen",14,"χkàn kát ɡàɗē","khkankatgade","","false",NA,NA,NA
"15","numerals-afad1236-1-fifteen-1","numerals-afad1236-1","Chan2019","fifteen",15,"χkàn kát ʃìʃí","khkankatsisi","","false",NA,NA,NA
"16","numerals-afad1236-1-sixteen-1","numerals-afad1236-1","Chan2019","sixteen",16,"χkàn kát və̀nārkə̄","khkankatvanarka","","false",NA,NA,NA
"17","numerals-afad1236-1-seventeen-1","numerals-afad1236-1","Chan2019","seventeen",17,"χkàn kát kàtùl","khkankatkatul","","false",NA,NA,NA
"18","numerals-afad1236-1-eighteen-1","numerals-afad1236-1","Chan2019","eighteen",18,"χkàn kát vìyāɗē","khkankatviyade","","false",NA,NA,NA
"19","numerals-afad1236-1-nineteen-1","numerals-afad1236-1","Chan2019","nineteen",19,"χkàn kát dìʃẽ̄","khkankatdise","","false",NA,NA,NA
"20","numerals-afad1236-1-twenty-1","numerals-afad1236-1","Chan2019","twenty",20,"ətkə́m","atkam","","false",NA,NA,NA
"21","numerals-afad1236-1-twentyone-1","numerals-afad1236-1","Chan2019","twentyone",21,"ətkə́m kát kú","atkamkatku","","false",NA,NA,NA
"22","numerals-afad1236-1-twentytwo-1","numerals-afad1236-1","Chan2019","twentytwo",22,"ətkə́m kát sɗā","atkamkatsda","","false",NA,NA,NA
"23","numerals-afad1236-1-twentythree-1","numerals-afad1236-1","Chan2019","twentythree",23,"ətkə́m kát ɡàrkə̀","atkamkatgarka","","false",NA,NA,NA
"24","numerals-afad1236-1-twentyfour-1","numerals-afad1236-1","Chan2019","twentyfour",24,"ətkə́m kát ɡàɗē","atkamkatgade","","false",NA,NA,NA
"25","numerals-afad1236-1-twentyfive-1","numerals-afad1236-1","Chan2019","twentyfive",25,"ətkə́m kát ʃìʃí","atkamkatsisi","","false",NA,NA,NA
"26","numerals-afad1236-1-twentysix-1","numerals-afad1236-1","Chan2019","twentysix",26,"ətkə́m kát və̀nārkə̄","atkamkatvanarka","","false",NA,NA,NA
"27","numerals-afad1236-1-twentyseven-1","numerals-afad1236-1","Chan2019","twentyseven",27,"ətkə́m kát kàtùl","atkamkatkatul","","false",NA,NA,NA
"28","numerals-afad1236-1-twentyeight-1","numerals-afad1236-1","Chan2019","twentyeight",28,"ətkə́m kát vìyāɗē","atkamkatviyade","","false",NA,NA,NA
"29","numerals-afad1236-1-twentynine-1","numerals-afad1236-1","Chan2019","twentynine",29,"ətkə́m kát dìʃẽ̄","atkamkatdise","","false",NA,NA,NA
"30","numerals-afad1236-1-thirty-1","numerals-afad1236-1","Chan2019","thirty",30,"tàlàtíǹ","talatin","< Chadic Arabic","true",NA,NA,NA
"31","numerals-afad1236-1-forty-1","numerals-afad1236-1","Chan2019","forty",40,"àrbàyíǹ","arbayin","< Chadic Arabic","true",NA,NA,NA
"32","numerals-afad1236-1-fifty-1","numerals-afad1236-1","Chan2019","fifty",50,"hàmsíǹ","hamsin","< Chadic Arabic","true",NA,NA,NA
"33","numerals-afad1236-1-sixty-1","numerals-afad1236-1","Chan2019","sixty",60,"sìtíǹ","sitin","< Chadic Arabic","true",NA,NA,NA
"34","numerals-afad1236-1-seventy-1","numerals-afad1236-1","Chan2019","seventy",70,"sàpíǹ","sapin","< Chadic Arabic","true",NA,NA,NA
"35","numerals-afad1236-1-eighty-1","numerals-afad1236-1","Chan2019","eighty",80,"tàmàníǹ","tamanin","< Chadic Arabic","true",NA,NA,NA
"36","numerals-afad1236-1-ninety-1","numerals-afad1236-1","Chan2019","ninety",90,"tìsíǹ","tisin","< Chadic Arabic","true",NA,NA,NA
"37","numerals-afad1236-1-hundred-1","numerals-afad1236-1","Chan2019","hundred",100,"míyà","miya","< Chadic Arabic","true",NA,NA,NA
"38","numerals-afad1236-1-twohundred-1","numerals-afad1236-1","Chan2019","twohundred",200,"míyà sɗā","miyasda","","false",NA,NA,NA
"39","numerals-afad1236-1-thousand-1","numerals-afad1236-1","Chan2019","thousand",1000,"dúbú","dubu","< Hausa","true",NA,NA,NA
"40","numerals-afad1236-1-twothousand-1","numerals-afad1236-1","Chan2019","twothousand",2000,"dúbú sɗā","dubusda","","false",NA,NA,NA
