"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-awin1248-1-one-1","numerals-awin1248-1","Chan2019","one",1,"mɔ̌","mo","","false",NA,NA,NA
"2","numerals-awin1248-1-two-1","numerals-awin1248-1","Chan2019","two",2,"pɛ́","pe","","false",NA,NA,NA
"3","numerals-awin1248-1-three-1","numerals-awin1248-1","Chan2019","three",3,"térə́","tera","","false",NA,NA,NA
"4","numerals-awin1248-1-four-1","numerals-awin1248-1","Chan2019","four",4,"nə̀kwà","nakwa","","false",NA,NA,NA
"5","numerals-awin1248-1-five-1","numerals-awin1248-1","Chan2019","five",5,"ténə̀","tena","","false",NA,NA,NA
"6","numerals-awin1248-1-six-1","numerals-awin1248-1","Chan2019","six",6,"tóɣə́","toga","","false",NA,NA,NA
"7","numerals-awin1248-1-seven-1","numerals-awin1248-1","Chan2019","seven",7,"sàmbɛ́","sambe","","false",NA,NA,NA
"8","numerals-awin1248-1-eight-1","numerals-awin1248-1","Chan2019","eight",8,"nə̀fémə́","nafema","","false",NA,NA,NA
"9","numerals-awin1248-1-nine-1","numerals-awin1248-1","Chan2019","nine",9,"nə̀púʔə́","napua","","false",NA,NA,NA
"10","numerals-awin1248-1-ten-1","numerals-awin1248-1","Chan2019","ten",10,"nə̀ɣə́mə́","nagama","","false",NA,NA,NA
"11","numerals-awin1248-1-eleven-1","numerals-awin1248-1","Chan2019","eleven",11,"tsɔ̀pmɔ̌ʔ","tsopmo","","false",NA,NA,NA
"12","numerals-awin1248-1-twelve-1","numerals-awin1248-1","Chan2019","twelve",12,"tsɔ̀ppɛ̌","tsoppe","","false",NA,NA,NA
"13","numerals-awin1248-1-thirteen-1","numerals-awin1248-1","Chan2019","thirteen",13,"tsɔ̀ptérə̀","tsoptera","","false",NA,NA,NA
"14","numerals-awin1248-1-fourteen-1","numerals-awin1248-1","Chan2019","fourteen",14,"tsɔ̀pnə̀kwà","tsopnakwa","","false",NA,NA,NA
"15","numerals-awin1248-1-fifteen-1","numerals-awin1248-1","Chan2019","fifteen",15,"tsɔ̀ptérə̀","tsoptera","","false",NA,NA,NA
"16","numerals-awin1248-1-sixteen-1","numerals-awin1248-1","Chan2019","sixteen",16,"tsɔ̀pntùɣə́","tsopntuga","","false",NA,NA,NA
"17","numerals-awin1248-1-seventeen-1","numerals-awin1248-1","Chan2019","seventeen",17,"tsɔ̀psàmbɛ́","tsopsambe","","false",NA,NA,NA
"18","numerals-awin1248-1-eighteen-1","numerals-awin1248-1","Chan2019","eighteen",18,"tsɔ̀pnə̀fémə́","tsopnafema","","false",NA,NA,NA
