"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-bakw1243-1-one-1","numerals-bakw1243-1","Chan2019","one",1,"ɗôː","do","","false",NA,NA,NA
"2","numerals-bakw1243-1-two-1","numerals-bakw1243-1","Chan2019","two",2,"sɔ̂ː","so","","false",NA,NA,NA
"3","numerals-bakw1243-1-three-1","numerals-bakw1243-1","Chan2019","three",3,"tʌ̄ː","t","","false",NA,NA,NA
"4","numerals-bakw1243-1-four-1","numerals-bakw1243-1","Chan2019","four",4,"mɾɔ̄ː","mro","","false",NA,NA,NA
"5","numerals-bakw1243-1-five-1","numerals-bakw1243-1","Chan2019","five",5,"ɡ͡bə̀ə̄","gbaa","","false",NA,NA,NA
"6","numerals-bakw1243-1-six-1","numerals-bakw1243-1","Chan2019","six",6,"ŋǔːɗō","ngudo","( 5 + 1 )","false",NA,NA,NA
"7","numerals-bakw1243-1-seven-1","numerals-bakw1243-1","Chan2019","seven",7,"ŋǔːsɔ̄","nguso","( 5 + 2 )","false",NA,NA,NA
"8","numerals-bakw1243-1-eight-1","numerals-bakw1243-1","Chan2019","eight",8,"ŋǔːtʌ̄","ngut","( 5 + 3 )","false",NA,NA,NA
"9","numerals-bakw1243-1-nine-1","numerals-bakw1243-1","Chan2019","nine",9,"ŋǔːmɾɔ̄","ngumro","( 5 + 4 )","false",NA,NA,NA
"10","numerals-bakw1243-1-ten-1","numerals-bakw1243-1","Chan2019","ten",10,"pʊ̀","pu","","false",NA,NA,NA
"11","numerals-bakw1243-1-eleven-1","numerals-bakw1243-1","Chan2019","eleven",11,"pʊ̀ bɛ̀ de᷅ː","pubede","","false",NA,NA,NA
"12","numerals-bakw1243-1-twelve-1","numerals-bakw1243-1","Chan2019","twelve",12,"pʊ̀ bɛ̀ sɔ᷅ː","pubeso","","false",NA,NA,NA
"13","numerals-bakw1243-1-thirteen-1","numerals-bakw1243-1","Chan2019","thirteen",13,"pʊ̀ bɛ̀ tʌ̄ː","pubet","","false",NA,NA,NA
"14","numerals-bakw1243-1-fourteen-1","numerals-bakw1243-1","Chan2019","fourteen",14,"pʊ̀ bɛ̀ mɾɔ̄ː","pubemro","","false",NA,NA,NA
"15","numerals-bakw1243-1-fifteen-1","numerals-bakw1243-1","Chan2019","fifteen",15,"pʊ̀ bɛ̀ ɡ͡bə̀ə̄","pubegbaa","","false",NA,NA,NA
"16","numerals-bakw1243-1-sixteen-1","numerals-bakw1243-1","Chan2019","sixteen",16,"pʊ̀ bɛ̀ ŋǔːɗō","pubengudo","","false",NA,NA,NA
"17","numerals-bakw1243-1-seventeen-1","numerals-bakw1243-1","Chan2019","seventeen",17,"pʊ̀ bɛ̀ ŋǔːsɔ̄","pubenguso","","false",NA,NA,NA
"18","numerals-bakw1243-1-eighteen-1","numerals-bakw1243-1","Chan2019","eighteen",18,"pʊ̀ bɛ̀ ŋǔːtʌ̄","pubengut","","false",NA,NA,NA
"19","numerals-bakw1243-1-nineteen-1","numerals-bakw1243-1","Chan2019","nineteen",19,"pʊ̀ bɛ̀ ŋǔːmɾɔ̄","pubengumro","","false",NA,NA,NA
"20","numerals-bakw1243-1-twenty-1","numerals-bakw1243-1","Chan2019","twenty",20,"ɡrʊ̀","gru","","false",NA,NA,NA
"21","numerals-bakw1243-1-twentyone-1","numerals-bakw1243-1","Chan2019","twentyone",21,"ɡrʊ̀ bɛ̀ de᷅ː","grubede","","false",NA,NA,NA
"22","numerals-bakw1243-1-twentytwo-1","numerals-bakw1243-1","Chan2019","twentytwo",22,"ɡrʊ̀ bɛ̀ sɔ᷅ː","grubeso","","false",NA,NA,NA
"23","numerals-bakw1243-1-twentythree-1","numerals-bakw1243-1","Chan2019","twentythree",23,"ɡrʊ̀ bɛ̀ tʌ̄ː","grubet","","false",NA,NA,NA
"24","numerals-bakw1243-1-twentyfour-1","numerals-bakw1243-1","Chan2019","twentyfour",24,"ɡrʊ̀ bɛ̀ mɾɔ̄ː","grubemro","","false",NA,NA,NA
"25","numerals-bakw1243-1-twentyfive-1","numerals-bakw1243-1","Chan2019","twentyfive",25,"ɡrʊ̀ bɛ̀ ɡ͡bə̀ə̄","grubegbaa","","false",NA,NA,NA
"26","numerals-bakw1243-1-twentysix-1","numerals-bakw1243-1","Chan2019","twentysix",26,"ɡrʊ̀ bɛ̀ ŋǔːɗō","grubengudo","","false",NA,NA,NA
"27","numerals-bakw1243-1-twentyseven-1","numerals-bakw1243-1","Chan2019","twentyseven",27,"ɡrʊ̀ bɛ̀ ŋǔːsɔ̄","grubenguso","","false",NA,NA,NA
"28","numerals-bakw1243-1-twentyeight-1","numerals-bakw1243-1","Chan2019","twentyeight",28,"ɡrʊ̀ bɛ̀ ŋǔːtʌ̄","grubengut","","false",NA,NA,NA
"29","numerals-bakw1243-1-twentynine-1","numerals-bakw1243-1","Chan2019","twentynine",29,"ɡrʊ̀ bɛ̀ ŋǔːmɾɔ̄","grubengumro","","false",NA,NA,NA
"30","numerals-bakw1243-1-thirty-1","numerals-bakw1243-1","Chan2019","thirty",30,"ɡrʊ̀ bɛ̀ pʊ̀","grubepu","","false",NA,NA,NA
"31","numerals-bakw1243-1-forty-1","numerals-bakw1243-1","Chan2019","forty",40,"ɡlʷɪ̀ sɔ᷅ː","glwiso","( 20 x 2 )","false",NA,NA,NA
"32","numerals-bakw1243-1-fifty-1","numerals-bakw1243-1","Chan2019","fifty",50,"ɡlʷɪ̀ sɔ᷅ː bɛ̀ pʊ̀","glwisobepu","","false",NA,NA,NA
"33","numerals-bakw1243-1-sixty-1","numerals-bakw1243-1","Chan2019","sixty",60,"ɡlʷɪ̀ tʌ̄ː","glwit","( 20 x 3 )","false",NA,NA,NA
"34","numerals-bakw1243-1-seventy-1","numerals-bakw1243-1","Chan2019","seventy",70,"ɡlʷɪ̀ tʌ̄ː bɛ̀ pʊ̀","glwitbepu","","false",NA,NA,NA
"35","numerals-bakw1243-1-eighty-1","numerals-bakw1243-1","Chan2019","eighty",80,"ɡlʷɪ̀ mɾɔ̄ː","glwimro","( 20 x 4 )","false",NA,NA,NA
"36","numerals-bakw1243-1-ninety-1","numerals-bakw1243-1","Chan2019","ninety",90,"ɡlʷɪ̀ mɾɔ̄ː bɛ̀ pʊ̀","glwimrobepu","","false",NA,NA,NA
"37","numerals-bakw1243-1-hundred-1","numerals-bakw1243-1","Chan2019","hundred",100,"ɡlʷɪ̀ ɡ͡bə̀","glwigba","( 20 x 5 )","false",NA,NA,NA
"38","numerals-bakw1243-1-twohundred-1","numerals-bakw1243-1","Chan2019","twohundred",200,"ɡlʷɪ̀ pʊ̀","glwipu","( 20 x 10 )","false",NA,NA,NA
"39","numerals-bakw1243-1-thousand-1","numerals-bakw1243-1","Chan2019","thousand",1000,"dì sɔ́ ɡlʷɪ̀ pʊ̀","disoglwipu","","false",NA,NA,NA
"40","numerals-bakw1243-1-twothousand-1","numerals-bakw1243-1","Chan2019","twothousand",2000,"dì ɡ͡bə̀","digba","","false",NA,NA,NA
