"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-buli1254-1-one-1","numerals-buli1254-1","Chan2019","one",1,"-yéŋ","yeng","","false",NA,NA,NA
"2","numerals-buli1254-1-one-2","numerals-buli1254-1","Chan2019","one",1,"wà-ɲī","wani","","false",NA,NA,NA
"3","numerals-buli1254-1-two-1","numerals-buli1254-1","Chan2019","two",2,"bà-yɛ̀","baye","","false",NA,NA,NA
"4","numerals-buli1254-1-three-1","numerals-buli1254-1","Chan2019","three",3,"bà-tà","bata","","false",NA,NA,NA
"5","numerals-buli1254-1-four-1","numerals-buli1254-1","Chan2019","four",4,"bà-nààsì","banaasi","","false",NA,NA,NA
"6","numerals-buli1254-1-five-1","numerals-buli1254-1","Chan2019","five",5,"bà-nù","banu","","false",NA,NA,NA
"7","numerals-buli1254-1-six-1","numerals-buli1254-1","Chan2019","six",6,"bà-yùèbì","bayuebi","","false",NA,NA,NA
"8","numerals-buli1254-1-seven-1","numerals-buli1254-1","Chan2019","seven",7,"bà-yòpɔ̄āī","bayopoai","","false",NA,NA,NA
"9","numerals-buli1254-1-eight-1","numerals-buli1254-1","Chan2019","eight",8,"nāāniŋ","naaning","","false",NA,NA,NA
"10","numerals-buli1254-1-nine-1","numerals-buli1254-1","Chan2019","nine",9,"nèūk","neuk","","false",NA,NA,NA
"11","numerals-buli1254-1-ten-1","numerals-buli1254-1","Chan2019","ten",10,"pī","pi","","false",NA,NA,NA
"12","numerals-buli1254-1-eleven-1","numerals-buli1254-1","Chan2019","eleven",11,"pī lè wà-ɲī","pilewani","","false",NA,NA,NA
"13","numerals-buli1254-1-twelve-1","numerals-buli1254-1","Chan2019","twelve",12,"pī lè bà-yɛ̀","pilebaye","","false",NA,NA,NA
"14","numerals-buli1254-1-thirteen-1","numerals-buli1254-1","Chan2019","thirteen",13,"pī lè bà-tà","pilebata","","false",NA,NA,NA
"15","numerals-buli1254-1-fourteen-1","numerals-buli1254-1","Chan2019","fourteen",14,"pī lè bà-nààsì","pilebanaasi","","false",NA,NA,NA
"16","numerals-buli1254-1-fifteen-1","numerals-buli1254-1","Chan2019","fifteen",15,"pī lè bà-nù","pilebanu","","false",NA,NA,NA
"17","numerals-buli1254-1-sixteen-1","numerals-buli1254-1","Chan2019","sixteen",16,"pī lè bà-yùèbì","pilebayuebi","","false",NA,NA,NA
