"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-dewo1238-1-one-1","numerals-dewo1238-1","Chan2019","one",1,"ɡ͡bǒ","gbo","","false",NA,NA,NA
"2","numerals-dewo1238-1-two-1","numerals-dewo1238-1","Chan2019","two",2,"sɔ̃́","so","","false",NA,NA,NA
"3","numerals-dewo1238-1-three-1","numerals-dewo1238-1","Chan2019","three",3,"ta","ta","","false",NA,NA,NA
"4","numerals-dewo1238-1-four-1","numerals-dewo1238-1","Chan2019","four",4,"hĩinyɛ","hiinye","","false",NA,NA,NA
"5","numerals-dewo1238-1-five-1","numerals-dewo1238-1","Chan2019","five",5,"hm̀m̌","hmm","","false",NA,NA,NA
"6","numerals-dewo1238-1-six-1","numerals-dewo1238-1","Chan2019","six",6,"meɖe-ɡ͡bǒ","medegbo","( 5 + 1 )","false",NA,NA,NA
"7","numerals-dewo1238-1-seven-1","numerals-dewo1238-1","Chan2019","seven",7,"meɖe-sɔ̃́","medeso","( 5 + 2 )","false",NA,NA,NA
"8","numerals-dewo1238-1-eight-1","numerals-dewo1238-1","Chan2019","eight",8,"meɖe-ta","medeta","( 5 + 3 )","false",NA,NA,NA
"9","numerals-dewo1238-1-nine-1","numerals-dewo1238-1","Chan2019","nine",9,"meɖe-hĩinyɛ","medehiinye","( 5 + 4 )","false",NA,NA,NA
"10","numerals-dewo1238-1-ten-1","numerals-dewo1238-1","Chan2019","ten",10,"vù","vu","","false",NA,NA,NA
"11","numerals-dewo1238-1-eleven-1","numerals-dewo1238-1","Chan2019","eleven",11,"vù sèvé ɡ͡bǒ","vusevegbo","","false",NA,NA,NA
"12","numerals-dewo1238-1-twelve-1","numerals-dewo1238-1","Chan2019","twelve",12,"vù sèvé sɔ̃́","vuseveso","","false",NA,NA,NA
"13","numerals-dewo1238-1-thirteen-1","numerals-dewo1238-1","Chan2019","thirteen",13,"vù sèvé ta","vuseveta","","false",NA,NA,NA
"14","numerals-dewo1238-1-fourteen-1","numerals-dewo1238-1","Chan2019","fourteen",14,"vù sèvé hĩinyɛ","vusevehiinye","","false",NA,NA,NA
"15","numerals-dewo1238-1-fifteen-1","numerals-dewo1238-1","Chan2019","fifteen",15,"vù sèvé hm̀m̌","vusevehmm","","false",NA,NA,NA
"16","numerals-dewo1238-1-sixteen-1","numerals-dewo1238-1","Chan2019","sixteen",16,"vù sèvé meɖe-ɡ͡bǒ","vusevemedegbo","","false",NA,NA,NA
"17","numerals-dewo1238-1-seventeen-1","numerals-dewo1238-1","Chan2019","seventeen",17,"vù sèvé meɖe-sɔ̃́","vusevemedeso","","false",NA,NA,NA
"18","numerals-dewo1238-1-eighteen-1","numerals-dewo1238-1","Chan2019","eighteen",18,"vù sèvé meɖe-ta","vusevemedeta","","false",NA,NA,NA
"19","numerals-dewo1238-1-nineteen-1","numerals-dewo1238-1","Chan2019","nineteen",19,"vù sèvé meɖe-hĩinyɛ","vusevemedehiinye","","false",NA,NA,NA
"20","numerals-dewo1238-1-twenty-1","numerals-dewo1238-1","Chan2019","twenty",20,"k͡páɖámà","kpadama","","false",NA,NA,NA
"21","numerals-dewo1238-1-twentyone-1","numerals-dewo1238-1","Chan2019","twentyone",21,"k͡páɖámà sèvé ɡ͡bǒ","kpadamasevegbo","","false",NA,NA,NA
"22","numerals-dewo1238-1-twentytwo-1","numerals-dewo1238-1","Chan2019","twentytwo",22,"k͡páɖámà sèvé sɔ̃́","kpadamaseveso","","false",NA,NA,NA
"23","numerals-dewo1238-1-twentythree-1","numerals-dewo1238-1","Chan2019","twentythree",23,"k͡páɖámà sèvé ta","kpadamaseveta","","false",NA,NA,NA
"24","numerals-dewo1238-1-twentyfour-1","numerals-dewo1238-1","Chan2019","twentyfour",24,"k͡páɖámà sèvé hĩinyɛ","kpadamasevehiinye","","false",NA,NA,NA
"25","numerals-dewo1238-1-twentyfive-1","numerals-dewo1238-1","Chan2019","twentyfive",25,"k͡páɖámà sèvé hm̀m̌","kpadamasevehmm","","false",NA,NA,NA
"26","numerals-dewo1238-1-twentysix-1","numerals-dewo1238-1","Chan2019","twentysix",26,"k͡páɖámà sèvé meɖe-ɡ͡bǒ","kpadamasevemedegbo","","false",NA,NA,NA
"27","numerals-dewo1238-1-twentyseven-1","numerals-dewo1238-1","Chan2019","twentyseven",27,"k͡páɖámà sèvé meɖe-sɔ̃́","kpadamasevemedeso","","false",NA,NA,NA
"28","numerals-dewo1238-1-twentyeight-1","numerals-dewo1238-1","Chan2019","twentyeight",28,"k͡páɖámà sèvé meɖe-ta","kpadamasevemedeta","","false",NA,NA,NA
"29","numerals-dewo1238-1-twentynine-1","numerals-dewo1238-1","Chan2019","twentynine",29,"k͡páɖámà sèvé meɖe-hĩinyɛ","kpadamasevemedehiinye","","false",NA,NA,NA
"30","numerals-dewo1238-1-thirty-1","numerals-dewo1238-1","Chan2019","thirty",30,"k͡páɖámà sèvé vù","kpadamasevevu","( 20 + 10 )","false",NA,NA,NA
"31","numerals-dewo1238-1-forty-1","numerals-dewo1238-1","Chan2019","forty",40,"k͡páɖámà sɔ̃́","kpadamaso","( 20 x 2 )","false",NA,NA,NA
"32","numerals-dewo1238-1-fifty-1","numerals-dewo1238-1","Chan2019","fifty",50,"k͡páɖámà sɔ̃́ sèvé vù","kpadamasosevevu","","false",NA,NA,NA
"33","numerals-dewo1238-1-sixty-1","numerals-dewo1238-1","Chan2019","sixty",60,"k͡páɖámà ta","kpadamata","( 20 x 3 )","false",NA,NA,NA
"34","numerals-dewo1238-1-seventy-1","numerals-dewo1238-1","Chan2019","seventy",70,"k͡páɖámà ta sèvé vù","kpadamatasevevu","","false",NA,NA,NA
"35","numerals-dewo1238-1-eighty-1","numerals-dewo1238-1","Chan2019","eighty",80,"k͡páɖámà hĩinyɛ","kpadamahiinye","( 20 x 4 )","false",NA,NA,NA
"36","numerals-dewo1238-1-ninety-1","numerals-dewo1238-1","Chan2019","ninety",90,"k͡páɖámà hĩinyɛ sèvé vù","kpadamahiinyesevevu","","false",NA,NA,NA
"37","numerals-dewo1238-1-hundred-1","numerals-dewo1238-1","Chan2019","hundred",100,"k͡páɖámà hm̀m̌","kpadamahmm","( 20 x 5 )","false",NA,NA,NA
"38","numerals-dewo1238-1-twohundred-1","numerals-dewo1238-1","Chan2019","twohundred",200,"k͡páɖámà vù","kpadamavu","( 20 x 10 )","false",NA,NA,NA
"39","numerals-dewo1238-1-thousand-1","numerals-dewo1238-1","Chan2019","thousand",1000,"k͡páɖámà vù sèvé vù","kpadamavusevevu","( 20 x 10 x 10 )","false",NA,NA,NA
"40","numerals-dewo1238-1-twothousand-1","numerals-dewo1238-1","Chan2019","twothousand",2000,"k͡páɖámà vù sèvé vú sèvé sɔ̃́","kpadamavusevevuseveso","","false",NA,NA,NA
