"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-goro1270-1-one-1","numerals-goro1270-1","Chan2019","one",1,"wák","wak","","false",NA,NA,NA
"2","numerals-goro1270-1-two-1","numerals-goro1270-1","Chan2019","two",2,"ts’ár","tsar","","false",NA,NA,NA
"3","numerals-goro1270-1-three-1","numerals-goro1270-1","Chan2019","three",3,"tám","tam","","false",NA,NA,NA
"4","numerals-goro1270-1-four-1","numerals-goro1270-1","Chan2019","four",4,"ts’iyéħ","tsiyeh","","false",NA,NA,NA
"5","numerals-goro1270-1-five-1","numerals-goro1270-1","Chan2019","five",5,"koɁán","koan","","false",NA,NA,NA
"6","numerals-goro1270-1-six-1","numerals-goro1270-1","Chan2019","six",6,"leħó","leho","","false",NA,NA,NA
"7","numerals-goro1270-1-seven-1","numerals-goro1270-1","Chan2019","seven",7,"faːnqʷʼ","fanqw","","false",NA,NA,NA
"8","numerals-goro1270-1-eight-1","numerals-goro1270-1","Chan2019","eight",8,"daká:t","dakat","","false",NA,NA,NA
"9","numerals-goro1270-1-nine-1","numerals-goro1270-1","Chan2019","nine",9,"gwalé:l","gwalel","","false",NA,NA,NA
"10","numerals-goro1270-1-ten-1","numerals-goro1270-1","Chan2019","ten",10,"miba:nɡʷ","mibangw","","false",NA,NA,NA
"11","numerals-goro1270-1-eleven-1","numerals-goro1270-1","Chan2019","eleven",11,"miba#ne:#wák","mibanewak","","false",NA,NA,NA
"12","numerals-goro1270-1-twelve-1","numerals-goro1270-1","Chan2019","twelve",12,"miba#ne:#tsár","mibanetsar","","false",NA,NA,NA
"13","numerals-goro1270-1-thirteen-1","numerals-goro1270-1","Chan2019","thirteen",13,"miba#ne:#tám","mibanetam","","false",NA,NA,NA
"14","numerals-goro1270-1-fourteen-1","numerals-goro1270-1","Chan2019","fourteen",14,"miba#ne:#ts’iyéħ","mibanetsiyeh","","false",NA,NA,NA
"15","numerals-goro1270-1-fifteen-1","numerals-goro1270-1","Chan2019","fifteen",15,"miba#ne:#koɁán","mibanekoan","","false",NA,NA,NA
"16","numerals-goro1270-1-sixteen-1","numerals-goro1270-1","Chan2019","sixteen",16,"miba#ne:#leħó","mibaneleho","","false",NA,NA,NA
