"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-katc1249-1-one-1","numerals-katc1249-1","Chan2019","one",1,"ŋkɔ́tɔ́","ngkoto","","false",NA,NA,NA
"2","numerals-katc1249-1-two-1","numerals-katc1249-1","Chan2019","two",2,"ɛɛɾa","eera","","false",NA,NA,NA
"3","numerals-katc1249-1-three-1","numerals-katc1249-1","Chan2019","three",3,"íd̪ɔːna","idona","","false",NA,NA,NA
"4","numerals-katc1249-1-four-1","numerals-katc1249-1","Chan2019","four",4,"iɡiiso","igiiso","","false",NA,NA,NA
"5","numerals-katc1249-1-five-1","numerals-katc1249-1","Chan2019","five",5,"it id̪úmú","itidumu","","false",NA,NA,NA
"6","numerals-katc1249-1-six-1","numerals-katc1249-1","Chan2019","six",6,"it id̪úmú úfúń ŋkɔ́tɔ́","itidumuufunngkoto","","false",NA,NA,NA
"7","numerals-katc1249-1-seven-1","numerals-katc1249-1","Chan2019","seven",7,"it id̪úmú úfúń ɛɛɾa","itidumuufuneera","","false",NA,NA,NA
"8","numerals-katc1249-1-eight-1","numerals-katc1249-1","Chan2019","eight",8,"it id̪úmú úfúń íd̪ɔːna","itidumuufunidona","","false",NA,NA,NA
"9","numerals-katc1249-1-nine-1","numerals-katc1249-1","Chan2019","nine",9,"it id̪úmú úfúń iɡiiso","itidumuufunigiiso","","false",NA,NA,NA
"10","numerals-katc1249-1-ten-1","numerals-katc1249-1","Chan2019","ten",10,"ad̪aɓaaɡa","adabaaga","","false",NA,NA,NA
"11","numerals-katc1249-1-eleven-1","numerals-katc1249-1","Chan2019","eleven",11,"ad̪aɓaaɡa úfúń ŋkɔ́tɔ́","adabaagaufunngkoto","","false",NA,NA,NA
"12","numerals-katc1249-1-twelve-1","numerals-katc1249-1","Chan2019","twelve",12,"ad̪aɓaaɡa úfúń ɛɛɾa","adabaagaufuneera","","false",NA,NA,NA
"13","numerals-katc1249-1-thirteen-1","numerals-katc1249-1","Chan2019","thirteen",13,"ad̪aɓaaɡa úfúń íd̪ɔːna","adabaagaufunidona","","false",NA,NA,NA
"14","numerals-katc1249-1-fourteen-1","numerals-katc1249-1","Chan2019","fourteen",14,"ad̪aɓaaɡa úfúń iɡiiso","adabaagaufunigiiso","","false",NA,NA,NA
"15","numerals-katc1249-1-fifteen-1","numerals-katc1249-1","Chan2019","fifteen",15,"ad̪aɓaaɡa úfúń id̪úmú","adabaagaufunidumu","","false",NA,NA,NA
"16","numerals-katc1249-1-sixteen-1","numerals-katc1249-1","Chan2019","sixteen",16,"ad̪aɓaaɡa id̪úmú úfúń ŋkɔ́tɔ́","adabaagaidumuufunngkoto","","false",NA,NA,NA
"17","numerals-katc1249-1-seventeen-1","numerals-katc1249-1","Chan2019","seventeen",17,"ad̪aɓaaɡa id̪úmú úfúń ɛɛɾa","adabaagaidumuufuneera","","false",NA,NA,NA
"18","numerals-katc1249-1-eighteen-1","numerals-katc1249-1","Chan2019","eighteen",18,"ad̪aɓaaɡa id̪úmú úfúń íd̪ɔːna","adabaagaidumuufunidona","","false",NA,NA,NA
"19","numerals-katc1249-1-nineteen-1","numerals-katc1249-1","Chan2019","nineteen",19,"ad̪aɓaaɡa id̪úmú úfúń iɡiiso","adabaagaidumuufunigiiso","","false",NA,NA,NA
"20","numerals-katc1249-1-twenty-1","numerals-katc1249-1","Chan2019","twenty",20,"úkːúmú umudi","ukumuumudi","(litː ''one man'')","false",NA,NA,NA
"21","numerals-katc1249-1-twentyone-1","numerals-katc1249-1","Chan2019","twentyone",21,"úkːúmú umudi úfúń ŋkɔ́tɔ́","ukumuumudiufunngkoto","","false",NA,NA,NA
"22","numerals-katc1249-1-twentytwo-1","numerals-katc1249-1","Chan2019","twentytwo",22,"úkːúmú umudi úfúń ɛɛɾa","ukumuumudiufuneera","","false",NA,NA,NA
"23","numerals-katc1249-1-twentythree-1","numerals-katc1249-1","Chan2019","twentythree",23,"úkːúmú umudi úfúń íd̪ɔːna","ukumuumudiufunidona","","false",NA,NA,NA
"24","numerals-katc1249-1-twentyfour-1","numerals-katc1249-1","Chan2019","twentyfour",24,"úkːúmú umudi úfúń iɡiiso","ukumuumudiufunigiiso","","false",NA,NA,NA
"25","numerals-katc1249-1-twentyfive-1","numerals-katc1249-1","Chan2019","twentyfive",25,"úkːúmú umudi úfúń id̪úmú","ukumuumudiufunidumu","","false",NA,NA,NA
"26","numerals-katc1249-1-twentysix-1","numerals-katc1249-1","Chan2019","twentysix",26,"úkːúmú umudi úfúń id̪úmú úfúń ŋkɔ́tɔ́","ukumuumudiufunidumuufunngkoto","","false",NA,NA,NA
"27","numerals-katc1249-1-twentyseven-1","numerals-katc1249-1","Chan2019","twentyseven",27,"úkːúmú umudi úfúń id̪úmú úfúń ɛɛɾa","ukumuumudiufunidumuufuneera","","false",NA,NA,NA
"28","numerals-katc1249-1-twentyeight-1","numerals-katc1249-1","Chan2019","twentyeight",28,"úkːúmú umudi úfúń id̪úmú úfúń íd̪ɔːna","ukumuumudiufunidumuufunidona","","false",NA,NA,NA
"29","numerals-katc1249-1-twentynine-1","numerals-katc1249-1","Chan2019","twentynine",29,"úkːúmú umudi úfúń id̪úmú úfúń iɡiiso","ukumuumudiufunidumuufunigiiso","","false",NA,NA,NA
"30","numerals-katc1249-1-thirty-1","numerals-katc1249-1","Chan2019","thirty",30,"úkːúmú umudi úfúń ad̪aɓaaɡa","ukumuumudiufunadabaaga","","false",NA,NA,NA
"31","numerals-katc1249-1-forty-1","numerals-katc1249-1","Chan2019","forty",40,"kad̪ʊ kɛɛɾa","kadukeera","","false",NA,NA,NA
"32","numerals-katc1249-1-fifty-1","numerals-katc1249-1","Chan2019","fifty",50,"kad̪ʊ kɛɛɾa ad̪aɓaaɡa","kadukeeraadabaaga","","false",NA,NA,NA
"33","numerals-katc1249-1-sixty-1","numerals-katc1249-1","Chan2019","sixty",60,"kad̪ʊ kíd̪ɔːna","kadukidona","","false",NA,NA,NA
"34","numerals-katc1249-1-seventy-1","numerals-katc1249-1","Chan2019","seventy",70,"kad̪ʊ kíd̪ɔːna ad̪aɓaaɡa","kadukidonaadabaaga","","false",NA,NA,NA
"35","numerals-katc1249-1-eighty-1","numerals-katc1249-1","Chan2019","eighty",80,"kad̪ʊ kiɡiiso","kadukigiiso","","false",NA,NA,NA
"36","numerals-katc1249-1-ninety-1","numerals-katc1249-1","Chan2019","ninety",90,"kad̪ʊ kiɡiiso ad̪aɓaaɡa","kadukigiisoadabaaga","","false",NA,NA,NA
"37","numerals-katc1249-1-hundred-1","numerals-katc1249-1","Chan2019","hundred",100,"kad̪ʊ kid̪úmú","kadukidumu","","false",NA,NA,NA
"38","numerals-katc1249-1-twohundred-1","numerals-katc1249-1","Chan2019","twohundred",200,"kad̪ʊ kad̪aɓaaɡa","kadukadabaaga","","false",NA,NA,NA
"39","numerals-katc1249-1-thousand-1","numerals-katc1249-1","Chan2019","thousand",1000,"kad̪ʊ kad̪aɓaaɡa kid̪úmú","kadukadabaagakidumu","","false",NA,NA,NA
"40","numerals-katc1249-1-twothousand-1","numerals-katc1249-1","Chan2019","twothousand",2000,"kad̪ʊ kad̪aɓaaɡa kɛɛɾa","kadukadabaagakeera","","false",NA,NA,NA
