"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kono1265-1-one-1","numerals-kono1265-1","Chan2019","one",1,"kamo","kamo","","false",NA,NA,NA
"2","numerals-kono1265-1-two-1","numerals-kono1265-1","Chan2019","two",2,"kabhili","kabhili","","false",NA,NA,NA
"3","numerals-kono1265-1-three-1","numerals-kono1265-1","Chan2019","three",3,"katatu","katatu","","false",NA,NA,NA
"4","numerals-kono1265-1-four-1","numerals-kono1265-1","Chan2019","four",4,"kanne","kanne","","false",NA,NA,NA
"5","numerals-kono1265-1-five-1","numerals-kono1265-1","Chan2019","five",5,"katano","katano","","false",NA,NA,NA
"6","numerals-kono1265-1-six-1","numerals-kono1265-1","Chan2019","six",6,"mɡaɡa","mgaga","","false",NA,NA,NA
"7","numerals-kono1265-1-seven-1","numerals-kono1265-1","Chan2019","seven",7,"mpunɡati","mpungati","","false",NA,NA,NA
"8","numerals-kono1265-1-eight-1","numerals-kono1265-1","Chan2019","eight",8,"mnana","mnana","","false",NA,NA,NA
"9","numerals-kono1265-1-nine-1","numerals-kono1265-1","Chan2019","nine",9,"kenda","kenda","","false",NA,NA,NA
"10","numerals-kono1265-1-ten-1","numerals-kono1265-1","Chan2019","ten",10,"ikumi","ikumi","","false",NA,NA,NA
"11","numerals-kono1265-1-eleven-1","numerals-kono1265-1","Chan2019","eleven",11,"ikumi ne kamo","ikuminekamo","","false",NA,NA,NA
"12","numerals-kono1265-1-twelve-1","numerals-kono1265-1","Chan2019","twelve",12,"ikumi ni ibhili","ikuminiibhili","","false",NA,NA,NA
"13","numerals-kono1265-1-thirteen-1","numerals-kono1265-1","Chan2019","thirteen",13,"ikumi ni tatu","ikuminitatu","","false",NA,NA,NA
"14","numerals-kono1265-1-fourteen-1","numerals-kono1265-1","Chan2019","fourteen",14,"ikumi ni inne","ikuminiinne","","false",NA,NA,NA
