"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-lozi1239-1-one-1","numerals-lozi1239-1","Chan2019","one",1,"-ɲwì","nwi","","false",NA,NA,NA
"2","numerals-lozi1239-1-two-1","numerals-lozi1239-1","Chan2019","two",2,"-βelí","beli","","false",NA,NA,NA
"3","numerals-lozi1239-1-three-1","numerals-lozi1239-1","Chan2019","three",3,"-tálù","talu","","false",NA,NA,NA
"4","numerals-lozi1239-1-four-1","numerals-lozi1239-1","Chan2019","four",4,"-nè","ne","","false",NA,NA,NA
"5","numerals-lozi1239-1-five-1","numerals-lozi1239-1","Chan2019","five",5,"kètálìzóɦò","ketalizoho","","false",NA,NA,NA
"6","numerals-lozi1239-1-six-1","numerals-lozi1239-1","Chan2019","six",6,"sìlèlà","silela","","false",NA,NA,NA
"7","numerals-lozi1239-1-six-2","numerals-lozi1239-1","Chan2019","six",6,"kètálìzóɦò nìkálì káɲwì","ketalizohonikalikanwi","","false",NA,NA,NA
"8","numerals-lozi1239-1-seven-1","numerals-lozi1239-1","Chan2019","seven",7,"sùpà","supa","","false",NA,NA,NA
"9","numerals-lozi1239-1-seven-2","numerals-lozi1239-1","Chan2019","seven",7,"kètálìzóɦò nìtòtùβélí","ketalizohonitotubeli","","false",NA,NA,NA
"10","numerals-lozi1239-1-eight-1","numerals-lozi1239-1","Chan2019","eight",8,"kètálìzóɦò nítòtùlálù","ketalizohonitotulalu","","false",NA,NA,NA
"11","numerals-lozi1239-1-nine-1","numerals-lozi1239-1","Chan2019","nine",9,"kètálìzóɦò nítòtúnè","ketalizohonitotune","","false",NA,NA,NA
"12","numerals-lozi1239-1-ten-1","numerals-lozi1239-1","Chan2019","ten",10,"lìʃúmì","lisumi","","false",NA,NA,NA
"13","numerals-lozi1239-1-eleven-1","numerals-lozi1239-1","Chan2019","eleven",11,"lìʃúmì nìkálì káɲwì","lisuminikalikanwi","","false",NA,NA,NA
"14","numerals-lozi1239-1-twelve-1","numerals-lozi1239-1","Chan2019","twelve",12,"lìʃúmì nítòtùβélì","lisuminitotubeli","","false",NA,NA,NA
"15","numerals-lozi1239-1-thirteen-1","numerals-lozi1239-1","Chan2019","thirteen",13,"lìʃúmì nítòtùlálù","lisuminitotulalu","","false",NA,NA,NA
