"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-lugu1238-1-one-1","numerals-lugu1238-1","Chan2019","one",1,"yumwe","yumwe","","false",NA,NA,NA
"2","numerals-lugu1238-1-two-1","numerals-lugu1238-1","Chan2019","two",2,"weli","weli","","false",NA,NA,NA
"3","numerals-lugu1238-1-three-1","numerals-lugu1238-1","Chan2019","three",3,"wadatu","wadatu","","false",NA,NA,NA
"4","numerals-lugu1238-1-four-1","numerals-lugu1238-1","Chan2019","four",4,"wane","wane","","false",NA,NA,NA
"5","numerals-lugu1238-1-five-1","numerals-lugu1238-1","Chan2019","five",5,"watano","watano","","false",NA,NA,NA
"6","numerals-lugu1238-1-six-1","numerals-lugu1238-1","Chan2019","six",6,"sita","sita","( < Kiswahili < Arabic )","true",NA,NA,NA
"7","numerals-lugu1238-1-seven-1","numerals-lugu1238-1","Chan2019","seven",7,"saba","saba","( < Kiswahili < Arabic )","true",NA,NA,NA
"8","numerals-lugu1238-1-eight-1","numerals-lugu1238-1","Chan2019","eight",8,"wanane","wanane","","false",NA,NA,NA
"9","numerals-lugu1238-1-nine-1","numerals-lugu1238-1","Chan2019","nine",9,"tisa","tisa","( < Kiswahili < Arabic )","true",NA,NA,NA
"10","numerals-lugu1238-1-ten-1","numerals-lugu1238-1","Chan2019","ten",10,"kumi","kumi","","false",NA,NA,NA
"11","numerals-lugu1238-1-eleven-1","numerals-lugu1238-1","Chan2019","eleven",11,"kumi na yumwe","kuminayumwe","","false",NA,NA,NA
"12","numerals-lugu1238-1-twelve-1","numerals-lugu1238-1","Chan2019","twelve",12,"kumi na weli","kuminaweli","","false",NA,NA,NA
"13","numerals-lugu1238-1-thirteen-1","numerals-lugu1238-1","Chan2019","thirteen",13,"kumi na wadatu","kuminawadatu","","false",NA,NA,NA
"14","numerals-lugu1238-1-fourteen-1","numerals-lugu1238-1","Chan2019","fourteen",14,"kumi na wane","kuminawane","","false",NA,NA,NA
"15","numerals-lugu1238-1-fifteen-1","numerals-lugu1238-1","Chan2019","fifteen",15,"kumi na watano","kuminawatano","","false",NA,NA,NA
"16","numerals-lugu1238-1-sixteen-1","numerals-lugu1238-1","Chan2019","sixteen",16,"kumi na sita","kuminasita","","false",NA,NA,NA
"17","numerals-lugu1238-1-seventeen-1","numerals-lugu1238-1","Chan2019","seventeen",17,"kumi na saba","kuminasaba","","false",NA,NA,NA
"18","numerals-lugu1238-1-eighteen-1","numerals-lugu1238-1","Chan2019","eighteen",18,"kumi na wanane","kuminawanane","","false",NA,NA,NA
"19","numerals-lugu1238-1-nineteen-1","numerals-lugu1238-1","Chan2019","nineteen",19,"kumi na tisa","kuminatisa","","false",NA,NA,NA
"20","numerals-lugu1238-1-twenty-1","numerals-lugu1238-1","Chan2019","twenty",20,"iʃilini","isilini","( < Kiswahili < Arabic )","true",NA,NA,NA
"21","numerals-lugu1238-1-twentyone-1","numerals-lugu1238-1","Chan2019","twentyone",21,"iʃilini na yumwe","isilininayumwe","","false",NA,NA,NA
"22","numerals-lugu1238-1-twentytwo-1","numerals-lugu1238-1","Chan2019","twentytwo",22,"iʃilini na weli","isilininaweli","","false",NA,NA,NA
"23","numerals-lugu1238-1-twentythree-1","numerals-lugu1238-1","Chan2019","twentythree",23,"iʃilini na wadatu","isilininawadatu","","false",NA,NA,NA
"24","numerals-lugu1238-1-twentyfour-1","numerals-lugu1238-1","Chan2019","twentyfour",24,"iʃilini na wane","isilininawane","","false",NA,NA,NA
"25","numerals-lugu1238-1-twentyfive-1","numerals-lugu1238-1","Chan2019","twentyfive",25,"iʃilini na watano","isilininawatano","","false",NA,NA,NA
"26","numerals-lugu1238-1-twentysix-1","numerals-lugu1238-1","Chan2019","twentysix",26,"iʃilini na sita","isilininasita","","false",NA,NA,NA
"27","numerals-lugu1238-1-twentyseven-1","numerals-lugu1238-1","Chan2019","twentyseven",27,"iʃilini na saba","isilininasaba","","false",NA,NA,NA
"28","numerals-lugu1238-1-twentyeight-1","numerals-lugu1238-1","Chan2019","twentyeight",28,"iʃilini na wanane","isilininawanane","","false",NA,NA,NA
"29","numerals-lugu1238-1-twentynine-1","numerals-lugu1238-1","Chan2019","twentynine",29,"iʃilini na tisa","isilininatisa","","false",NA,NA,NA
"30","numerals-lugu1238-1-thirty-1","numerals-lugu1238-1","Chan2019","thirty",30,"θelasini","thelasini","( < Kiswahili < Arabic )","true",NA,NA,NA
"31","numerals-lugu1238-1-forty-1","numerals-lugu1238-1","Chan2019","forty",40,"arobaini","arobaini","( < Kiswahili < Arabic )","true",NA,NA,NA
"32","numerals-lugu1238-1-fifty-1","numerals-lugu1238-1","Chan2019","fifty",50,"hamsini","hamsini","( < Kiswahili < Arabic )","true",NA,NA,NA
"33","numerals-lugu1238-1-sixty-1","numerals-lugu1238-1","Chan2019","sixty",60,"sitini","sitini","( < Kiswahili < Arabic )","true",NA,NA,NA
"34","numerals-lugu1238-1-seventy-1","numerals-lugu1238-1","Chan2019","seventy",70,"sabini","sabini","( < Kiswahili < Arabic )","true",NA,NA,NA
"35","numerals-lugu1238-1-eighty-1","numerals-lugu1238-1","Chan2019","eighty",80,"θemanini","themanini","( < Kiswahili < Arabic )","true",NA,NA,NA
"36","numerals-lugu1238-1-ninety-1","numerals-lugu1238-1","Chan2019","ninety",90,"tisini","tisini","( < Kiswahili < Arabic )","true",NA,NA,NA
"37","numerals-lugu1238-1-hundred-1","numerals-lugu1238-1","Chan2019","hundred",100,"mia","mia","( < Kiswahili < Arabic )","true",NA,NA,NA
"38","numerals-lugu1238-1-twohundred-1","numerals-lugu1238-1","Chan2019","twohundred",200,"mia mbili","miambili","","false",NA,NA,NA
"39","numerals-lugu1238-1-thousand-1","numerals-lugu1238-1","Chan2019","thousand",1000,"elfu","elfu","( < Kiswahili < Arabic )","true",NA,NA,NA
"40","numerals-lugu1238-1-twothousand-1","numerals-lugu1238-1","Chan2019","twothousand",2000,"elfu mbili","elfumbili","","false",NA,NA,NA
