"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mamp1244-1-one-1","numerals-mamp1244-1","Chan2019","one",1,"yɪ́nní","yinni","","false",NA,NA,NA
"2","numerals-mamp1244-1-one-2","numerals-mamp1244-1","Chan2019","one",1,"ndààm","ndaam","( in counting )","false",NA,NA,NA
"3","numerals-mamp1244-1-two-1","numerals-mamp1244-1","Chan2019","two",2,"a-yí","ayi","","false",NA,NA,NA
"4","numerals-mamp1244-1-three-1","numerals-mamp1244-1","Chan2019","three",3,"a-tá","ata","","false",NA,NA,NA
"5","numerals-mamp1244-1-four-1","numerals-mamp1244-1","Chan2019","four",4,"a-náásí","anaasi","","false",NA,NA,NA
"6","numerals-mamp1244-1-five-1","numerals-mamp1244-1","Chan2019","five",5,"a-nú","anu","","false",NA,NA,NA
"7","numerals-mamp1244-1-six-1","numerals-mamp1244-1","Chan2019","six",6,"a-yóóbù","ayoobu","","false",NA,NA,NA
"8","numerals-mamp1244-1-seven-1","numerals-mamp1244-1","Chan2019","seven",7,"a-yòpɔ̃́ì","ayopoi","","false",NA,NA,NA
"9","numerals-mamp1244-1-seven-2","numerals-mamp1244-1","Chan2019","seven",7,"-yòpwè","yopwe","","false",NA,NA,NA
"10","numerals-mamp1244-1-eight-1","numerals-mamp1244-1","Chan2019","eight",8,"a-níì","anii","","false",NA,NA,NA
"11","numerals-mamp1244-1-nine-1","numerals-mamp1244-1","Chan2019","nine",9,"a-wã̀y","away","","false",NA,NA,NA
"12","numerals-mamp1244-1-ten-1","numerals-mamp1244-1","Chan2019","ten",10,"pííyá","piiya","","false",NA,NA,NA
"13","numerals-mamp1244-1-eleven-1","numerals-mamp1244-1","Chan2019","eleven",11,"pííníyííní","piiniyiini","","false",NA,NA,NA
"14","numerals-mamp1244-1-twelve-1","numerals-mamp1244-1","Chan2019","twelve",12,"píínááyí","piinaayi","","false",NA,NA,NA
"15","numerals-mamp1244-1-thirteen-1","numerals-mamp1244-1","Chan2019","thirteen",13,"píínáátà","piinaata","","false",NA,NA,NA
"16","numerals-mamp1244-1-fourteen-1","numerals-mamp1244-1","Chan2019","fourteen",14,"píínáánásí","piinaanasi","","false",NA,NA,NA
"17","numerals-mamp1244-1-fifteen-1","numerals-mamp1244-1","Chan2019","fifteen",15,"píínáánù","piinaanu","","false",NA,NA,NA
"18","numerals-mamp1244-1-sixteen-1","numerals-mamp1244-1","Chan2019","sixteen",16,"píínááyóóbù","piinaayoobu","","false",NA,NA,NA
"19","numerals-mamp1244-1-seventeen-1","numerals-mamp1244-1","Chan2019","seventeen",17,"píínááyòpɔ̃́ì","piinaayopoi","","false",NA,NA,NA
"20","numerals-mamp1244-1-eighteen-1","numerals-mamp1244-1","Chan2019","eighteen",18,"písíáá áyíí ká","pisiaaayiika","( 20 - 2 )  ??","false",NA,NA,NA
"21","numerals-mamp1244-1-nineteen-1","numerals-mamp1244-1","Chan2019","nineteen",19,"písíáá yíníǃ ká","pisiaayinika","( 20 - 1 )  ??","false",NA,NA,NA
"22","numerals-mamp1244-1-twenty-1","numerals-mamp1244-1","Chan2019","twenty",20,"písí","pisi","","false",NA,NA,NA
"23","numerals-mamp1244-1-twentyone-1","numerals-mamp1244-1","Chan2019","twentyone",21,"písí nî yíní","pisiniyini","","false",NA,NA,NA
"24","numerals-mamp1244-1-twentytwo-1","numerals-mamp1244-1","Chan2019","twentytwo",22,"písí ná áyí","pisinaayi","","false",NA,NA,NA
"25","numerals-mamp1244-1-twentythree-1","numerals-mamp1244-1","Chan2019","twentythree",23,"písí ná átá","pisinaata","","false",NA,NA,NA
"26","numerals-mamp1244-1-twentyfour-1","numerals-mamp1244-1","Chan2019","twentyfour",24,"písí ná ánásí","pisinaanasi","","false",NA,NA,NA
"27","numerals-mamp1244-1-twentyfive-1","numerals-mamp1244-1","Chan2019","twentyfive",25,"písí ná ánú","pisinaanu","","false",NA,NA,NA
"28","numerals-mamp1244-1-twentysix-1","numerals-mamp1244-1","Chan2019","twentysix",26,"písí ná áyóóbù","pisinaayoobu","","false",NA,NA,NA
"29","numerals-mamp1244-1-twentyseven-1","numerals-mamp1244-1","Chan2019","twentyseven",27,"písí ná áyòpɔ̃́ì","pisinaayopoi","","false",NA,NA,NA
"30","numerals-mamp1244-1-twentyeight-1","numerals-mamp1244-1","Chan2019","twentyeight",28,"pisítá áyíí ká","pisitaayiika","( 30 - 2 )  ?","false",NA,NA,NA
"31","numerals-mamp1244-1-twentynine-1","numerals-mamp1244-1","Chan2019","twentynine",29,"písíatá yíníí ká","pisiatayiniika","( 30 - 1 )  ?","false",NA,NA,NA
"32","numerals-mamp1244-1-thirty-1","numerals-mamp1244-1","Chan2019","thirty",30,"písɪ́tá","pisita","","false",NA,NA,NA
"33","numerals-mamp1244-1-thirty-2","numerals-mamp1244-1","Chan2019","thirty",30,"píhítá","pihita","","false",NA,NA,NA
"34","numerals-mamp1244-1-forty-1","numerals-mamp1244-1","Chan2019","forty",40,"písɪ́náásí","pisinaasi","","false",NA,NA,NA
"35","numerals-mamp1244-1-forty-2","numerals-mamp1244-1","Chan2019","forty",40,"píhínááhí","pihinaahi","","false",NA,NA,NA
"36","numerals-mamp1244-1-fifty-1","numerals-mamp1244-1","Chan2019","fifty",50,"písínú","pisinu","","false",NA,NA,NA
"37","numerals-mamp1244-1-fifty-2","numerals-mamp1244-1","Chan2019","fifty",50,"píhíníú","pihiniu","","false",NA,NA,NA
"38","numerals-mamp1244-1-sixty-1","numerals-mamp1244-1","Chan2019","sixty",60,"písɪ́yóóbù","pisiyoobu","","false",NA,NA,NA
"39","numerals-mamp1244-1-sixty-2","numerals-mamp1244-1","Chan2019","sixty",60,"píhíyóóbù","pihiyoobu","","false",NA,NA,NA
"40","numerals-mamp1244-1-seventy-1","numerals-mamp1244-1","Chan2019","seventy",70,"písíyòpɔ̃́ì","pisiyopoi","","false",NA,NA,NA
"41","numerals-mamp1244-1-seventy-2","numerals-mamp1244-1","Chan2019","seventy",70,"píhíyòpwè","pihiyopwe","","false",NA,NA,NA
"42","numerals-mamp1244-1-eighty-1","numerals-mamp1244-1","Chan2019","eighty",80,"písíníí","pisinii","","false",NA,NA,NA
"43","numerals-mamp1244-1-eighty-2","numerals-mamp1244-1","Chan2019","eighty",80,"píhíníì","pihinii","","false",NA,NA,NA
"44","numerals-mamp1244-1-ninety-1","numerals-mamp1244-1","Chan2019","ninety",90,"písíwã̀y","pisiway","","false",NA,NA,NA
"45","numerals-mamp1244-1-ninety-2","numerals-mamp1244-1","Chan2019","ninety",90,"píhíwé","pihiwe","","false",NA,NA,NA
"46","numerals-mamp1244-1-hundred-1","numerals-mamp1244-1","Chan2019","hundred",100,"kʷɔbʊɡa","kwobuga","","false",NA,NA,NA
"47","numerals-mamp1244-1-hundred-2","numerals-mamp1244-1","Chan2019","hundred",100,"kʷɔbɡa","kwobga","","false",NA,NA,NA
"48","numerals-mamp1244-1-twohundred-1","numerals-mamp1244-1","Chan2019","twohundred",200,"kʷɔbsiiyì","kwobsiiyi","","false",NA,NA,NA
"49","numerals-mamp1244-1-thousand-1","numerals-mamp1244-1","Chan2019","thousand",1000,"tusɪri","tusiri","","false",NA,NA,NA
"50","numerals-mamp1244-1-thousand-2","numerals-mamp1244-1","Chan2019","thousand",1000,"tuhuri","tuhuri","","false",NA,NA,NA
"51","numerals-mamp1244-1-twothousand-1","numerals-mamp1244-1","Chan2019","twothousand",2000,"tusaaayi","tusaaayi","","false",NA,NA,NA
