"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mand1436-1-one-1","numerals-mand1436-1","Chan2019","one",1,"kíliŋ","kiling","","false",NA,NA,NA
"2","numerals-mand1436-1-two-1","numerals-mand1436-1","Chan2019","two",2,"fula","fula","","false",NA,NA,NA
"3","numerals-mand1436-1-three-1","numerals-mand1436-1","Chan2019","three",3,"saba","saba","","false",NA,NA,NA
"4","numerals-mand1436-1-four-1","numerals-mand1436-1","Chan2019","four",4,"náani","naani","","false",NA,NA,NA
"5","numerals-mand1436-1-five-1","numerals-mand1436-1","Chan2019","five",5,"lúulu","luulu","","false",NA,NA,NA
"6","numerals-mand1436-1-six-1","numerals-mand1436-1","Chan2019","six",6,"wóoro","wooro","","false",NA,NA,NA
"7","numerals-mand1436-1-seven-1","numerals-mand1436-1","Chan2019","seven",7,"wórówula","worowula","","false",NA,NA,NA
"8","numerals-mand1436-1-eight-1","numerals-mand1436-1","Chan2019","eight",8,"sáyi","sayi","","false",NA,NA,NA
"9","numerals-mand1436-1-nine-1","numerals-mand1436-1","Chan2019","nine",9,"konónto","kononto","","false",NA,NA,NA
"10","numerals-mand1436-1-ten-1","numerals-mand1436-1","Chan2019","ten",10,"táŋ","tang","","false",NA,NA,NA
"11","numerals-mand1436-1-eleven-1","numerals-mand1436-1","Chan2019","eleven",11,"táŋ niŋ kíliŋ","tangningkiling","(niŋ 'with')","false",NA,NA,NA
"12","numerals-mand1436-1-twelve-1","numerals-mand1436-1","Chan2019","twelve",12,"táŋ niŋ fula","tangningfula","","false",NA,NA,NA
"13","numerals-mand1436-1-thirteen-1","numerals-mand1436-1","Chan2019","thirteen",13,"táŋ niŋ saba","tangningsaba","","false",NA,NA,NA
"14","numerals-mand1436-1-fourteen-1","numerals-mand1436-1","Chan2019","fourteen",14,"táŋ niŋ náani","tangningnaani","","false",NA,NA,NA
"15","numerals-mand1436-1-fifteen-1","numerals-mand1436-1","Chan2019","fifteen",15,"táŋ niŋ lúulu","tangningluulu","","false",NA,NA,NA
"16","numerals-mand1436-1-sixteen-1","numerals-mand1436-1","Chan2019","sixteen",16,"táŋ niŋ wóoro","tangningwooro","","false",NA,NA,NA
"17","numerals-mand1436-1-seventeen-1","numerals-mand1436-1","Chan2019","seventeen",17,"táŋ niŋ wórówula","tangningworowula","","false",NA,NA,NA
"18","numerals-mand1436-1-eighteen-1","numerals-mand1436-1","Chan2019","eighteen",18,"táŋ niŋ sáyi","tangningsayi","","false",NA,NA,NA
"19","numerals-mand1436-1-nineteen-1","numerals-mand1436-1","Chan2019","nineteen",19,"táŋ niŋ konónto","tangningkononto","","false",NA,NA,NA
"20","numerals-mand1436-1-twenty-1","numerals-mand1436-1","Chan2019","twenty",20,"muwáŋ","muwang","","false",NA,NA,NA
"21","numerals-mand1436-1-twentyone-1","numerals-mand1436-1","Chan2019","twentyone",21,"muwáŋ niŋ kíliŋ","muwangningkiling","","false",NA,NA,NA
