"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mate1258-1-one-1","numerals-mate1258-1","Chan2019","one",1,"dʒíːmu","dzimu","","false",NA,NA,NA
"2","numerals-mate1258-1-two-1","numerals-mate1258-1","Chan2019","two",2,"íbeːli","ibeli","","false",NA,NA,NA
"3","numerals-mate1258-1-three-1","numerals-mate1258-1","Chan2019","three",3,"itâːtu","itatu","","false",NA,NA,NA
"4","numerals-mate1258-1-four-1","numerals-mate1258-1","Chan2019","four",4,"ńsɛːsi","nsesi","","false",NA,NA,NA
"5","numerals-mate1258-1-five-1","numerals-mate1258-1","Chan2019","five",5,"ŋ́haːnu","nghanu","","false",NA,NA,NA
"6","numerals-mate1258-1-six-1","numerals-mate1258-1","Chan2019","six",6,"ŋ́hanu na lúːmu","nghanunalumu","( 5 + 1 )","false",NA,NA,NA
"7","numerals-mate1258-1-seven-1","numerals-mate1258-1","Chan2019","seven",7,"ŋ́hanu ni íbeːli","nghanuniibeli","( ni <na ) ( 5 + 2 )","false",NA,NA,NA
"8","numerals-mate1258-1-eight-1","numerals-mate1258-1","Chan2019","eight",8,"ŋ́hanu ní itâːtu","nghanuniitatu","( 5 + 3 )","false",NA,NA,NA
"9","numerals-mate1258-1-nine-1","numerals-mate1258-1","Chan2019","nine",9,"ŋ́hanu na ńsɛːsi","nghanunansesi","( 5 + 4 )","false",NA,NA,NA
"10","numerals-mate1258-1-ten-1","numerals-mate1258-1","Chan2019","ten",10,"likomi líːmu","likomilimu","","false",NA,NA,NA
"11","numerals-mate1258-1-eleven-1","numerals-mate1258-1","Chan2019","eleven",11,"likomi líːmu ná pala lúːmu","likomilimunapalalumu","","false",NA,NA,NA
"12","numerals-mate1258-1-twelve-1","numerals-mate1258-1","Chan2019","twelve",12,"likomi líːmu ná pala íbeːli","likomilimunapalaibeli","","false",NA,NA,NA
"13","numerals-mate1258-1-thirteen-1","numerals-mate1258-1","Chan2019","thirteen",13,"likomi líːmu ná pala itâːtu","likomilimunapalaitatu","","false",NA,NA,NA
"14","numerals-mate1258-1-fourteen-1","numerals-mate1258-1","Chan2019","fourteen",14,"likomi líːmu ná pala ńsɛːsi","likomilimunapalansesi","","false",NA,NA,NA
"15","numerals-mate1258-1-fifteen-1","numerals-mate1258-1","Chan2019","fifteen",15,"likomi líːmu ná pala ŋ́haːnu","likomilimunapalanghanu","","false",NA,NA,NA
"16","numerals-mate1258-1-sixteen-1","numerals-mate1258-1","Chan2019","sixteen",16,"likomi líːmu ná pala ŋ́hanu na lúːmu","likomilimunapalanghanunalumu","","false",NA,NA,NA
