"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mong1338-1-one-1","numerals-mong1338-1","Chan2019","one",1,"ɔmɔ́ko","omoko","","false",NA,NA,NA
"2","numerals-mong1338-1-two-1","numerals-mong1338-1","Chan2019","two",2,"báfé","bafe","","false",NA,NA,NA
"3","numerals-mong1338-1-three-1","numerals-mong1338-1","Chan2019","three",3,"basátu","basatu","","false",NA,NA,NA
"4","numerals-mong1338-1-four-1","numerals-mong1338-1","Chan2019","four",4,"baney","baney","","false",NA,NA,NA
"5","numerals-mong1338-1-five-1","numerals-mong1338-1","Chan2019","five",5,"batáno","batano","","false",NA,NA,NA
"6","numerals-mong1338-1-six-1","numerals-mong1338-1","Chan2019","six",6,"botoá","botoa","","false",NA,NA,NA
"7","numerals-mong1338-1-seven-1","numerals-mong1338-1","Chan2019","seven",7,"sambó","sambo","","false",NA,NA,NA
"8","numerals-mong1338-1-eight-1","numerals-mong1338-1","Chan2019","eight",8,"mwámbi","mwambi","","false",NA,NA,NA
"9","numerals-mong1338-1-nine-1","numerals-mong1338-1","Chan2019","nine",9,"libwá","libwa","","false",NA,NA,NA
"10","numerals-mong1338-1-ten-1","numerals-mong1338-1","Chan2019","ten",10,"dzómi","dzomi","","false",NA,NA,NA
"11","numerals-mong1338-1-eleven-1","numerals-mong1338-1","Chan2019","eleven",11,"dzómi lo mɔko","dzomilomoko","","false",NA,NA,NA
"12","numerals-mong1338-1-twelve-1","numerals-mong1338-1","Chan2019","twelve",12,"dzómi la bafé","dzomilabafe","","false",NA,NA,NA
"13","numerals-mong1338-1-thirteen-1","numerals-mong1338-1","Chan2019","thirteen",13,"dzómi la basáto","dzomilabasato","","false",NA,NA,NA
"14","numerals-mong1338-1-fourteen-1","numerals-mong1338-1","Chan2019","fourteen",14,"dzómi la báney","dzomilabaney","","false",NA,NA,NA
"15","numerals-mong1338-1-fifteen-1","numerals-mong1338-1","Chan2019","fifteen",15,"dzómi la batáno","dzomilabatano","","false",NA,NA,NA
"16","numerals-mong1338-1-sixteen-1","numerals-mong1338-1","Chan2019","sixteen",16,"dzómi la botoá","dzomilabotoa","","false",NA,NA,NA
