"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mund1325-1-one-1","numerals-mund1325-1","Chan2019","one",1,"váŋnò","vangno","","false",NA,NA,NA
"2","numerals-mund1325-1-two-1","numerals-mund1325-1","Chan2019","two",2,"ɡwà","gwa","","false",NA,NA,NA
"3","numerals-mund1325-1-three-1","numerals-mund1325-1","Chan2019","three",3,"sey","sey","","false",NA,NA,NA
"4","numerals-mund1325-1-four-1","numerals-mund1325-1","Chan2019","four",4,"nèy","ney","","false",NA,NA,NA
"5","numerals-mund1325-1-five-1","numerals-mund1325-1","Chan2019","five",5,"dápɪ̀","dapi","","false",NA,NA,NA
"6","numerals-mund1325-1-six-1","numerals-mund1325-1","Chan2019","six",6,"yéa","yea","","false",NA,NA,NA
"7","numerals-mund1325-1-seven-1","numerals-mund1325-1","Chan2019","seven",7,"rɪŋ","ring","","false",NA,NA,NA
"8","numerals-mund1325-1-eight-1","numerals-mund1325-1","Chan2019","eight",8,"námà","nama","(dʒol tʃoŋ lal ɡwa )","false",NA,NA,NA
"9","numerals-mund1325-1-nine-1","numerals-mund1325-1","Chan2019","nine",9,"dórã","dora","(dʒol tʃoŋ lal vaŋno)","false",NA,NA,NA
"10","numerals-mund1325-1-ten-1","numerals-mund1325-1","Chan2019","ten",10,"dʒémà","dzema","","false",NA,NA,NA
"11","numerals-mund1325-1-eleven-1","numerals-mund1325-1","Chan2019","eleven",11,"dʒémà tə́l váŋnò","dzematalvangno","","false",NA,NA,NA
"12","numerals-mund1325-1-twelve-1","numerals-mund1325-1","Chan2019","twelve",12,"dʒémà tə́l ɡwà","dzematalgwa","","false",NA,NA,NA
"13","numerals-mund1325-1-thirteen-1","numerals-mund1325-1","Chan2019","thirteen",13,"dʒémà tə́l sey","dzematalsey","","false",NA,NA,NA
"14","numerals-mund1325-1-fourteen-1","numerals-mund1325-1","Chan2019","fourteen",14,"dʒémà tə́l nèy","dzematalney","","false",NA,NA,NA
"15","numerals-mund1325-1-fifteen-1","numerals-mund1325-1","Chan2019","fifteen",15,"dʒémà tə́l dápɪ̀","dzemataldapi","","false",NA,NA,NA
"16","numerals-mund1325-1-sixteen-1","numerals-mund1325-1","Chan2019","sixteen",16,"dʒémà tə́l yéa","dzematalyea","","false",NA,NA,NA
"17","numerals-mund1325-1-seventeen-1","numerals-mund1325-1","Chan2019","seventeen",17,"dʒémà tə́l rɪŋ","dzematalring","","false",NA,NA,NA
