"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-ncan1245-1-one-1","numerals-ncan1245-1","Chan2019","one",1,"mɪ3ma4","mi3ma4","","false",NA,NA,NA
"2","numerals-ncan1245-1-two-1","numerals-ncan1245-1","Chan2019","two",2,"fɛː2","fe2","","false",NA,NA,NA
"3","numerals-ncan1245-1-three-1","numerals-ncan1245-1","Chan2019","three",3,"tʰɛ3dɪ3","the3di3","","false",NA,NA,NA
"4","numerals-ncan1245-1-four-1","numerals-ncan1245-1","Chan2019","four",4,"nɛ34","ne34","","false",NA,NA,NA
"5","numerals-ncan1245-1-five-1","numerals-ncan1245-1","Chan2019","five",5,"tʰəŋ34","thang34","","false",NA,NA,NA
"6","numerals-ncan1245-1-six-1","numerals-ncan1245-1","Chan2019","six",6,"bu3so23","bu3so23","","false",NA,NA,NA
"7","numerals-ncan1245-1-seven-1","numerals-ncan1245-1","Chan2019","seven",7,"bu3so3ʃwɪ23","bu3so3swi23","","false",NA,NA,NA
"8","numerals-ncan1245-1-eight-1","numerals-ncan1245-1","Chan2019","eight",8,"ɲa34","na34","","false",NA,NA,NA
"9","numerals-ncan1245-1-nine-1","numerals-ncan1245-1","Chan2019","nine",9,"bvu3ɡə2","bvu3ga2","","false",NA,NA,NA
"10","numerals-ncan1245-1-ten-1","numerals-ncan1245-1","Chan2019","ten",10,"ʒu3fɛ4","zu3fe4","","false",NA,NA,NA
"11","numerals-ncan1245-1-eleven-1","numerals-ncan1245-1","Chan2019","eleven",11,"ʒu3fɛ4n4tʃo4fi3mi2mi3a4","zu3fe4n4tso4fi3mi2mi3a4","","false",NA,NA,NA
"12","numerals-ncan1245-1-twelve-1","numerals-ncan1245-1","Chan2019","twelve",12,"ʒu3fɛ4n4tʃo4muɱ4fɛ3","zu3fe4n4tso4mum4fe3","","false",NA,NA,NA
"13","numerals-ncan1245-1-thirteen-1","numerals-ncan1245-1","Chan2019","thirteen",13,"ʒu3fɛ4n4tʃo4mun4tʰɛ3dɪ3","zu3fe4n4tso4mun4the3di3","","false",NA,NA,NA
"14","numerals-ncan1245-1-fourteen-1","numerals-ncan1245-1","Chan2019","fourteen",14,"ʒu3fɛ4n4tʃo4mu4nɛ4","zu3fe4n4tso4mu4ne4","","false",NA,NA,NA
"15","numerals-ncan1245-1-fifteen-1","numerals-ncan1245-1","Chan2019","fifteen",15,"ʒu3fɛ4n4tʃo4mu4tʰəŋ34","zu3fe4n4tso4mu4thang34","","false",NA,NA,NA
"16","numerals-ncan1245-1-sixteen-1","numerals-ncan1245-1","Chan2019","sixteen",16,"ʒu3fɛ4n4tʃo4bu4so34","zu3fe4n4tso4bu4so34","","false",NA,NA,NA
"17","numerals-ncan1245-1-seventeen-1","numerals-ncan1245-1","Chan2019","seventeen",17,"ʒu3fɛ4n4tʃo4bu4so4ʃwɪ34","zu3fe4n4tso4bu4so4swi34","","false",NA,NA,NA
