"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-poko1263-1-one-1","numerals-poko1263-1","Chan2019","one",1,"àkɔ́ɔ́ŋkɔ̀","akoongko","","false",NA,NA,NA
"2","numerals-poko1263-1-two-1","numerals-poko1263-1","Chan2019","two",2,"oɣë̀ë̀ŋ","ogeeng","","false",NA,NA,NA
"3","numerals-poko1263-1-two-2","numerals-poko1263-1","Chan2019","two",2,"òdë̀ë̀ŋ","odeeng","","false",NA,NA,NA
"4","numerals-poko1263-1-three-1","numerals-poko1263-1","Chan2019","three",3,"sä́mä́k","samak","","false",NA,NA,NA
"5","numerals-poko1263-1-four-1","numerals-poko1263-1","Chan2019","four",4,"àŋwân","angwan","","false",NA,NA,NA
"6","numerals-poko1263-1-five-1","numerals-poko1263-1","Chan2019","five",5,"múut","muut","","false",NA,NA,NA
"7","numerals-poko1263-1-six-1","numerals-poko1263-1","Chan2019","six",6,"múut ŋɡɔ́ àkɔ́ɔ́ŋɔ̀","muutnggoakoongo","( 5 + 1 )","false",NA,NA,NA
"8","numerals-poko1263-1-seven-1","numerals-poko1263-1","Chan2019","seven",7,"múut ŋɡɔ́ òdë̀ë̀ŋ","muutnggoodeeng","( 5 + 2 )","false",NA,NA,NA
"9","numerals-poko1263-1-eight-1","numerals-poko1263-1","Chan2019","eight",8,"múut ŋɡɔ́ sä́mä́k","muutnggosamak","( 5 + 3 )","false",NA,NA,NA
"10","numerals-poko1263-1-nine-1","numerals-poko1263-1","Chan2019","nine",9,"múut ŋɡɔ́ àŋwân","muutnggoangwan","( 5 + 4 )","false",NA,NA,NA
"11","numerals-poko1263-1-ten-1","numerals-poko1263-1","Chan2019","ten",10,"támàn","taman","","false",NA,NA,NA
"12","numerals-poko1263-1-eleven-1","numerals-poko1263-1","Chan2019","eleven",11,"támàn kɔ àkɔ́ɔ́ŋɔ̀","tamankoakoongo","","false",NA,NA,NA
