"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tafi1243-1-one-1","numerals-tafi1243-1","Chan2019","one",1,"olí","oli","","false",NA,NA,NA
"2","numerals-tafi1243-1-two-1","numerals-tafi1243-1","Chan2019","two",2,"ɛbʰa","ebha","","false",NA,NA,NA
"3","numerals-tafi1243-1-three-1","numerals-tafi1243-1","Chan2019","three",3,"ɛtá","eta","","false",NA,NA,NA
"4","numerals-tafi1243-1-four-1","numerals-tafi1243-1","Chan2019","four",4,"ẽlɛ","ele","","false",NA,NA,NA
"5","numerals-tafi1243-1-five-1","numerals-tafi1243-1","Chan2019","five",5,"ití","iti","","false",NA,NA,NA
"6","numerals-tafi1243-1-six-1","numerals-tafi1243-1","Chan2019","six",6,"holō","holo","","false",NA,NA,NA
"7","numerals-tafi1243-1-seven-1","numerals-tafi1243-1","Chan2019","seven",7,"ɡéné","gene","","false",NA,NA,NA
"8","numerals-tafi1243-1-eight-1","numerals-tafi1243-1","Chan2019","eight",8,"asuɛ̄","asue","","false",NA,NA,NA
"9","numerals-tafi1243-1-nine-1","numerals-tafi1243-1","Chan2019","nine",9,"ʒitá","zita","","false",NA,NA,NA
"10","numerals-tafi1243-1-ten-1","numerals-tafi1243-1","Chan2019","ten",10,"kɛfɔ̄","kefo","","false",NA,NA,NA
"11","numerals-tafi1243-1-eleven-1","numerals-tafi1243-1","Chan2019","eleven",11,"kɛ́fɔ̄ntolí","kefontoli","","false",NA,NA,NA
"12","numerals-tafi1243-1-twelve-1","numerals-tafi1243-1","Chan2019","twelve",12,"kɛ́fɔ̄ntiabʰā","kefontiabha","","false",NA,NA,NA
"13","numerals-tafi1243-1-thirteen-1","numerals-tafi1243-1","Chan2019","thirteen",13,"kɛ́fɔ̄ntiatá","kefontiata","","false",NA,NA,NA
"14","numerals-tafi1243-1-fourteen-1","numerals-tafi1243-1","Chan2019","fourteen",14,"kɛ́fɔ̄ntiãlɛ","kefontiale","","false",NA,NA,NA
"15","numerals-tafi1243-1-fifteen-1","numerals-tafi1243-1","Chan2019","fifteen",15,"kɛ́fɔ̄ntietɛ́","kefontiete","","false",NA,NA,NA
"16","numerals-tafi1243-1-sixteen-1","numerals-tafi1243-1","Chan2019","sixteen",16,"kɛ́fɔ̄ntieholō","kefontieholo","","false",NA,NA,NA
"17","numerals-tafi1243-1-seventeen-1","numerals-tafi1243-1","Chan2019","seventeen",17,"kɛ́fɔ̄ntieɡéné","kefontiegene","","false",NA,NA,NA
"18","numerals-tafi1243-1-eighteen-1","numerals-tafi1243-1","Chan2019","eighteen",18,"kɛ́fɔ̄ntiasuɛ","kefontiasue","","false",NA,NA,NA
