"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tuli1249-1-one-1","numerals-tuli1249-1","Chan2019","one",1,"'kɔ̀ʈːɔ̀k","kotok","","false",NA,NA,NA
"2","numerals-tuli1249-1-two-1","numerals-tuli1249-1","Chan2019","two",2,"'kɑ̀ːrɑ́ʔ","kara","","false",NA,NA,NA
"3","numerals-tuli1249-1-three-1","numerals-tuli1249-1","Chan2019","three",3,"'tɔ́ːnɑ̀ʔ","tona","","false",NA,NA,NA
"4","numerals-tuli1249-1-four-1","numerals-tuli1249-1","Chan2019","four",4,"'tíːsòʔ","tiso","","false",NA,NA,NA
"5","numerals-tuli1249-1-five-1","numerals-tuli1249-1","Chan2019","five",5,"'tʊ̀mːʊ̀ʔ","tumu","","false",NA,NA,NA
"6","numerals-tuli1249-1-six-1","numerals-tuli1249-1","Chan2019","six",6,"'rɔ̀sːɑ̀ʔ","rosa","","false",NA,NA,NA
"7","numerals-tuli1249-1-seven-1","numerals-tuli1249-1","Chan2019","seven",7,"'kɔ́rɖɑ́ʈːɑ̀ʔ","kordata","","false",NA,NA,NA
"8","numerals-tuli1249-1-eight-1","numerals-tuli1249-1","Chan2019","eight",8,"'ɑ̀ʈːɑ́ʔ","ata","","false",NA,NA,NA
"9","numerals-tuli1249-1-nine-1","numerals-tuli1249-1","Chan2019","nine",9,"'kɔ́rómɑ́dɔ̀ɓːɑ́","koromadoba","","false",NA,NA,NA
"10","numerals-tuli1249-1-ten-1","numerals-tuli1249-1","Chan2019","ten",10,"'tɔ̀ɓːɑ́ʔ","toba","","false",NA,NA,NA
"11","numerals-tuli1249-1-eleven-1","numerals-tuli1249-1","Chan2019","eleven",11,"'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ̄ʈːɔ̀k","tobahanggotok","","false",NA,NA,NA
"12","numerals-tuli1249-1-twelve-1","numerals-tuli1249-1","Chan2019","twelve",12,"tɔ̀ɓːɑ́ʔ'hɑ̀ːrɑ́ʔ","tobahara","","false",NA,NA,NA
"13","numerals-tuli1249-1-thirteen-1","numerals-tuli1249-1","Chan2019","thirteen",13,"'tɔ̀ɓːɑ́ʔhɑ́ndɔ́ːnɑ̀ʔ","tobahandona","","false",NA,NA,NA
"14","numerals-tuli1249-1-fourteen-1","numerals-tuli1249-1","Chan2019","fourteen",14,"'tɔ̀ɓːɑ́ʔhɑ́ndíːsoːʔ","tobahandiso","","false",NA,NA,NA
"15","numerals-tuli1249-1-fifteen-1","numerals-tuli1249-1","Chan2019","fifteen",15,"'tɔ̀ɓːɑ́ʔhɑ́ndʊ́mːʊ̀ʔ","tobahandumu","","false",NA,NA,NA
"16","numerals-tuli1249-1-sixteen-1","numerals-tuli1249-1","Chan2019","sixteen",16,"'tɔ̀ɓːɑ́ʔhɑ́rɔsːɑʔ","tobaharosa","","false",NA,NA,NA
"17","numerals-tuli1249-1-seventeen-1","numerals-tuli1249-1","Chan2019","seventeen",17,"'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rɖɑ́ʈːɑ̀ʔ","tobahanggordata","","false",NA,NA,NA
"18","numerals-tuli1249-1-eighteen-1","numerals-tuli1249-1","Chan2019","eighteen",18,"'tɔ̀ɓːɑ́ʔhɑ̂ːʈːɑ̀","tobahata","","false",NA,NA,NA
"19","numerals-tuli1249-1-nineteen-1","numerals-tuli1249-1","Chan2019","nineteen",19,"'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rómɑ́dɔ̀ɓːɑ́","tobahanggoromadoba","","false",NA,NA,NA
"20","numerals-tuli1249-1-twenty-1","numerals-tuli1249-1","Chan2019","twenty",20,"tì'jɑ̀ːɗíʔ","tijadi","","false",NA,NA,NA
"21","numerals-tuli1249-1-twentyone-1","numerals-tuli1249-1","Chan2019","twentyone",21,"tì'jɑ̀ːɗíʔ ɑnɪŋɡɔ̄ʈːɔ̀k","tijadianinggotok","","false",NA,NA,NA
"22","numerals-tuli1249-1-twentytwo-1","numerals-tuli1249-1","Chan2019","twentytwo",22,"tì'jɑ̀ːɗɪndʊhɑːrɑʔ","tijadinduhara","","false",NA,NA,NA
"23","numerals-tuli1249-1-twentythree-1","numerals-tuli1249-1","Chan2019","twentythree",23,"tì'jɑ̀ːɗɪnhɑndɔːnɑʔ","tijadinhandona","","false",NA,NA,NA
"24","numerals-tuli1249-1-thirty-1","numerals-tuli1249-1","Chan2019","thirty",30,"tì'jɑ̀ːɗɪhɑndɔɓɑʔ","tijadihandoba","","false",NA,NA,NA
"25","numerals-tuli1249-1-forty-1","numerals-tuli1249-1","Chan2019","forty",40,"tɪjɑːɗɪnɛːrɑʔ","tijadinera","( 20 x 2 )","false",NA,NA,NA
"26","numerals-tuli1249-1-fifty-1","numerals-tuli1249-1","Chan2019","fifty",50,"tɪjɑːɗɪnɛːrɑhɑndɔɓːɑʔ","tijadinerahandoba","","false",NA,NA,NA
"27","numerals-tuli1249-1-sixty-1","numerals-tuli1249-1","Chan2019","sixty",60,"tɪjɑːɗɪnɛːɗɔːnɑʔ","tijadinedona","( 20 x 3 )","false",NA,NA,NA
"28","numerals-tuli1249-1-seventy-1","numerals-tuli1249-1","Chan2019","seventy",70,"tɪjɑːɗɪnɛːɗɔːnɑːnɪndɔɓːɑʔ","tijadinedonanindoba","","false",NA,NA,NA
"29","numerals-tuli1249-1-eighty-1","numerals-tuli1249-1","Chan2019","eighty",80,"tɪjɑːɗɪniːsoʔ","tijadiniso","( 20 x 4 )","false",NA,NA,NA
