"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-vidu1238-1-one-1","numerals-vidu1238-1","Chan2019","one",1,"imwe","imwe","","false",NA,NA,NA
"2","numerals-vidu1238-1-two-1","numerals-vidu1238-1","Chan2019","two",2,"mbili","mbili","","false",NA,NA,NA
"3","numerals-vidu1238-1-three-1","numerals-vidu1238-1","Chan2019","three",3,"zidatu","zidatu","","false",NA,NA,NA
"4","numerals-vidu1238-1-four-1","numerals-vidu1238-1","Chan2019","four",4,"zine","zine","","false",NA,NA,NA
"5","numerals-vidu1238-1-five-1","numerals-vidu1238-1","Chan2019","five",5,"zihano","zihano","","false",NA,NA,NA
"6","numerals-vidu1238-1-six-1","numerals-vidu1238-1","Chan2019","six",6,"sita","sita","( < Swahili / Arabic )","true",NA,NA,NA
"7","numerals-vidu1238-1-seven-1","numerals-vidu1238-1","Chan2019","seven",7,"saba","saba","( < Swahili / Arabic )","true",NA,NA,NA
"8","numerals-vidu1238-1-eight-1","numerals-vidu1238-1","Chan2019","eight",8,"nane","nane","( < Swahili / Arabic )","true",NA,NA,NA
"9","numerals-vidu1238-1-nine-1","numerals-vidu1238-1","Chan2019","nine",9,"tisa","tisa","(< Swahili  / Arabic )","true",NA,NA,NA
"10","numerals-vidu1238-1-ten-1","numerals-vidu1238-1","Chan2019","ten",10,"kumi","kumi","","false",NA,NA,NA
"11","numerals-vidu1238-1-eleven-1","numerals-vidu1238-1","Chan2019","eleven",11,"kumi na imwe","kuminaimwe","","false",NA,NA,NA
"12","numerals-vidu1238-1-twelve-1","numerals-vidu1238-1","Chan2019","twelve",12,"kumi na mbili","kuminambili","","false",NA,NA,NA
"13","numerals-vidu1238-1-thirteen-1","numerals-vidu1238-1","Chan2019","thirteen",13,"kumi na zidatu","kuminazidatu","","false",NA,NA,NA
"14","numerals-vidu1238-1-fourteen-1","numerals-vidu1238-1","Chan2019","fourteen",14,"kumi na zine","kuminazine","","false",NA,NA,NA
"15","numerals-vidu1238-1-fifteen-1","numerals-vidu1238-1","Chan2019","fifteen",15,"kumi na zihano","kuminazihano","","false",NA,NA,NA
"16","numerals-vidu1238-1-sixteen-1","numerals-vidu1238-1","Chan2019","sixteen",16,"kumi na sita","kuminasita","","false",NA,NA,NA
"17","numerals-vidu1238-1-seventeen-1","numerals-vidu1238-1","Chan2019","seventeen",17,"kumi na saba","kuminasaba","","false",NA,NA,NA
"18","numerals-vidu1238-1-eighteen-1","numerals-vidu1238-1","Chan2019","eighteen",18,"kumi na nane","kuminanane","","false",NA,NA,NA
"19","numerals-vidu1238-1-nineteen-1","numerals-vidu1238-1","Chan2019","nineteen",19,"kumi na tisa","kuminatisa","","false",NA,NA,NA
"20","numerals-vidu1238-1-twenty-1","numerals-vidu1238-1","Chan2019","twenty",20,"makumi meli","makumimeli","","false",NA,NA,NA
"21","numerals-vidu1238-1-twentyone-1","numerals-vidu1238-1","Chan2019","twentyone",21,"makumi meli na imwe","makumimelinaimwe","","false",NA,NA,NA
"22","numerals-vidu1238-1-twentytwo-1","numerals-vidu1238-1","Chan2019","twentytwo",22,"makumi meli na imbili","makumimelinaimbili","","false",NA,NA,NA
"23","numerals-vidu1238-1-twentythree-1","numerals-vidu1238-1","Chan2019","twentythree",23,"makumi meli na zidatu","makumimelinazidatu","","false",NA,NA,NA
