"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-waja1259-1-one-1","numerals-waja1259-1","Chan2019","one",1,"ɡɛɛn","geen","","false",NA,NA,NA
"2","numerals-waja1259-1-two-1","numerals-waja1259-1","Chan2019","two",2,"rɔɔp","roop","","false",NA,NA,NA
"3","numerals-waja1259-1-three-1","numerals-waja1259-1","Chan2019","three",3,"kunoŋ","kunong","","false",NA,NA,NA
"4","numerals-waja1259-1-four-1","numerals-waja1259-1","Chan2019","four",4,"nɩɩ","nii","","false",NA,NA,NA
"5","numerals-waja1259-1-five-1","numerals-waja1259-1","Chan2019","five",5,"nuwo","nuwo","","false",NA,NA,NA
"6","numerals-waja1259-1-six-1","numerals-waja1259-1","Chan2019","six",6,"nokono","nokono","","false",NA,NA,NA
"7","numerals-waja1259-1-seven-1","numerals-waja1259-1","Chan2019","seven",7,"nibíyo","nibiyo","","false",NA,NA,NA
"8","numerals-waja1259-1-eight-1","numerals-waja1259-1","Chan2019","eight",8,"wunii","wunii","","false",NA,NA,NA
"9","numerals-waja1259-1-nine-1","numerals-waja1259-1","Chan2019","nine",9,"tɔɔrɔ","tooro","","false",NA,NA,NA
"10","numerals-waja1259-1-ten-1","numerals-waja1259-1","Chan2019","ten",10,"kwáp","kwap","","false",NA,NA,NA
"11","numerals-waja1259-1-eleven-1","numerals-waja1259-1","Chan2019","eleven",11,"kwáp súrə wííno","kwapsurawiino","","false",NA,NA,NA
"12","numerals-waja1259-1-twelve-1","numerals-waja1259-1","Chan2019","twelve",12,"kwáp súrə rɔ́p","kwapsurarop","","false",NA,NA,NA
"13","numerals-waja1259-1-thirteen-1","numerals-waja1259-1","Chan2019","thirteen",13,"kwáp súrə kúnoŋ","kwapsurakunong","","false",NA,NA,NA
"14","numerals-waja1259-1-fourteen-1","numerals-waja1259-1","Chan2019","fourteen",14,"kwáp súrə nɩɩ","kwapsuranii","","false",NA,NA,NA
"15","numerals-waja1259-1-fifteen-1","numerals-waja1259-1","Chan2019","fifteen",15,"kwáp súrə núwo","kwapsuranuwo","","false",NA,NA,NA
"16","numerals-waja1259-1-sixteen-1","numerals-waja1259-1","Chan2019","sixteen",16,"kwáp súrə nokono","kwapsuranokono","","false",NA,NA,NA
"17","numerals-waja1259-1-seventeen-1","numerals-waja1259-1","Chan2019","seventeen",17,"kwáp súrə nibíyo","kwapsuranibiyo","","false",NA,NA,NA
"18","numerals-waja1259-1-eighteen-1","numerals-waja1259-1","Chan2019","eighteen",18,"kwáp súrə wííno","kwapsurawiino","","false",NA,NA,NA
"19","numerals-waja1259-1-nineteen-1","numerals-waja1259-1","Chan2019","nineteen",19,"kwáp súrə tɔ́ɔ́rɔ","kwapsuratooro","","false",NA,NA,NA
"20","numerals-waja1259-1-twenty-1","numerals-waja1259-1","Chan2019","twenty",20,"kúná rɔ́p","kunarop","","false",NA,NA,NA
"21","numerals-waja1259-1-twentyone-1","numerals-waja1259-1","Chan2019","twentyone",21,"kúná rɔ́psúrə wííno","kunaropsurawiino","","false",NA,NA,NA
"22","numerals-waja1259-1-twentytwo-1","numerals-waja1259-1","Chan2019","twentytwo",22,"kúná rɔ́psúrə rɔ́p","kunaropsurarop","","false",NA,NA,NA
"23","numerals-waja1259-1-twentythree-1","numerals-waja1259-1","Chan2019","twentythree",23,"kúná rɔ́psúrə kunoŋ","kunaropsurakunong","","false",NA,NA,NA
"24","numerals-waja1259-1-twentyfour-1","numerals-waja1259-1","Chan2019","twentyfour",24,"kúná rɔ́psúrə nɩɩ","kunaropsuranii","","false",NA,NA,NA
"25","numerals-waja1259-1-twentyfive-1","numerals-waja1259-1","Chan2019","twentyfive",25,"kúná rɔ́psúrə nuwo","kunaropsuranuwo","","false",NA,NA,NA
"26","numerals-waja1259-1-twentysix-1","numerals-waja1259-1","Chan2019","twentysix",26,"kúná rɔ́psúrə nokono","kunaropsuranokono","","false",NA,NA,NA
"27","numerals-waja1259-1-twentyseven-1","numerals-waja1259-1","Chan2019","twentyseven",27,"kúná rɔ́psúrə nibíyo","kunaropsuranibiyo","","false",NA,NA,NA
"28","numerals-waja1259-1-twentyeight-1","numerals-waja1259-1","Chan2019","twentyeight",28,"kúná rɔ́psúrə wunii","kunaropsurawunii","","false",NA,NA,NA
"29","numerals-waja1259-1-twentynine-1","numerals-waja1259-1","Chan2019","twentynine",29,"kúná rɔ́psúrə tɔɔrɔ","kunaropsuratooro","","false",NA,NA,NA
"30","numerals-waja1259-1-thirty-1","numerals-waja1259-1","Chan2019","thirty",30,"kúná kúnoŋ","kunakunong","","false",NA,NA,NA
"31","numerals-waja1259-1-forty-1","numerals-waja1259-1","Chan2019","forty",40,"kún nɩ́ɩ","kunnii","","false",NA,NA,NA
"32","numerals-waja1259-1-fifty-1","numerals-waja1259-1","Chan2019","fifty",50,"kún núwo","kunnuwo","","false",NA,NA,NA
"33","numerals-waja1259-1-sixty-1","numerals-waja1259-1","Chan2019","sixty",60,"kún nókóno","kunnokono","","false",NA,NA,NA
"34","numerals-waja1259-1-seventy-1","numerals-waja1259-1","Chan2019","seventy",70,"kún níbíyo","kunnibiyo","","false",NA,NA,NA
"35","numerals-waja1259-1-eighty-1","numerals-waja1259-1","Chan2019","eighty",80,"kún wúníi","kunwunii","","false",NA,NA,NA
"36","numerals-waja1259-1-ninety-1","numerals-waja1259-1","Chan2019","ninety",90,"kún tɔ́ɔ́rɔ","kuntooro","","false",NA,NA,NA
"37","numerals-waja1259-1-hundred-1","numerals-waja1259-1","Chan2019","hundred",100,"wɔn","won","","false",NA,NA,NA
"38","numerals-waja1259-1-twohundred-1","numerals-waja1259-1","Chan2019","twohundred",200,"wɔndə́ rɔ́p","wondarop","","false",NA,NA,NA
"39","numerals-waja1259-1-thousand-1","numerals-waja1259-1","Chan2019","thousand",1000,"tedu wííno","teduwiino","","false",NA,NA,NA
"40","numerals-waja1259-1-twothousand-1","numerals-waja1259-1","Chan2019","twothousand",2000,"tedundí rɔ́p","tedundirop","","false",NA,NA,NA
