"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-wawa1246-1-one-1","numerals-wawa1246-1","Chan2019","one",1,"mǒsī","mosi","","false",NA,NA,NA
"2","numerals-wawa1246-1-one-2","numerals-wawa1246-1","Chan2019","one",1,"mǒī","moi","","false",NA,NA,NA
"3","numerals-wawa1246-1-two-1","numerals-wawa1246-1","Chan2019","two",2,"bə̀mbə́","bamba","","false",NA,NA,NA
"4","numerals-wawa1246-1-three-1","numerals-wawa1246-1","Chan2019","three",3,"tābə́","taba","","false",NA,NA,NA
"5","numerals-wawa1246-1-four-1","numerals-wawa1246-1","Chan2019","four",4,"nǎrə̄bə̀","naraba","","false",NA,NA,NA
"6","numerals-wawa1246-1-five-1","numerals-wawa1246-1","Chan2019","five",5,"téēnbə̄","teenba","","false",NA,NA,NA
"7","numerals-wawa1246-1-six-1","numerals-wawa1246-1","Chan2019","six",6,"té-mōī","temoi","( 5+ 1 )","false",NA,NA,NA
"8","numerals-wawa1246-1-seven-1","numerals-wawa1246-1","Chan2019","seven",7,"té-bə̀mbə́","tebamba","( 5+ 2 )","false",NA,NA,NA
"9","numerals-wawa1246-1-eight-1","numerals-wawa1246-1","Chan2019","eight",8,"tén-tābə́","tentaba","( 5+ 3 )","false",NA,NA,NA
"10","numerals-wawa1246-1-nine-1","numerals-wawa1246-1","Chan2019","nine",9,"té-nàrə̄bə́","tenaraba","( 5+ 4 )","false",NA,NA,NA
"11","numerals-wawa1246-1-ten-1","numerals-wawa1246-1","Chan2019","ten",10,"tʃɔ́ŋ","tsong","","false",NA,NA,NA
"12","numerals-wawa1246-1-ten-2","numerals-wawa1246-1","Chan2019","ten",10,"bə̌ntə̄","banta","","false",NA,NA,NA
"13","numerals-wawa1246-1-eleven-1","numerals-wawa1246-1","Chan2019","eleven",11,"tʃɔ́ŋ bá mǒī","tsongbamoi","","false",NA,NA,NA
"14","numerals-wawa1246-1-twelve-1","numerals-wawa1246-1","Chan2019","twelve",12,"tʃɔ́ŋ bá bə̀mbə́","tsongbabamba","","false",NA,NA,NA
"15","numerals-wawa1246-1-thirteen-1","numerals-wawa1246-1","Chan2019","thirteen",13,"tʃɔ́ŋ bá tābə́","tsongbataba","","false",NA,NA,NA
"16","numerals-wawa1246-1-fourteen-1","numerals-wawa1246-1","Chan2019","fourteen",14,"tʃɔ́ŋ bá nàrə̄bə́","tsongbanaraba","","false",NA,NA,NA
"17","numerals-wawa1246-1-fifteen-1","numerals-wawa1246-1","Chan2019","fifteen",15,"tʃɔ́ŋ bá téēnbə̄","tsongbateenba","","false",NA,NA,NA
"18","numerals-wawa1246-1-sixteen-1","numerals-wawa1246-1","Chan2019","sixteen",16,"tʃɔ́ŋ bá té-mōī","tsongbatemoi","","false",NA,NA,NA
"19","numerals-wawa1246-1-seventeen-1","numerals-wawa1246-1","Chan2019","seventeen",17,"tʃɔ́ŋ bá té-bə̀mbə́","tsongbatebamba","","false",NA,NA,NA
"20","numerals-wawa1246-1-eighteen-1","numerals-wawa1246-1","Chan2019","eighteen",18,"tʃɔ́ŋ bá tén-tābə́","tsongbatentaba","","false",NA,NA,NA
"21","numerals-wawa1246-1-nineteen-1","numerals-wawa1246-1","Chan2019","nineteen",19,"tʃɔ́ŋ bá té-nàrə̄bə́","tsongbatenaraba","","false",NA,NA,NA
"22","numerals-wawa1246-1-twenty-1","numerals-wawa1246-1","Chan2019","twenty",20,"nɡwɔ́ī mǒsī","ngwoimosi","","false",NA,NA,NA
"23","numerals-wawa1246-1-twentyone-1","numerals-wawa1246-1","Chan2019","twentyone",21,"nɡwɔ́ī mǒsī bá mǒī","ngwoimosibamoi","","false",NA,NA,NA
"24","numerals-wawa1246-1-twentytwo-1","numerals-wawa1246-1","Chan2019","twentytwo",22,"nɡwɔ́ī mǒsī bá bə̀mbə́","ngwoimosibabamba","","false",NA,NA,NA
"25","numerals-wawa1246-1-twentythree-1","numerals-wawa1246-1","Chan2019","twentythree",23,"nɡwɔ́ī mǒsī bá tābə́","ngwoimosibataba","","false",NA,NA,NA
"26","numerals-wawa1246-1-twentyfour-1","numerals-wawa1246-1","Chan2019","twentyfour",24,"nɡwɔ́ī mǒsī bá nàrə̄bə́","ngwoimosibanaraba","","false",NA,NA,NA
"27","numerals-wawa1246-1-twentyfive-1","numerals-wawa1246-1","Chan2019","twentyfive",25,"nɡwɔ́ī mǒsī bá téēnbə̄","ngwoimosibateenba","","false",NA,NA,NA
"28","numerals-wawa1246-1-twentysix-1","numerals-wawa1246-1","Chan2019","twentysix",26,"nɡwɔ́ī mǒsī bá té-mōī","ngwoimosibatemoi","","false",NA,NA,NA
"29","numerals-wawa1246-1-twentyseven-1","numerals-wawa1246-1","Chan2019","twentyseven",27,"nɡwɔ́ī mǒsī bá té-bə̀mbə́","ngwoimosibatebamba","","false",NA,NA,NA
"30","numerals-wawa1246-1-twentyeight-1","numerals-wawa1246-1","Chan2019","twentyeight",28,"nɡwɔ́ī mǒsī bá tén-tābə́","ngwoimosibatentaba","","false",NA,NA,NA
"31","numerals-wawa1246-1-twentynine-1","numerals-wawa1246-1","Chan2019","twentynine",29,"nɡwɔ́ī mǒsī bá té-nàrə̄bə́","ngwoimosibatenaraba","","false",NA,NA,NA
"32","numerals-wawa1246-1-thirty-1","numerals-wawa1246-1","Chan2019","thirty",30,"nɡwɔ́ī mǒsī bá tʃɔ́ŋ","ngwoimosibatsong","( 20+ 10 )","false",NA,NA,NA
"33","numerals-wawa1246-1-forty-1","numerals-wawa1246-1","Chan2019","forty",40,"nɡwɔ́ī bə̀mbə́","ngwoibamba","( 20 x 2 )","false",NA,NA,NA
"34","numerals-wawa1246-1-fifty-1","numerals-wawa1246-1","Chan2019","fifty",50,"nɡwɔ́ī bə̀mbə́ bá tʃɔ́ŋ","ngwoibambabatsong","( 20 x 2 + 10 )","false",NA,NA,NA
"35","numerals-wawa1246-1-sixty-1","numerals-wawa1246-1","Chan2019","sixty",60,"nɡwɔ́ī tābə́","ngwoitaba","( 20 x 3 )","false",NA,NA,NA
"36","numerals-wawa1246-1-seventy-1","numerals-wawa1246-1","Chan2019","seventy",70,"nɡwɔ́ī tābə́ bá tʃɔ́ŋ","ngwoitababatsong","( 20 x 3 + 10 )","false",NA,NA,NA
"37","numerals-wawa1246-1-eighty-1","numerals-wawa1246-1","Chan2019","eighty",80,"nɡwɔ́ī nàrə̄bə́","ngwoinaraba","( 20 x 4 )","false",NA,NA,NA
"38","numerals-wawa1246-1-ninety-1","numerals-wawa1246-1","Chan2019","ninety",90,"nɡwɔ́ī nàrə̄bə́ bá tʃɔ́ŋ","ngwoinarababatsong","( 20 x 4 + 10 )","false",NA,NA,NA
"39","numerals-wawa1246-1-hundred-1","numerals-wawa1246-1","Chan2019","hundred",100,"nɡwɔ́ī téēnbə̄","ngwoiteenba","(archaic)","false",NA,NA,NA
"40","numerals-wawa1246-1-hundred-2","numerals-wawa1246-1","Chan2019","hundred",100,"temere","temere","(Fulf.)","true",NA,NA,NA
"41","numerals-wawa1246-1-twohundred-1","numerals-wawa1246-1","Chan2019","twohundred",200,"temere didi","temeredidi","","false",NA,NA,NA
"42","numerals-wawa1246-1-threehundred-1","numerals-wawa1246-1","Chan2019","threehundred",300,"temere tati","temeretati","(Fulfulde)","true",NA,NA,NA
"43","numerals-wawa1246-1-thousand-1","numerals-wawa1246-1","Chan2019","thousand",1000,"há tʃɔ́ŋ","hatsong","(archaic)","false",NA,NA,NA
"44","numerals-wawa1246-1-thousand-2","numerals-wawa1246-1","Chan2019","thousand",1000,"ujinere","ujinere","(Fulfulde)","true",NA,NA,NA
"45","numerals-wawa1246-1-twothousand-1","numerals-wawa1246-1","Chan2019","twothousand",2000,"ujinere didi","ujineredidi","","false",NA,NA,NA
