"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-zays1235-1-one-1","numerals-zays1235-1","Chan2019","one",1,"bizzó","bizzo","","false",NA,NA,NA
"2","numerals-zays1235-1-two-1","numerals-zays1235-1","Chan2019","two",2,"námʔa","nama","","false",NA,NA,NA
"3","numerals-zays1235-1-three-1","numerals-zays1235-1","Chan2019","three",3,"háidts","haidts","","false",NA,NA,NA
"4","numerals-zays1235-1-four-1","numerals-zays1235-1","Chan2019","four",4,"ʔoídd","oidd","","false",NA,NA,NA
"5","numerals-zays1235-1-five-1","numerals-zays1235-1","Chan2019","five",5,"ʔišíčč","isicc","","false",NA,NA,NA
"6","numerals-zays1235-1-six-1","numerals-zays1235-1","Chan2019","six",6,"ʔizíp","izip","","false",NA,NA,NA
"7","numerals-zays1235-1-seven-1","numerals-zays1235-1","Chan2019","seven",7,"laáp","laap","","false",NA,NA,NA
"8","numerals-zays1235-1-eight-1","numerals-zays1235-1","Chan2019","eight",8,"lakkúče","lakkuce","","false",NA,NA,NA
"9","numerals-zays1235-1-nine-1","numerals-zays1235-1","Chan2019","nine",9,"tansíne","tansine","","false",NA,NA,NA
"10","numerals-zays1235-1-ten-1","numerals-zays1235-1","Chan2019","ten",10,"támm","tamm","","false",NA,NA,NA
"11","numerals-zays1235-1-eleven-1","numerals-zays1235-1","Chan2019","eleven",11,"támman(ne) bizzó","tammannebizzo","","false",NA,NA,NA
"12","numerals-zays1235-1-twelve-1","numerals-zays1235-1","Chan2019","twelve",12,"támman(ne) námʔa","tammannenama","","false",NA,NA,NA
"13","numerals-zays1235-1-thirteen-1","numerals-zays1235-1","Chan2019","thirteen",13,"támman(ne) háidts","tammannehaidts","","false",NA,NA,NA
"14","numerals-zays1235-1-fourteen-1","numerals-zays1235-1","Chan2019","fourteen",14,"támman(ne) ʔoídd","tammanneoidd","","false",NA,NA,NA
"15","numerals-zays1235-1-fifteen-1","numerals-zays1235-1","Chan2019","fifteen",15,"támman(ne) ʔišíčč","tammanneisicc","","false",NA,NA,NA
"16","numerals-zays1235-1-sixteen-1","numerals-zays1235-1","Chan2019","sixteen",16,"támman(ne) ʔizíp","tammanneizip","","false",NA,NA,NA
"17","numerals-zays1235-1-seventeen-1","numerals-zays1235-1","Chan2019","seventeen",17,"támman(ne) laáp","tammannelaap","","false",NA,NA,NA
"18","numerals-zays1235-1-eighteen-1","numerals-zays1235-1","Chan2019","eighteen",18,"támman(ne) lakkúče","tammannelakkuce","","false",NA,NA,NA
"19","numerals-zays1235-1-nineteen-1","numerals-zays1235-1","Chan2019","nineteen",19,"támman(ne) tansíne","tammannetansine","","false",NA,NA,NA
"20","numerals-zays1235-1-twenty-1","numerals-zays1235-1","Chan2019","twenty",20,"namʔú támm","namutamm","","false",NA,NA,NA
"21","numerals-zays1235-1-twentyone-1","numerals-zays1235-1","Chan2019","twentyone",21,"namʔú támmanne bizzó","namutammannebizzo","","false",NA,NA,NA
"22","numerals-zays1235-1-twentytwo-1","numerals-zays1235-1","Chan2019","twentytwo",22,"namʔú támmanne námʔa","namutammannenama","","false",NA,NA,NA
"23","numerals-zays1235-1-twentythree-1","numerals-zays1235-1","Chan2019","twentythree",23,"namʔú támmanne háidts","namutammannehaidts","","false",NA,NA,NA
"24","numerals-zays1235-1-twentyfour-1","numerals-zays1235-1","Chan2019","twentyfour",24,"namʔú támmanne ʔoídd","namutammanneoidd","","false",NA,NA,NA
"25","numerals-zays1235-1-twentyfive-1","numerals-zays1235-1","Chan2019","twentyfive",25,"namʔú támmanne ʔišíč","namutammanneisic","","false",NA,NA,NA
"26","numerals-zays1235-1-twentysix-1","numerals-zays1235-1","Chan2019","twentysix",26,"namʔú támmanne ʔizíp","namutammanneizip","","false",NA,NA,NA
"27","numerals-zays1235-1-twentyseven-1","numerals-zays1235-1","Chan2019","twentyseven",27,"namʔú támmanne laáp","namutammannelaap","","false",NA,NA,NA
"28","numerals-zays1235-1-twentyeight-1","numerals-zays1235-1","Chan2019","twentyeight",28,"namʔú támmanne lakkúče","namutammannelakkuce","","false",NA,NA,NA
"29","numerals-zays1235-1-twentynine-1","numerals-zays1235-1","Chan2019","twentynine",29,"namʔú támmanne tansíne","namutammannetansine","","false",NA,NA,NA
"30","numerals-zays1235-1-thirty-1","numerals-zays1235-1","Chan2019","thirty",30,"haidtsú támm","haidtsutamm","","false",NA,NA,NA
"31","numerals-zays1235-1-forty-1","numerals-zays1235-1","Chan2019","forty",40,"ʔoídd támm","oiddtamm","","false",NA,NA,NA
"32","numerals-zays1235-1-fifty-1","numerals-zays1235-1","Chan2019","fifty",50,"ʔišíčč támm","isicctamm","","false",NA,NA,NA
"33","numerals-zays1235-1-sixty-1","numerals-zays1235-1","Chan2019","sixty",60,"ʔizíp támm","iziptamm","","false",NA,NA,NA
"34","numerals-zays1235-1-seventy-1","numerals-zays1235-1","Chan2019","seventy",70,"laáp támm","laaptamm","","false",NA,NA,NA
