"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-akhv1239-1-one-1","numerals-akhv1239-1","Chan2019","one",1,"t͡ʃe.be","tsebe","","false",NA,NA,NA
"2","numerals-akhv1239-1-two-1","numerals-akhv1239-1","Chan2019","two",2,"kʼe.dɑ","keda","","false",NA,NA,NA
"3","numerals-akhv1239-1-three-1","numerals-akhv1239-1","Chan2019","three",3,"t͡ɬʷɑ.dʷɑ","tlwadwa","","false",NA,NA,NA
"4","numerals-akhv1239-1-four-1","numerals-akhv1239-1","Chan2019","four",4,"boqʼo.dɑ","boqoda","","false",NA,NA,NA
"5","numerals-akhv1239-1-five-1","numerals-akhv1239-1","Chan2019","five",5,"ĩʃːtu.dɑ","istuda","","false",NA,NA,NA
"6","numerals-akhv1239-1-six-1","numerals-akhv1239-1","Chan2019","six",6,"ĩt͡ɬʼːi.dɑ","itlida","","false",NA,NA,NA
"7","numerals-akhv1239-1-seven-1","numerals-akhv1239-1","Chan2019","seven",7,"ɑt͡ɬʼːu.dɑ","atluda","","false",NA,NA,NA
"8","numerals-akhv1239-1-eight-1","numerals-akhv1239-1","Chan2019","eight",8,"bit͡ɬʼːu.dɑ","bitluda","","false",NA,NA,NA
"9","numerals-akhv1239-1-nine-1","numerals-akhv1239-1","Chan2019","nine",9,"ɑpʼɑ.dɑ","apada","","false",NA,NA,NA
"10","numerals-akhv1239-1-ten-1","numerals-akhv1239-1","Chan2019","ten",10,"ɑt͡ʃʼɑ.dɑ","atsada","","false",NA,NA,NA
"11","numerals-akhv1239-1-eleven-1","numerals-akhv1239-1","Chan2019","eleven",11,"ɑt͡ʃʼɑ.t͡ʃe.be","atsatsebe","","false",NA,NA,NA
"12","numerals-akhv1239-1-twelve-1","numerals-akhv1239-1","Chan2019","twelve",12,"ɑt͡ʃʼɑ.kʼe.dɑ","atsakeda","","false",NA,NA,NA
"13","numerals-akhv1239-1-thirteen-1","numerals-akhv1239-1","Chan2019","thirteen",13,"ɑt͡ʃʼɑ.t͡ɬʷɑ.dʷɑ","atsatlwadwa","","false",NA,NA,NA
"14","numerals-akhv1239-1-fourteen-1","numerals-akhv1239-1","Chan2019","fourteen",14,"ɑt͡ʃʼɑ.boqʼo.dɑ","atsaboqoda","","false",NA,NA,NA
"15","numerals-akhv1239-1-fifteen-1","numerals-akhv1239-1","Chan2019","fifteen",15,"ɑt͡ʃʼɑ.ĩʃːtu.dɑ","atsaistuda","","false",NA,NA,NA
"16","numerals-akhv1239-1-sixteen-1","numerals-akhv1239-1","Chan2019","sixteen",16,"ɑt͡ʃʼɑ.ĩt͡ɬʼːi.dɑ","atsaitlida","","false",NA,NA,NA
"17","numerals-akhv1239-1-seventeen-1","numerals-akhv1239-1","Chan2019","seventeen",17,"ɑt͡ʃʼɑ.ɑt͡ɬʼːu.dɑ","atsaatluda","","false",NA,NA,NA
"18","numerals-akhv1239-1-eighteen-1","numerals-akhv1239-1","Chan2019","eighteen",18,"ɑt͡ʃʼɑ.bit͡ɬʼːu.dɑ","atsabitluda","","false",NA,NA,NA
"19","numerals-akhv1239-1-nineteen-1","numerals-akhv1239-1","Chan2019","nineteen",19,"ɑt͡ʃʼɑ.ɑpʼɑ.dɑ","atsaapada","","false",NA,NA,NA
"20","numerals-akhv1239-1-twenty-1","numerals-akhv1239-1","Chan2019","twenty",20,"qʼːendo.dɑ","qendoda","","false",NA,NA,NA
"21","numerals-akhv1239-1-twentyone-1","numerals-akhv1239-1","Chan2019","twentyone",21,"qʼːendo.t͡ʃe.be","qendotsebe","","false",NA,NA,NA
"22","numerals-akhv1239-1-twentytwo-1","numerals-akhv1239-1","Chan2019","twentytwo",22,"qʼːendo.kʼe.dɑ","qendokeda","","false",NA,NA,NA
"23","numerals-akhv1239-1-twentythree-1","numerals-akhv1239-1","Chan2019","twentythree",23,"qʼːendo.t͡ɬʷɑ.dʷɑ","qendotlwadwa","","false",NA,NA,NA
"24","numerals-akhv1239-1-twentyfour-1","numerals-akhv1239-1","Chan2019","twentyfour",24,"qʼːendo.boqʼo.dɑ","qendoboqoda","","false",NA,NA,NA
"25","numerals-akhv1239-1-twentyfive-1","numerals-akhv1239-1","Chan2019","twentyfive",25,"qʼːendo.ĩʃːtu.dɑ","qendoistuda","","false",NA,NA,NA
"26","numerals-akhv1239-1-twentysix-1","numerals-akhv1239-1","Chan2019","twentysix",26,"qʼːendo.ĩt͡ɬʼːi.dɑ","qendoitlida","","false",NA,NA,NA
"27","numerals-akhv1239-1-twentyseven-1","numerals-akhv1239-1","Chan2019","twentyseven",27,"qʼːendo.ɑt͡ɬʼːu.dɑ","qendoatluda","","false",NA,NA,NA
"28","numerals-akhv1239-1-twentyeight-1","numerals-akhv1239-1","Chan2019","twentyeight",28,"qʼːendo.bit͡ɬʼːu.dɑ","qendobitluda","","false",NA,NA,NA
"29","numerals-akhv1239-1-twentynine-1","numerals-akhv1239-1","Chan2019","twentynine",29,"qʼːendo.ɑpʼɑ.dɑ","qendoapada","","false",NA,NA,NA
"30","numerals-akhv1239-1-thirty-1","numerals-akhv1239-1","Chan2019","thirty",30,"t͡ɬɑmolo.dɑ","tlamoloda","","false",NA,NA,NA
"31","numerals-akhv1239-1-forty-1","numerals-akhv1239-1","Chan2019","forty",40,"kʼe.qʼːendo.dɑ","keqendoda","( 2 x 20 )","false",NA,NA,NA
"32","numerals-akhv1239-1-fifty-1","numerals-akhv1239-1","Chan2019","fifty",50,"kʼe.qʼːendo.ɑt͡ʃʼɑ.dɑ.be","keqendoatsadabe","( 2 x 20+ 10)","false",NA,NA,NA
"33","numerals-akhv1239-1-sixty-1","numerals-akhv1239-1","Chan2019","sixty",60,"t͡ɬɑ.qʼːendo.dɑ","tlaqendoda","( 3 x 20 )","false",NA,NA,NA
"34","numerals-akhv1239-1-seventy-1","numerals-akhv1239-1","Chan2019","seventy",70,"t͡ɬɑ.qʼːendo.ɑt͡ʃʼɑ.dɑ.be","tlaqendoatsadabe","( 3 x 20+ 10)","false",NA,NA,NA
"35","numerals-akhv1239-1-eighty-1","numerals-akhv1239-1","Chan2019","eighty",80,"bo.qʼːendo.dɑ","boqendoda","( 4 x 20 )","false",NA,NA,NA
"36","numerals-akhv1239-1-ninety-1","numerals-akhv1239-1","Chan2019","ninety",90,"bo.qʼːendo.ɑt͡ʃʼɑ.dɑ.be","boqendoatsadabe","( 4 x 20+ 10)","false",NA,NA,NA
"37","numerals-akhv1239-1-hundred-1","numerals-akhv1239-1","Chan2019","hundred",100,"beʃano.dɑ","besanoda","","false",NA,NA,NA
"38","numerals-akhv1239-1-twohundred-1","numerals-akhv1239-1","Chan2019","twohundred",200,"kʼe.beʃano.dɑ","kebesanoda","","false",NA,NA,NA
"39","numerals-akhv1239-1-thousand-1","numerals-akhv1239-1","Chan2019","thousand",1000,"ɑzɑro.dɑ","azaroda","< Iranian","true",NA,NA,NA
