"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-chir1284-1-one-1","numerals-chir1284-1","Chan2019","one",1,"t͡sa","tsa","","false",NA,NA,NA
"2","numerals-chir1284-1-two-1","numerals-chir1284-1","Chan2019","two",2,"t͡ʃʼwal","tswal","","false",NA,NA,NA
"3","numerals-chir1284-1-three-1","numerals-chir1284-1","Chan2019","three",3,"ʕaˤbal","abal","","false",NA,NA,NA
"4","numerals-chir1284-1-four-1","numerals-chir1284-1","Chan2019","four",4,"aʁwal","arwal","","false",NA,NA,NA
"5","numerals-chir1284-1-five-1","numerals-chir1284-1","Chan2019","five",5,"xujal","xujal","","false",NA,NA,NA
"6","numerals-chir1284-1-six-1","numerals-chir1284-1","Chan2019","six",6,"rekːal","rekal","","false",NA,NA,NA
"7","numerals-chir1284-1-seven-1","numerals-chir1284-1","Chan2019","seven",7,"ʁwaˤral","rwaral","","false",NA,NA,NA
"8","numerals-chir1284-1-eight-1","numerals-chir1284-1","Chan2019","eight",8,"kːaˤʕal","kaal","","false",NA,NA,NA
"9","numerals-chir1284-1-nine-1","numerals-chir1284-1","Chan2019","nine",9,"art͡ʃʼamal","artsamal","","false",NA,NA,NA
"10","numerals-chir1284-1-ten-1","numerals-chir1284-1","Chan2019","ten",10,"wet͡sʼal","wetsal","","false",NA,NA,NA
"11","numerals-chir1284-1-eleven-1","numerals-chir1284-1","Chan2019","eleven",11,"wet͡sʼ.nu.t͡sara","wetsnutsara","","false",NA,NA,NA
"12","numerals-chir1284-1-twelve-1","numerals-chir1284-1","Chan2019","twelve",12,"wet͡sʼ.nu.t͡ʃʼura","wetsnutsura","","false",NA,NA,NA
"13","numerals-chir1284-1-thirteen-1","numerals-chir1284-1","Chan2019","thirteen",13,"wet͡sʼ.nu.ʕaˤbra","wetsnuabra","","false",NA,NA,NA
"14","numerals-chir1284-1-fourteen-1","numerals-chir1284-1","Chan2019","fourteen",14,"wet͡sʼ.nu.aʁwra","wetsnuarwra","","false",NA,NA,NA
"15","numerals-chir1284-1-fifteen-1","numerals-chir1284-1","Chan2019","fifteen",15,"wet͡sʼ.nu.xura","wetsnuxura","","false",NA,NA,NA
"16","numerals-chir1284-1-sixteen-1","numerals-chir1284-1","Chan2019","sixteen",16,"wet͡sʼ.nu.rekːra","wetsnurekra","","false",NA,NA,NA
"17","numerals-chir1284-1-seventeen-1","numerals-chir1284-1","Chan2019","seventeen",17,"wet͡sʼ.nu.waˤra","wetsnuwara","","false",NA,NA,NA
"18","numerals-chir1284-1-eighteen-1","numerals-chir1284-1","Chan2019","eighteen",18,"wet͡sʼ.nu.kːaˤʕra","wetsnukara","","false",NA,NA,NA
"19","numerals-chir1284-1-nineteen-1","numerals-chir1284-1","Chan2019","nineteen",19,"wet͡sʼ.nu.art͡ʃʼamra","wetsnuartsamra","","false",NA,NA,NA
"20","numerals-chir1284-1-twenty-1","numerals-chir1284-1","Chan2019","twenty",20,"ʁajal","rajal","","false",NA,NA,NA
"21","numerals-chir1284-1-twentyone-1","numerals-chir1284-1","Chan2019","twentyone",21,"ʁa.nu.t͡sara","ranutsara","","false",NA,NA,NA
"22","numerals-chir1284-1-twentytwo-1","numerals-chir1284-1","Chan2019","twentytwo",22,"ʁa.nu.t͡ʃʼura","ranutsura","","false",NA,NA,NA
"23","numerals-chir1284-1-twentythree-1","numerals-chir1284-1","Chan2019","twentythree",23,"ʁa.nu.ʕaˤbra","ranuabra","","false",NA,NA,NA
"24","numerals-chir1284-1-twentyfour-1","numerals-chir1284-1","Chan2019","twentyfour",24,"ʁa.nu.aʁwra","ranuarwra","","false",NA,NA,NA
"25","numerals-chir1284-1-twentyfive-1","numerals-chir1284-1","Chan2019","twentyfive",25,"ʁa.nu.xura","ranuxura","","false",NA,NA,NA
"26","numerals-chir1284-1-twentysix-1","numerals-chir1284-1","Chan2019","twentysix",26,"ʁa.nu.rekːra","ranurekra","","false",NA,NA,NA
"27","numerals-chir1284-1-twentyseven-1","numerals-chir1284-1","Chan2019","twentyseven",27,"ʁa.nu.waˤra","ranuwara","","false",NA,NA,NA
"28","numerals-chir1284-1-twentyeight-1","numerals-chir1284-1","Chan2019","twentyeight",28,"ʁa.nu.kːaˤʕra","ranukara","","false",NA,NA,NA
