"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kark1255-1-one-1","numerals-kark1255-1","Chan2019","one",1,"ater","ater","","false",NA,NA,NA
"2","numerals-kark1255-1-two-1","numerals-kark1255-1","Chan2019","two",2,"annye","annye","","false",NA,NA,NA
"3","numerals-kark1255-1-three-1","numerals-kark1255-1","Chan2019","three",3,"aarum","aarum","","false",NA,NA,NA
"4","numerals-kark1255-1-four-1","numerals-kark1255-1","Chan2019","four",4,"appii","appii","","false",NA,NA,NA
"5","numerals-kark1255-1-five-1","numerals-kark1255-1","Chan2019","five",5,"pirngo","pirngo","","false",NA,NA,NA
"6","numerals-kark1255-1-six-1","numerals-kark1255-1","Chan2019","six",6,"pirkyang","pirkyang","","false",NA,NA,NA
"7","numerals-kark1255-1-seven-1","numerals-kark1255-1","Chan2019","seven",7,"kínít","kinit","","false",NA,NA,NA
"8","numerals-kark1255-1-eight-1","numerals-kark1255-1","Chan2019","eight",8,"pinyi","pinyi","","false",NA,NA,NA
"9","numerals-kark1255-1-nine-1","numerals-kark1255-1","Chan2019","nine",9,"konang","konang","","false",NA,NA,NA
"10","numerals-kark1255-1-ten-1","numerals-kark1255-1","Chan2019","ten",10,"eying","eying","","false",NA,NA,NA
"11","numerals-kark1255-1-eleven-1","numerals-kark1255-1","Chan2019","eleven",11,"eying kolang ater","eyingkolangater","","false",NA,NA,NA
"12","numerals-kark1255-1-twelve-1","numerals-kark1255-1","Chan2019","twelve",12,"eying kolang annyi","eyingkolangannyi","","false",NA,NA,NA
"13","numerals-kark1255-1-thirteen-1","numerals-kark1255-1","Chan2019","thirteen",13,"eying kolang aarum","eyingkolangaarum","","false",NA,NA,NA
"14","numerals-kark1255-1-fourteen-1","numerals-kark1255-1","Chan2019","fourteen",14,"eying kolang appii","eyingkolangappii","","false",NA,NA,NA
"15","numerals-kark1255-1-fifteen-1","numerals-kark1255-1","Chan2019","fifteen",15,"eying kolang pirngo","eyingkolangpirngo","","false",NA,NA,NA
"16","numerals-kark1255-1-sixteen-1","numerals-kark1255-1","Chan2019","sixteen",16,"eying kolang pirkyang","eyingkolangpirkyang","","false",NA,NA,NA
"17","numerals-kark1255-1-seventeen-1","numerals-kark1255-1","Chan2019","seventeen",17,"eying kolang kínít","eyingkolangkinit","","false",NA,NA,NA
"18","numerals-kark1255-1-eighteen-1","numerals-kark1255-1","Chan2019","eighteen",18,"eying kolang pinyi","eyingkolangpinyi","","false",NA,NA,NA
"19","numerals-kark1255-1-nineteen-1","numerals-kark1255-1","Chan2019","nineteen",19,"eying kolang konang","eyingkolangkonang","","false",NA,NA,NA
"20","numerals-kark1255-1-twenty-1","numerals-kark1255-1","Chan2019","twenty",20,"eying annyi","eyingannyi","","false",NA,NA,NA
"21","numerals-kark1255-1-thirty-1","numerals-kark1255-1","Chan2019","thirty",30,"eying aarum","eyingaarum","","false",NA,NA,NA
"22","numerals-kark1255-1-forty-1","numerals-kark1255-1","Chan2019","forty",40,"eying appii","eyingappii","","false",NA,NA,NA
"23","numerals-kark1255-1-fifty-1","numerals-kark1255-1","Chan2019","fifty",50,"eying pirngo","eyingpirngo","","false",NA,NA,NA
"24","numerals-kark1255-1-sixty-1","numerals-kark1255-1","Chan2019","sixty",60,"eying pirkyang","eyingpirkyang","","false",NA,NA,NA
"25","numerals-kark1255-1-seventy-1","numerals-kark1255-1","Chan2019","seventy",70,"eying kinit","eyingkinit","","false",NA,NA,NA
"26","numerals-kark1255-1-eighty-1","numerals-kark1255-1","Chan2019","eighty",80,"eying pinyi","eyingpinyi","","false",NA,NA,NA
"27","numerals-kark1255-1-ninety-1","numerals-kark1255-1","Chan2019","ninety",90,"eying konang","eyingkonang","","false",NA,NA,NA
"28","numerals-kark1255-1-hundred-1","numerals-kark1255-1","Chan2019","hundred",100,"eying eying","eyingeying","","false",NA,NA,NA
"29","numerals-kark1255-1-hundred-2","numerals-kark1255-1","Chan2019","hundred",100,"lingko","lingko","","false",NA,NA,NA
