"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-ladi1251-1-one-1","numerals-ladi1251-1","Chan2019","one",1,"ˈuno","uno","","false",NA,NA,NA
"2","numerals-ladi1251-1-one-2","numerals-ladi1251-1","Chan2019","one",1,"ˈuna","una","(masc./fem.)","false",NA,NA,NA
"3","numerals-ladi1251-1-two-1","numerals-ladi1251-1","Chan2019","two",2,"ˈdos̪","dos","","false",NA,NA,NA
"4","numerals-ladi1251-1-three-1","numerals-ladi1251-1","Chan2019","three",3,"ˈtres̪","tres","","false",NA,NA,NA
"5","numerals-ladi1251-1-four-1","numerals-ladi1251-1","Chan2019","four",4,"ˈkwatɾo","kwatro","","false",NA,NA,NA
"6","numerals-ladi1251-1-five-1","numerals-ladi1251-1","Chan2019","five",5,"ˈs̪iŋko","singko","","false",NA,NA,NA
"7","numerals-ladi1251-1-six-1","numerals-ladi1251-1","Chan2019","six",6,"ˈs̪eʃ","ses","","false",NA,NA,NA
"8","numerals-ladi1251-1-seven-1","numerals-ladi1251-1","Chan2019","seven",7,"ˈs̪jete","sjete","","false",NA,NA,NA
"9","numerals-ladi1251-1-eight-1","numerals-ladi1251-1","Chan2019","eight",8,"ˈot͡ʃo","otso","","false",NA,NA,NA
"10","numerals-ladi1251-1-nine-1","numerals-ladi1251-1","Chan2019","nine",9,"ˈmweve","mweve","","false",NA,NA,NA
"11","numerals-ladi1251-1-ten-1","numerals-ladi1251-1","Chan2019","ten",10,"ˈdjez̪","djez","","false",NA,NA,NA
"12","numerals-ladi1251-1-eleven-1","numerals-ladi1251-1","Chan2019","eleven",11,"ˈonz̪e","onze","","false",NA,NA,NA
"13","numerals-ladi1251-1-twelve-1","numerals-ladi1251-1","Chan2019","twelve",12,"ˈdod͡ʒe","dodze","","false",NA,NA,NA
"14","numerals-ladi1251-1-thirteen-1","numerals-ladi1251-1","Chan2019","thirteen",13,"ˈtred͡ʒe","tredze","","false",NA,NA,NA
"15","numerals-ladi1251-1-fourteen-1","numerals-ladi1251-1","Chan2019","fourteen",14,"kaˈtoɾz̪e","katorze","","false",NA,NA,NA
"16","numerals-ladi1251-1-fifteen-1","numerals-ladi1251-1","Chan2019","fifteen",15,"ˈkinz̪e","kinze","","false",NA,NA,NA
"17","numerals-ladi1251-1-sixteen-1","numerals-ladi1251-1","Chan2019","sixteen",16,"diz̪iˈs̪eʃ","dizises","","false",NA,NA,NA
"18","numerals-ladi1251-1-seventeen-1","numerals-ladi1251-1","Chan2019","seventeen",17,"diz̪iˈs̪jete","dizisjete","","false",NA,NA,NA
"19","numerals-ladi1251-1-eighteen-1","numerals-ladi1251-1","Chan2019","eighteen",18,"diˈz̪jot͡ʃo","dizjotso","","false",NA,NA,NA
"20","numerals-ladi1251-1-nineteen-1","numerals-ladi1251-1","Chan2019","nineteen",19,"diz̪iˈmweve","dizimweve","","false",NA,NA,NA
"21","numerals-ladi1251-1-twenty-1","numerals-ladi1251-1","Chan2019","twenty",20,"ˈvente","vente","","false",NA,NA,NA
"22","numerals-ladi1251-1-twentyone-1","numerals-ladi1251-1","Chan2019","twentyone",21,"ven̺ˈtjuno","ventjuno","","false",NA,NA,NA
"23","numerals-ladi1251-1-twentyone-2","numerals-ladi1251-1","Chan2019","twentyone",21,"ven̺ˈtjuna","ventjuna","","false",NA,NA,NA
"24","numerals-ladi1251-1-twentytwo-1","numerals-ladi1251-1","Chan2019","twentytwo",22,"ven̺tiˈdos̪","ventidos","","false",NA,NA,NA
"25","numerals-ladi1251-1-twentythree-1","numerals-ladi1251-1","Chan2019","twentythree",23,"ven̺tiˈtres̪","ventitres","","false",NA,NA,NA
"26","numerals-ladi1251-1-twentyfour-1","numerals-ladi1251-1","Chan2019","twentyfour",24,"ven̺tiˈkwatro","ventikwatro","","false",NA,NA,NA
"27","numerals-ladi1251-1-twentyfive-1","numerals-ladi1251-1","Chan2019","twentyfive",25,"ven̺tiˈs̪iŋko","ventisingko","","false",NA,NA,NA
"28","numerals-ladi1251-1-twentysix-1","numerals-ladi1251-1","Chan2019","twentysix",26,"ven̺tiˈs̪eʃ","ventises","","false",NA,NA,NA
"29","numerals-ladi1251-1-twentyseven-1","numerals-ladi1251-1","Chan2019","twentyseven",27,"ven̺tiˈs̪jete","ventisjete","","false",NA,NA,NA
"30","numerals-ladi1251-1-twentyeight-1","numerals-ladi1251-1","Chan2019","twentyeight",28,"ven̺ˈtjot͡ʃo","ventjotso","","false",NA,NA,NA
"31","numerals-ladi1251-1-twentynine-1","numerals-ladi1251-1","Chan2019","twentynine",29,"ven̺tiˈmweve","ventimweve","","false",NA,NA,NA
"32","numerals-ladi1251-1-thirty-1","numerals-ladi1251-1","Chan2019","thirty",30,"ˈtren̺ta","trenta","","false",NA,NA,NA
"33","numerals-ladi1251-1-forty-1","numerals-ladi1251-1","Chan2019","forty",40,"kwaˈɾen̺ta","kwarenta","","false",NA,NA,NA
