"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-lolo1259-1-one-1","numerals-lolo1259-1","Chan2019","one",1,"tʰi21","thi21","","false",NA,NA,NA
"2","numerals-lolo1259-1-two-1","numerals-lolo1259-1","Chan2019","two",2,"ni21","ni21","","false",NA,NA,NA
"3","numerals-lolo1259-1-three-1","numerals-lolo1259-1","Chan2019","three",3,"so33","so33","","false",NA,NA,NA
"4","numerals-lolo1259-1-four-1","numerals-lolo1259-1","Chan2019","four",4,"li33","li33","","false",NA,NA,NA
"5","numerals-lolo1259-1-five-1","numerals-lolo1259-1","Chan2019","five",5,"ŋo21","ngo21","","false",NA,NA,NA
"6","numerals-lolo1259-1-six-1","numerals-lolo1259-1","Chan2019","six",6,"tɕʰo55","tcho55","","false",NA,NA,NA
"7","numerals-lolo1259-1-seven-1","numerals-lolo1259-1","Chan2019","seven",7,"ɕi21","ci21","","false",NA,NA,NA
"8","numerals-lolo1259-1-eight-1","numerals-lolo1259-1","Chan2019","eight",8,"he̠55","he55","","false",NA,NA,NA
"9","numerals-lolo1259-1-nine-1","numerals-lolo1259-1","Chan2019","nine",9,"kɯ33","kw33","","false",NA,NA,NA
"10","numerals-lolo1259-1-ten-1","numerals-lolo1259-1","Chan2019","ten",10,"tsʰi̠33","tshi33","","false",NA,NA,NA
"11","numerals-lolo1259-1-eleven-1","numerals-lolo1259-1","Chan2019","eleven",11,"tsʰi33ti55","tshi33ti55","","false",NA,NA,NA
"12","numerals-lolo1259-1-twelve-1","numerals-lolo1259-1","Chan2019","twelve",12,"tsʰi33ni21","tshi33ni21","","false",NA,NA,NA
"13","numerals-lolo1259-1-thirteen-1","numerals-lolo1259-1","Chan2019","thirteen",13,"tsʰi33sa33","tshi33sa33","","false",NA,NA,NA
"14","numerals-lolo1259-1-fourteen-1","numerals-lolo1259-1","Chan2019","fourteen",14,"tsʰi33li33","tshi33li33","","false",NA,NA,NA
"15","numerals-lolo1259-1-fifteen-1","numerals-lolo1259-1","Chan2019","fifteen",15,"tsʰi33ŋo21","tshi33ngo21","","false",NA,NA,NA
