"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mirp1238-1-one-1","numerals-mirp1238-1","Chan2019","one",1,"ɪk","ik","","false",NA,NA,NA
"2","numerals-mirp1238-1-two-1","numerals-mirp1238-1","Chan2019","two",2,"do","do","","false",NA,NA,NA
"3","numerals-mirp1238-1-three-1","numerals-mirp1238-1","Chan2019","three",3,"trɛ","tre","","false",NA,NA,NA
"4","numerals-mirp1238-1-four-1","numerals-mirp1238-1","Chan2019","four",4,"t͡ʃaɾ","tsar","","false",NA,NA,NA
"5","numerals-mirp1238-1-five-1","numerals-mirp1238-1","Chan2019","five",5,"pə̃t͡ʃ","pats","","false",NA,NA,NA
"6","numerals-mirp1238-1-six-1","numerals-mirp1238-1","Chan2019","six",6,"t͡ʃʰe","tshe","","false",NA,NA,NA
"7","numerals-mirp1238-1-seven-1","numerals-mirp1238-1","Chan2019","seven",7,"sət","sat","","false",NA,NA,NA
"8","numerals-mirp1238-1-eight-1","numerals-mirp1238-1","Chan2019","eight",8,"əʈʰ","ath","","false",NA,NA,NA
"9","numerals-mirp1238-1-nine-1","numerals-mirp1238-1","Chan2019","nine",9,"no","no","","false",NA,NA,NA
"10","numerals-mirp1238-1-ten-1","numerals-mirp1238-1","Chan2019","ten",10,"dəs","das","","false",NA,NA,NA
"11","numerals-mirp1238-1-eleven-1","numerals-mirp1238-1","Chan2019","eleven",11,"ˈjara","jara","","false",NA,NA,NA
"12","numerals-mirp1238-1-twelve-1","numerals-mirp1238-1","Chan2019","twelve",12,"ˈbara","bara","","false",NA,NA,NA
"13","numerals-mirp1238-1-thirteen-1","numerals-mirp1238-1","Chan2019","thirteen",13,"ˈtera","tera","","false",NA,NA,NA
"14","numerals-mirp1238-1-fourteen-1","numerals-mirp1238-1","Chan2019","fourteen",14,"ˈt͡ʃoda","tsoda","","false",NA,NA,NA
"15","numerals-mirp1238-1-fifteen-1","numerals-mirp1238-1","Chan2019","fifteen",15,"ˈpə̃dra","padra","","false",NA,NA,NA
"16","numerals-mirp1238-1-sixteen-1","numerals-mirp1238-1","Chan2019","sixteen",16,"ˈsola","sola","","false",NA,NA,NA
"17","numerals-mirp1238-1-seventeen-1","numerals-mirp1238-1","Chan2019","seventeen",17,"səˈtra","satra","","false",NA,NA,NA
"18","numerals-mirp1238-1-eighteen-1","numerals-mirp1238-1","Chan2019","eighteen",18,"əˈʈʰara","athara","","false",NA,NA,NA
"19","numerals-mirp1238-1-nineteen-1","numerals-mirp1238-1","Chan2019","nineteen",19,"ˈʊni","uni","( 20 - 1)","false",NA,NA,NA
"20","numerals-mirp1238-1-twenty-1","numerals-mirp1238-1","Chan2019","twenty",20,"vi","vi","","false",NA,NA,NA
"21","numerals-mirp1238-1-twentyone-1","numerals-mirp1238-1","Chan2019","twentyone",21,"ˈɪki","iki","","false",NA,NA,NA
"22","numerals-mirp1238-1-twentytwo-1","numerals-mirp1238-1","Chan2019","twentytwo",22,"ˈbəi","bai","","false",NA,NA,NA
"23","numerals-mirp1238-1-twentythree-1","numerals-mirp1238-1","Chan2019","twentythree",23,"ˈtrɛi","trei","","false",NA,NA,NA
"24","numerals-mirp1238-1-twentyfour-1","numerals-mirp1238-1","Chan2019","twentyfour",24,"ˈt͡ʃovi","tsovi","","false",NA,NA,NA
"25","numerals-mirp1238-1-twentyfive-1","numerals-mirp1238-1","Chan2019","twentyfive",25,"ˈpəd͡ʒi","padzi","","false",NA,NA,NA
"26","numerals-mirp1238-1-twentysix-1","numerals-mirp1238-1","Chan2019","twentysix",26,"ˈt͡ʃəbi","tsabi","","false",NA,NA,NA
"27","numerals-mirp1238-1-twentyseven-1","numerals-mirp1238-1","Chan2019","twentyseven",27,"səˈtai","satai","","false",NA,NA,NA
"28","numerals-mirp1238-1-twentyeight-1","numerals-mirp1238-1","Chan2019","twentyeight",28,"əˈʈʰai","athai","","false",NA,NA,NA
"29","numerals-mirp1238-1-twentynine-1","numerals-mirp1238-1","Chan2019","twentynine",29,"ˈnəti","nati","( 30 - 1)","false",NA,NA,NA
"30","numerals-mirp1238-1-thirty-1","numerals-mirp1238-1","Chan2019","thirty",30,"tri","tri","","false",NA,NA,NA
"31","numerals-mirp1238-1-forty-1","numerals-mirp1238-1","Chan2019","forty",40,"ˈt͡ʃəli","tsali","","false",NA,NA,NA
"32","numerals-mirp1238-1-fifty-1","numerals-mirp1238-1","Chan2019","fifty",50,"pə̃ˈd͡ʒa","padza","","false",NA,NA,NA
"33","numerals-mirp1238-1-sixty-1","numerals-mirp1238-1","Chan2019","sixty",60,"səʈʰ","sath","","false",NA,NA,NA
"34","numerals-mirp1238-1-seventy-1","numerals-mirp1238-1","Chan2019","seventy",70,"ˈsətər","satar","","false",NA,NA,NA
"35","numerals-mirp1238-1-eighty-1","numerals-mirp1238-1","Chan2019","eighty",80,"ˈəsi","asi","","false",NA,NA,NA
"36","numerals-mirp1238-1-ninety-1","numerals-mirp1238-1","Chan2019","ninety",90,"ˈnəwɛ","nawe","","false",NA,NA,NA
"37","numerals-mirp1238-1-hundred-1","numerals-mirp1238-1","Chan2019","hundred",100,"so","so","","false",NA,NA,NA
"38","numerals-mirp1238-1-twohundred-1","numerals-mirp1238-1","Chan2019","twohundred",200,"ˈdo so","doso","","false",NA,NA,NA
"39","numerals-mirp1238-1-thousand-1","numerals-mirp1238-1","Chan2019","thousand",1000,"həˈzar","hazar","","false",NA,NA,NA
"40","numerals-mirp1238-1-twothousand-1","numerals-mirp1238-1","Chan2019","twothousand",2000,"ˈdo həˌzar","dohazar","","false",NA,NA,NA
