"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-puxi1243-1-one-1","numerals-puxi1243-1","Chan2019","one",1,"ɬoʔ4","lo4","","false",NA,NA,NA
"2","numerals-puxi1243-1-two-1","numerals-puxi1243-1","Chan2019","two",2,"nŋ11","nng11","","false",NA,NA,NA
"3","numerals-puxi1243-1-three-1","numerals-puxi1243-1","Chan2019","three",3,"ɬɒ̃533","la533","","false",NA,NA,NA
"4","numerals-puxi1243-1-four-1","numerals-puxi1243-1","Chan2019","four",4,"ɬi41","li41","","false",NA,NA,NA
"5","numerals-puxi1243-1-five-1","numerals-puxi1243-1","Chan2019","five",5,"ŋou11","ngou11","","false",NA,NA,NA
"6","numerals-puxi1243-1-six-1","numerals-puxi1243-1","Chan2019","six",6,"laʔ4","la4","","false",NA,NA,NA
"7","numerals-puxi1243-1-seven-1","numerals-puxi1243-1","Chan2019","seven",7,"tsʰiʔ21","tshi21","","false",NA,NA,NA
"8","numerals-puxi1243-1-eight-1","numerals-puxi1243-1","Chan2019","eight",8,"pe11","pe11","","false",NA,NA,NA
"9","numerals-puxi1243-1-nine-1","numerals-puxi1243-1","Chan2019","nine",9,"kau453","kau453","","false",NA,NA,NA
"10","numerals-puxi1243-1-ten-1","numerals-puxi1243-1","Chan2019","ten",10,"ɬe24","le24","","false",NA,NA,NA
"11","numerals-puxi1243-1-eleven-1","numerals-puxi1243-1","Chan2019","eleven",11,"ɬe24iʔ21","le24i21","","false",NA,NA,NA
"12","numerals-puxi1243-1-twelve-1","numerals-puxi1243-1","Chan2019","twelve",12,"ɬe24li11","le24li11","","false",NA,NA,NA
"13","numerals-puxi1243-1-thirteen-1","numerals-puxi1243-1","Chan2019","thirteen",13,"ɬe24ɬɒ̃533","le24la533","","false",NA,NA,NA
"14","numerals-puxi1243-1-fourteen-1","numerals-puxi1243-1","Chan2019","fourteen",14,"ɬe24ɬi41","le24li41","","false",NA,NA,NA
"15","numerals-puxi1243-1-fifteen-1","numerals-puxi1243-1","Chan2019","fifteen",15,"ɬe24ŋou242","le24ngou242","","false",NA,NA,NA
"16","numerals-puxi1243-1-sixteen-1","numerals-puxi1243-1","Chan2019","sixteen",16,"ɬe24laʔ4","le24la4","","false",NA,NA,NA
