"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-shan1292-1-one-1","numerals-shan1292-1","Chan2019","one",1,"jiʔ32","ji32","","false",NA,NA,NA
"2","numerals-shan1292-1-two-1","numerals-shan1292-1","Chan2019","two",2,"tioŋ42","tiong42","","false",NA,NA,NA
"3","numerals-shan1292-1-three-1","numerals-shan1292-1","Chan2019","three",3,"sã55","sa55","","false",NA,NA,NA
"4","numerals-shan1292-1-four-1","numerals-shan1292-1","Chan2019","four",4,"sɿ242","sr242","","false",NA,NA,NA
"5","numerals-shan1292-1-five-1","numerals-shan1292-1","Chan2019","five",5,"ŋ42","ng42","","false",NA,NA,NA
"6","numerals-shan1292-1-six-1","numerals-shan1292-1","Chan2019","six",6,"təʔ32","ta32","","false",NA,NA,NA
"7","numerals-shan1292-1-seven-1","numerals-shan1292-1","Chan2019","seven",7,"tsʰeiʔ32","tshei32","","false",NA,NA,NA
"8","numerals-shan1292-1-eight-1","numerals-shan1292-1","Chan2019","eight",8,"paʔ32","pa32","","false",NA,NA,NA
"9","numerals-shan1292-1-nine-1","numerals-shan1292-1","Chan2019","nine",9,"tɕiɤɯ42","tciuw42","","false",NA,NA,NA
"10","numerals-shan1292-1-ten-1","numerals-shan1292-1","Chan2019","ten",10,"seiʔ35","sei35","","false",NA,NA,NA
"11","numerals-shan1292-1-eleven-1","numerals-shan1292-1","Chan2019","eleven",11,"seiʔ35jiʔ32","sei35ji32","","false",NA,NA,NA
"12","numerals-shan1292-1-twelve-1","numerals-shan1292-1","Chan2019","twelve",12,"seiʔ35tioŋ42","sei35tiong42","","false",NA,NA,NA
"13","numerals-shan1292-1-thirteen-1","numerals-shan1292-1","Chan2019","thirteen",13,"seiʔ35sã55","sei35sa55","","false",NA,NA,NA
"14","numerals-shan1292-1-fourteen-1","numerals-shan1292-1","Chan2019","fourteen",14,"seiʔ35sɿ242","sei35sr242","","false",NA,NA,NA
"15","numerals-shan1292-1-fifteen-1","numerals-shan1292-1","Chan2019","fifteen",15,"seiʔ35ŋ42","sei35ng42","","false",NA,NA,NA
"16","numerals-shan1292-1-sixteen-1","numerals-shan1292-1","Chan2019","sixteen",16,"seiʔ35təʔ32","sei35ta32","","false",NA,NA,NA
"17","numerals-shan1292-1-seventeen-1","numerals-shan1292-1","Chan2019","seventeen",17,"seiʔ35tsʰeiʔ32","sei35tshei32","","false",NA,NA,NA
"18","numerals-shan1292-1-eighteen-1","numerals-shan1292-1","Chan2019","eighteen",18,"seiʔ35paʔ32","sei35pa32","","false",NA,NA,NA
"19","numerals-shan1292-1-nineteen-1","numerals-shan1292-1","Chan2019","nineteen",19,"seiʔ35tɕiɤɯ42","sei35tciuw42","","false",NA,NA,NA
"20","numerals-shan1292-1-twenty-1","numerals-shan1292-1","Chan2019","twenty",20,"tioŋ42seiʔ35","tiong42sei35","","false",NA,NA,NA
"21","numerals-shan1292-1-twentyone-1","numerals-shan1292-1","Chan2019","twentyone",21,"tioŋ42 jiʔ32","tiong42ji32","","false",NA,NA,NA
"22","numerals-shan1292-1-twentytwo-1","numerals-shan1292-1","Chan2019","twentytwo",22,"tioŋ42 tioŋ42","tiong42tiong42","","false",NA,NA,NA
"23","numerals-shan1292-1-twentythree-1","numerals-shan1292-1","Chan2019","twentythree",23,"tioŋ42 sã55","tiong42sa55","","false",NA,NA,NA
"24","numerals-shan1292-1-twentyfour-1","numerals-shan1292-1","Chan2019","twentyfour",24,"tioŋ42 sɿ242","tiong42sr242","","false",NA,NA,NA
"25","numerals-shan1292-1-twentyfive-1","numerals-shan1292-1","Chan2019","twentyfive",25,"tioŋ42 ŋ42","tiong42ng42","","false",NA,NA,NA
"26","numerals-shan1292-1-twentysix-1","numerals-shan1292-1","Chan2019","twentysix",26,"tioŋ42 təʔ32","tiong42ta32","","false",NA,NA,NA
"27","numerals-shan1292-1-twentyseven-1","numerals-shan1292-1","Chan2019","twentyseven",27,"tioŋ42 tsʰeiʔ32","tiong42tshei32","","false",NA,NA,NA
"28","numerals-shan1292-1-twentyeight-1","numerals-shan1292-1","Chan2019","twentyeight",28,"tioŋ42 paʔ32","tiong42pa32","","false",NA,NA,NA
"29","numerals-shan1292-1-twentynine-1","numerals-shan1292-1","Chan2019","twentynine",29,"tioŋ42 tɕiɤɯ42","tiong42tciuw42","","false",NA,NA,NA
"30","numerals-shan1292-1-thirty-1","numerals-shan1292-1","Chan2019","thirty",30,"sã55 seiʔ35","sa55sei35","","false",NA,NA,NA
"31","numerals-shan1292-1-forty-1","numerals-shan1292-1","Chan2019","forty",40,"sɿ242 seiʔ35","sr242sei35","","false",NA,NA,NA
