"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-chic1270-1-one-1","numerals-chic1270-1","Chan2019","one",1,"čaffa","caffa","","false",NA,NA,NA
"2","numerals-chic1270-1-two-1","numerals-chic1270-1","Chan2019","two",2,"toklo","toklo","","false",NA,NA,NA
"3","numerals-chic1270-1-three-1","numerals-chic1270-1","Chan2019","three",3,"toččíʔna","toccina","","false",NA,NA,NA
"4","numerals-chic1270-1-four-1","numerals-chic1270-1","Chan2019","four",4,"ošta","osta","","false",NA,NA,NA
"5","numerals-chic1270-1-five-1","numerals-chic1270-1","Chan2019","five",5,"taɬɬáʔpi","tallapi","","false",NA,NA,NA
"6","numerals-chic1270-1-six-1","numerals-chic1270-1","Chan2019","six",6,"hannáʔli","hannali","","false",NA,NA,NA
"7","numerals-chic1270-1-seven-1","numerals-chic1270-1","Chan2019","seven",7,"ontoklo","ontoklo","","false",NA,NA,NA
"8","numerals-chic1270-1-eight-1","numerals-chic1270-1","Chan2019","eight",8,"ontoččíʔna","ontoccina","","false",NA,NA,NA
"9","numerals-chic1270-1-nine-1","numerals-chic1270-1","Chan2019","nine",9,"čakkáʔli","cakkali","","false",NA,NA,NA
"10","numerals-chic1270-1-ten-1","numerals-chic1270-1","Chan2019","ten",10,"pokkóʔli","pokkoli","","false",NA,NA,NA
"11","numerals-chic1270-1-eleven-1","numerals-chic1270-1","Chan2019","eleven",11,"awa čaffa","awacaffa","","false",NA,NA,NA
"12","numerals-chic1270-1-twelve-1","numerals-chic1270-1","Chan2019","twelve",12,"awa toklo","awatoklo","","false",NA,NA,NA
"13","numerals-chic1270-1-thirteen-1","numerals-chic1270-1","Chan2019","thirteen",13,"awa toččíʔna","awatoccina","","false",NA,NA,NA
"14","numerals-chic1270-1-fourteen-1","numerals-chic1270-1","Chan2019","fourteen",14,"awa ošta","awaosta","","false",NA,NA,NA
"15","numerals-chic1270-1-fifteen-1","numerals-chic1270-1","Chan2019","fifteen",15,"awa taɬɬáʔpi","awatallapi","","false",NA,NA,NA
