"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kili1268-1-one-1","numerals-kili1268-1","Chan2019","one",1,"msir","msir","","false",NA,NA,NA
"2","numerals-kili1268-1-two-1","numerals-kili1268-1","Chan2019","two",2,"xwaq","xwaq","","false",NA,NA,NA
"3","numerals-kili1268-1-three-1","numerals-kili1268-1","Chan2019","three",3,"xmiʔq","xmiq","","false",NA,NA,NA
"4","numerals-kili1268-1-four-1","numerals-kili1268-1","Chan2019","four",4,"mnaq","mnaq","","false",NA,NA,NA
"5","numerals-kili1268-1-five-1","numerals-kili1268-1","Chan2019","five",5,"sal=t͡ʃpam","saltspam","","false",NA,NA,NA
"6","numerals-kili1268-1-six-1","numerals-kili1268-1","Chan2019","six",6,"msir-l=h-paayp","msirlhpaayp","(litː ''one leans'')","false",NA,NA,NA
"7","numerals-kili1268-1-seven-1","numerals-kili1268-1","Chan2019","seven",7,"xwaq-l=h-paayp","xwaqlhpaayp","","false",NA,NA,NA
"8","numerals-kili1268-1-eight-1","numerals-kili1268-1","Chan2019","eight",8,"xmiʔq-l=h-paayp","xmiqlhpaayp","","false",NA,NA,NA
"9","numerals-kili1268-1-nine-1","numerals-kili1268-1","Chan2019","nine",9,"msir-t=mat","msirtmat","(litː ''one missing'' )","false",NA,NA,NA
"10","numerals-kili1268-1-ten-1","numerals-kili1268-1","Chan2019","ten",10,"t͡ʃpam=msir","tspammsir","","false",NA,NA,NA
"11","numerals-kili1268-1-eleven-1","numerals-kili1268-1","Chan2019","eleven",11,"t͡ʃpam=msir=msir-t=ʔ-mal=haa","tspammsirmsirtmalhaa","","false",NA,NA,NA
"12","numerals-kili1268-1-twelve-1","numerals-kili1268-1","Chan2019","twelve",12,"t͡ʃpam=msir=xwaq-t=ʔ-mal=haa","tspammsirxwaqtmalhaa","","false",NA,NA,NA
"13","numerals-kili1268-1-thirteen-1","numerals-kili1268-1","Chan2019","thirteen",13,"t͡ʃpam=msir=xmiʔ-t=ʔ-mal=haa","tspammsirxmitmalhaa","","false",NA,NA,NA
"14","numerals-kili1268-1-fourteen-1","numerals-kili1268-1","Chan2019","fourteen",14,"t͡ʃpam=msir=mnaq-t=ʔ-mal=haa","tspammsirmnaqtmalhaa","","false",NA,NA,NA
"15","numerals-kili1268-1-fifteen-1","numerals-kili1268-1","Chan2019","fifteen",15,"t͡ʃpam=msir=sal=t͡ʃpam=ʔ-mal=haa","tspammsirsaltspammalhaa","","false",NA,NA,NA
"16","numerals-kili1268-1-sixteen-1","numerals-kili1268-1","Chan2019","sixteen",16,"t͡ʃpam=msir=msir-l=h-paayp-t=ʔ-mal=haa","tspammsirmsirlhpaayptmalhaa","","false",NA,NA,NA
"17","numerals-kili1268-1-seventeen-1","numerals-kili1268-1","Chan2019","seventeen",17,"t͡ʃpam=msir=xwaq-l=h-paayp-t=ʔ-mal=haa","tspammsirxwaqlhpaayptmalhaa","","false",NA,NA,NA
"18","numerals-kili1268-1-eighteen-1","numerals-kili1268-1","Chan2019","eighteen",18,"t͡ʃpam=msir=xmiʔq-l=h-paayp-t=ʔ-mal=haa","tspammsirxmiqlhpaayptmalhaa","","false",NA,NA,NA
"19","numerals-kili1268-1-nineteen-1","numerals-kili1268-1","Chan2019","nineteen",19,"t͡ʃpam=msir=msir-t=mat-t=ʔ-mal=haa","tspammsirmsirtmattmalhaa","","false",NA,NA,NA
"20","numerals-kili1268-1-twenty-1","numerals-kili1268-1","Chan2019","twenty",20,"t͡ʃpam=xwaq","tspamxwaq","","false",NA,NA,NA
"21","numerals-kili1268-1-twentyone-1","numerals-kili1268-1","Chan2019","twentyone",21,"t͡ʃpam=xwaq=msir-t=ʔ-mal=haa","tspamxwaqmsirtmalhaa","","false",NA,NA,NA
"22","numerals-kili1268-1-twentytwo-1","numerals-kili1268-1","Chan2019","twentytwo",22,"t͡ʃpam=xwaq=xwaq-t=ʔ-mal=haa","tspamxwaqxwaqtmalhaa","","false",NA,NA,NA
"23","numerals-kili1268-1-twentythree-1","numerals-kili1268-1","Chan2019","twentythree",23,"t͡ʃpam=xwaq=xmiʔ-t=ʔ-mal=haa","tspamxwaqxmitmalhaa","","false",NA,NA,NA
"24","numerals-kili1268-1-twentyfour-1","numerals-kili1268-1","Chan2019","twentyfour",24,"t͡ʃpam=xwaq=mnaq-t=ʔ-mal=haa","tspamxwaqmnaqtmalhaa","","false",NA,NA,NA
