"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-lako1247-1-one-1","numerals-lako1247-1","Chan2019","one",1,"wãji","waji","","false",NA,NA,NA
"2","numerals-lako1247-1-two-1","numerals-lako1247-1","Chan2019","two",2,"nũpa","nupa","","false",NA,NA,NA
"3","numerals-lako1247-1-three-1","numerals-lako1247-1","Chan2019","three",3,"jamni","jamni","","false",NA,NA,NA
"4","numerals-lako1247-1-four-1","numerals-lako1247-1","Chan2019","four",4,"topa","topa","","false",NA,NA,NA
"5","numerals-lako1247-1-five-1","numerals-lako1247-1","Chan2019","five",5,"zaptã","zapta","","false",NA,NA,NA
"6","numerals-lako1247-1-six-1","numerals-lako1247-1","Chan2019","six",6,"ʃakpe","sakpe","","false",NA,NA,NA
"7","numerals-lako1247-1-seven-1","numerals-lako1247-1","Chan2019","seven",7,"ʃakowĩ","sakowi","","false",NA,NA,NA
"8","numerals-lako1247-1-eight-1","numerals-lako1247-1","Chan2019","eight",8,"ʃasloɢã","sasloga","","false",NA,NA,NA
"9","numerals-lako1247-1-nine-1","numerals-lako1247-1","Chan2019","nine",9,"naptʃijũka","naptsijuka","","false",NA,NA,NA
"10","numerals-lako1247-1-ten-1","numerals-lako1247-1","Chan2019","ten",10,"wiktʃemna","wiktsemna","","false",NA,NA,NA
"11","numerals-lako1247-1-eleven-1","numerals-lako1247-1","Chan2019","eleven",11,"ake wãji","akewaji","","false",NA,NA,NA
"12","numerals-lako1247-1-twelve-1","numerals-lako1247-1","Chan2019","twelve",12,"ake nũpa","akenupa","","false",NA,NA,NA
"13","numerals-lako1247-1-thirteen-1","numerals-lako1247-1","Chan2019","thirteen",13,"ake jamni","akejamni","","false",NA,NA,NA
"14","numerals-lako1247-1-fourteen-1","numerals-lako1247-1","Chan2019","fourteen",14,"ake topa","aketopa","","false",NA,NA,NA
"15","numerals-lako1247-1-fifteen-1","numerals-lako1247-1","Chan2019","fifteen",15,"ake zaptã","akezapta","","false",NA,NA,NA
"16","numerals-lako1247-1-sixteen-1","numerals-lako1247-1","Chan2019","sixteen",16,"ake ʃakpe","akesakpe","","false",NA,NA,NA
"17","numerals-lako1247-1-seventeen-1","numerals-lako1247-1","Chan2019","seventeen",17,"ake ʃakowĩ","akesakowi","","false",NA,NA,NA
"18","numerals-lako1247-1-eighteen-1","numerals-lako1247-1","Chan2019","eighteen",18,"ake ʃasloɢã","akesasloga","","false",NA,NA,NA
"19","numerals-lako1247-1-nineteen-1","numerals-lako1247-1","Chan2019","nineteen",19,"ake naptʃijũka","akenaptsijuka","","false",NA,NA,NA
"20","numerals-lako1247-1-twenty-1","numerals-lako1247-1","Chan2019","twenty",20,"wiktʃemna nũpa","wiktsemnanupa","","false",NA,NA,NA
"21","numerals-lako1247-1-twentyone-1","numerals-lako1247-1","Chan2019","twentyone",21,"witʃkemna nũpa sam wãji","witskemnanupasamwaji","","false",NA,NA,NA
"22","numerals-lako1247-1-twentytwo-1","numerals-lako1247-1","Chan2019","twentytwo",22,"witʃkemna nũpa sam nũpa","witskemnanupasamnupa","","false",NA,NA,NA
"23","numerals-lako1247-1-twentythree-1","numerals-lako1247-1","Chan2019","twentythree",23,"witʃkemna nũpa sam jamni","witskemnanupasamjamni","","false",NA,NA,NA
