"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-nort2968-1-one-1","numerals-nort2968-1","Chan2019","one",1,"lutti-","lutti","","false",NA,NA,NA
"2","numerals-nort2968-1-two-1","numerals-nort2968-1","Chan2019","two",2,"'oʈiiko-","otiiko","","false",NA,NA,NA
"3","numerals-nort2968-1-three-1","numerals-nort2968-1","Chan2019","three",3,"tolookosu-","tolookosu","","false",NA,NA,NA
"4","numerals-nort2968-1-four-1","numerals-nort2968-1","Chan2019","four",4,"'ojjissa-","ojjissa","","false",NA,NA,NA
"5","numerals-nort2968-1-five-1","numerals-nort2968-1","Chan2019","five",5,"massokka-","massokka","","false",NA,NA,NA
"6","numerals-nort2968-1-six-1","numerals-nort2968-1","Chan2019","six",6,"temmokka-","temmokka","","false",NA,NA,NA
"7","numerals-nort2968-1-seven-1","numerals-nort2968-1","Chan2019","seven",7,"kenekkakɨ-","kenekkaki","","false",NA,NA,NA
"8","numerals-nort2968-1-eight-1","numerals-nort2968-1","Chan2019","eight",8,"kawwinʈa-","kawwinta","","false",NA,NA,NA
"9","numerals-nort2968-1-nine-1","numerals-nort2968-1","Chan2019","nine",9,"wo'e-","woe","","false",NA,NA,NA
"10","numerals-nort2968-1-ten-1","numerals-nort2968-1","Chan2019","ten",10,"na'aaca-","naaaca","","false",NA,NA,NA
"11","numerals-nort2968-1-eleven-1","numerals-nort2968-1","Chan2019","eleven",11,"lussakkeenu-","lussakkeenu","","false",NA,NA,NA
"12","numerals-nort2968-1-twelve-1","numerals-nort2968-1","Chan2019","twelve",12,"'oʈiksakeenɨ-","otiksakeeni","","false",NA,NA,NA
"13","numerals-nort2968-1-twelve-2","numerals-nort2968-1","Chan2019","twelve",12,"'oʈiksakeenu-","otiksakeenu","","false",NA,NA,NA
"14","numerals-nort2968-1-thirteen-1","numerals-nort2968-1","Chan2019","thirteen",13,"toloktejaakɨ-","toloktejaaki","","false",NA,NA,NA
"15","numerals-nort2968-1-thirteen-2","numerals-nort2968-1","Chan2019","thirteen",13,"tolotte-","tolotte","","false",NA,NA,NA
"16","numerals-nort2968-1-thirteen-3","numerals-nort2968-1","Chan2019","thirteen",13,"torotte-","torotte","","false",NA,NA,NA
"17","numerals-nort2968-1-fourteen-1","numerals-nort2968-1","Chan2019","fourteen",14,"kokookakɨ-","kokookaki","","false",NA,NA,NA
"18","numerals-nort2968-1-fourteen-2","numerals-nort2968-1","Chan2019","fourteen",14,"kokookosu-","kokookosu","","false",NA,NA,NA
"19","numerals-nort2968-1-fifteen-1","numerals-nort2968-1","Chan2019","fifteen",15,"juu'ali-","juuali","","false",NA,NA,NA
"20","numerals-nort2968-1-twenty-1","numerals-nort2968-1","Chan2019","twenty",20,"na''a-","naa","","false",NA,NA,NA
