"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-quin1251-1-one-1","numerals-quin1251-1","Chan2019","one",1,"páw or páwʼ","paw","","false",NA,NA,NA
"2","numerals-quin1251-1-two-1","numerals-quin1251-1","Chan2019","two",2,"sá.li","sali","","false",NA,NA,NA
"3","numerals-quin1251-1-three-1","numerals-quin1251-1","Chan2019","three",3,"čáʔɬa or čáʔɬə","cala","","false",NA,NA,NA
"4","numerals-quin1251-1-three-2","numerals-quin1251-1","Chan2019","three",3,"čáʔɬa or čáʔɬə","cala","","false",NA,NA,NA
"5","numerals-quin1251-1-four-1","numerals-quin1251-1","Chan2019","four",4,"mú.s","mus","","false",NA,NA,NA
"6","numerals-quin1251-1-five-1","numerals-quin1251-1","Chan2019","five",5,"cílaks","cilaks","","false",NA,NA,NA
"7","numerals-quin1251-1-six-1","numerals-quin1251-1","Chan2019","six",6,"sitáčaʔ or sítačʼə or sítəčʼə","sitaca","","false",NA,NA,NA
"8","numerals-quin1251-1-six-2","numerals-quin1251-1","Chan2019","six",6,"sitáčaʔ or sítačʼə or sítəčʼə","sitaca","","false",NA,NA,NA
"9","numerals-quin1251-1-six-3","numerals-quin1251-1","Chan2019","six",6,"sitáčaʔ or sítačʼə or sítəčʼə","sitaca","","false",NA,NA,NA
"10","numerals-quin1251-1-seven-1","numerals-quin1251-1","Chan2019","seven",7,"cʼó.ps or cʼóps","cops","","false",NA,NA,NA
"11","numerals-quin1251-1-seven-2","numerals-quin1251-1","Chan2019","seven",7,"cʼó.ps or cʼóps","cops","","false",NA,NA,NA
"12","numerals-quin1251-1-eight-1","numerals-quin1251-1","Chan2019","eight",8,"cá.mus","camus","","false",NA,NA,NA
"13","numerals-quin1251-1-nine-1","numerals-quin1251-1","Chan2019","nine",9,"tə́ɡʷixʷ","tagwixw","","false",NA,NA,NA
"14","numerals-quin1251-1-ten-1","numerals-quin1251-1","Chan2019","ten",10,"pá.naks","panaks","","false",NA,NA,NA
"15","numerals-quin1251-1-eleven-1","numerals-quin1251-1","Chan2019","eleven",11,"tálʼ páw","talpaw","","false",NA,NA,NA
"16","numerals-quin1251-1-twelve-1","numerals-quin1251-1","Chan2019","twelve",12,"tálʼ sá.li","talsali","","false",NA,NA,NA
"17","numerals-quin1251-1-thirteen-1","numerals-quin1251-1","Chan2019","thirteen",13,"tálʼ čáʔɬə","talcala","","false",NA,NA,NA
"18","numerals-quin1251-1-fourteen-1","numerals-quin1251-1","Chan2019","fourteen",14,"tálʼ mú.s","talmus","","false",NA,NA,NA
"19","numerals-quin1251-1-fifteen-1","numerals-quin1251-1","Chan2019","fifteen",15,"tálʼ cílaks","talcilaks","","false",NA,NA,NA
"20","numerals-quin1251-1-sixteen-1","numerals-quin1251-1","Chan2019","sixteen",16,"tálʼ sítačʼə","talsitaca","","false",NA,NA,NA
"21","numerals-quin1251-1-seventeen-1","numerals-quin1251-1","Chan2019","seventeen",17,"tálʼ cʼóps","talcops","","false",NA,NA,NA
"22","numerals-quin1251-1-eighteen-1","numerals-quin1251-1","Chan2019","eighteen",18,"tálʼ cá.mus","talcamus","","false",NA,NA,NA
