"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-seri1257-1-one-1","numerals-seri1257-1","Chan2019","one",1,"taʃo","taso","","false",NA,NA,NA
"2","numerals-seri1257-1-two-1","numerals-seri1257-1","Chan2019","two",2,"k-oːkx","kokx","","false",NA,NA,NA
"3","numerals-seri1257-1-three-1","numerals-seri1257-1","Chan2019","three",3,"k-apχa","kapkha","","false",NA,NA,NA
"4","numerals-seri1257-1-four-1","numerals-seri1257-1","Chan2019","four",4,"k-ʃoːχʷk","ksokhwk","","false",NA,NA,NA
"5","numerals-seri1257-1-five-1","numerals-seri1257-1","Chan2019","five",5,"k-oːitom","koitom","","false",NA,NA,NA
"6","numerals-seri1257-1-six-1","numerals-seri1257-1","Chan2019","six",6,"i-snaːp k-aʃox","isnapkasox","( *)","false",NA,NA,NA
"7","numerals-seri1257-1-seven-1","numerals-seri1257-1","Chan2019","seven",7,"tomkox kʷ-k-iːʔ","tomkoxkwki","","false",NA,NA,NA
"8","numerals-seri1257-1-eight-1","numerals-seri1257-1","Chan2019","eight",8,"k-ʃoːχoɬk-am","ksokholkam","( *)","false",NA,NA,NA
"9","numerals-seri1257-1-nine-1","numerals-seri1257-1","Chan2019","nine",9,"ksoːi k-ʔanɬ","ksoikanl","( *)","false",NA,NA,NA
"10","numerals-seri1257-1-ten-1","numerals-seri1257-1","Chan2019","ten",10,"k-ʔanɬ","kanl","","false",NA,NA,NA
"11","numerals-seri1257-1-eleven-1","numerals-seri1257-1","Chan2019","eleven",11,"t-ʔanɬ taʃo kʷ-k-iːʔ","tanltasokwki","","false",NA,NA,NA
"12","numerals-seri1257-1-twelve-1","numerals-seri1257-1","Chan2019","twelve",12,"t-ʔanɬ t-oːkx kʷ-k-iːʔ","tanltokxkwki","","false",NA,NA,NA
"13","numerals-seri1257-1-thirteen-1","numerals-seri1257-1","Chan2019","thirteen",13,"t-ʔanɬ t-apχa kʷ-k-iːʔ","tanltapkhakwki","","false",NA,NA,NA
"14","numerals-seri1257-1-fourteen-1","numerals-seri1257-1","Chan2019","fourteen",14,"t-ʔanɬ t-ʃoːχʷk kʷ-k-iːʔ","tanltsokhwkkwki","","false",NA,NA,NA
"15","numerals-seri1257-1-fifteen-1","numerals-seri1257-1","Chan2019","fifteen",15,"t-ʔanɬ t-oːitom kʷ-k-iːʔ","tanltoitomkwki","","false",NA,NA,NA
"16","numerals-seri1257-1-sixteen-1","numerals-seri1257-1","Chan2019","sixteen",16,"t-ʔanɬ i-snaːp k-aʃox kʷ-k-iːʔ","tanlisnapkasoxkwki","","false",NA,NA,NA
"17","numerals-seri1257-1-seventeen-1","numerals-seri1257-1","Chan2019","seventeen",17,"t-ʔanɬ tomkox kʷ-k-iːʔ kʷ-k-iːʔ","tanltomkoxkwkikwki","","false",NA,NA,NA
"18","numerals-seri1257-1-eighteen-1","numerals-seri1257-1","Chan2019","eighteen",18,"t-ʔanɬ t-ʃoːχoɬk-am kʷ-k-iːʔ","tanltsokholkamkwki","","false",NA,NA,NA
