"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-serr1255-1-one-1","numerals-serr1255-1","Chan2019","one",1,"haukp","haukp","","false",NA,NA,NA
"2","numerals-serr1255-1-two-1","numerals-serr1255-1","Chan2019","two",2,"wöh","woh","","false",NA,NA,NA
"3","numerals-serr1255-1-three-1","numerals-serr1255-1","Chan2019","three",3,"paːhiʔ","pahi","","false",NA,NA,NA
"4","numerals-serr1255-1-four-1","numerals-serr1255-1","Chan2019","four",4,"wačah","wacah","","false",NA,NA,NA
"5","numerals-serr1255-1-five-1","numerals-serr1255-1","Chan2019","five",5,"mahäţ","mahat","","false",NA,NA,NA
"6","numerals-serr1255-1-six-1","numerals-serr1255-1","Chan2019","six",6,"päːvahiʔ","pavahi","","false",NA,NA,NA
"7","numerals-serr1255-1-seven-1","numerals-serr1255-1","Chan2019","seven",7,"wačkuvik","wackuvik","","false",NA,NA,NA
"8","numerals-serr1255-1-eight-1","numerals-serr1255-1","Chan2019","eight",8,"waːhʷč","wahwc","","false",NA,NA,NA
"9","numerals-serr1255-1-nine-1","numerals-serr1255-1","Chan2019","nine",9,"maʔkuvik","makuvik","","false",NA,NA,NA
"10","numerals-serr1255-1-ten-1","numerals-serr1255-1","Chan2019","ten",10,"wahmäţ","wahmat","","false",NA,NA,NA
"11","numerals-serr1255-1-eleven-1","numerals-serr1255-1","Chan2019","eleven",11,"wahmäţ pɨhpaʔ haukp","wahmatpihpahaukp","","false",NA,NA,NA
"12","numerals-serr1255-1-twelve-1","numerals-serr1255-1","Chan2019","twelve",12,"wahmäţ pɨhpaʔ wöh","wahmatpihpawoh","","false",NA,NA,NA
"13","numerals-serr1255-1-thirteen-1","numerals-serr1255-1","Chan2019","thirteen",13,"wahmäţ pɨhpaʔ paːhiʔ","wahmatpihpapahi","","false",NA,NA,NA
"14","numerals-serr1255-1-fourteen-1","numerals-serr1255-1","Chan2019","fourteen",14,"wahmäţ pɨhpaʔ wačah","wahmatpihpawacah","","false",NA,NA,NA
"15","numerals-serr1255-1-fifteen-1","numerals-serr1255-1","Chan2019","fifteen",15,"wahmäţ pɨhpaʔ mahäţ","wahmatpihpamahat","","false",NA,NA,NA
"16","numerals-serr1255-1-sixteen-1","numerals-serr1255-1","Chan2019","sixteen",16,"wahmäţ pɨhpaʔ päːvahiʔ","wahmatpihpapavahi","","false",NA,NA,NA
"17","numerals-serr1255-1-seventeen-1","numerals-serr1255-1","Chan2019","seventeen",17,"wahmäţ pɨhpaʔ wačkuvik","wahmatpihpawackuvik","","false",NA,NA,NA
"18","numerals-serr1255-1-eighteen-1","numerals-serr1255-1","Chan2019","eighteen",18,"wahmäţ pɨhpaʔ waːhʷč","wahmatpihpawahwc","","false",NA,NA,NA
