"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-bowa1234-3-one-1","barlowpacific-bowa1234-3","Barlow2024","one",1,"ti","ti","","false",NA,NA,NA
"2","barlowpacific-bowa1234-3-two-1","barlowpacific-bowa1234-3","Barlow2024","two",2,"rua","rua","","false",NA,NA,NA
"3","barlowpacific-bowa1234-3-three-1","barlowpacific-bowa1234-3","Barlow2024","three",3,"tala","tala","","false",NA,NA,NA
"4","barlowpacific-bowa1234-3-four-1","barlowpacific-bowa1234-3","Barlow2024","four",4,"hāu","hau","","false",NA,NA,NA
"5","barlowpacific-bowa1234-3-five-1","barlowpacific-bowa1234-3","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-bowa1234-3-six-1","barlowpacific-bowa1234-3","Barlow2024","six",6,"uōno","uono","","false",NA,NA,NA
"7","barlowpacific-bowa1234-3-seven-1","barlowpacific-bowa1234-3","Barlow2024","seven",7,"andatala","andatala","","false",NA,NA,NA
"8","barlowpacific-bowa1234-3-eight-1","barlowpacific-bowa1234-3","Barlow2024","eight",8,"andurua","andurua","","false",NA,NA,NA
"9","barlowpacific-bowa1234-3-nine-1","barlowpacific-bowa1234-3","Barlow2024","nine",9,"andati","andati","","false",NA,NA,NA
"10","barlowpacific-bowa1234-3-ten-1","barlowpacific-bowa1234-3","Barlow2024","ten",10,"sengul","sengul","","false",NA,NA,NA
"11","barlowpacific-bowa1234-3-eleven-1","barlowpacific-bowa1234-3","Barlow2024","eleven",11,"sengul ti","sengulti","","false",NA,NA,NA
"12","barlowpacific-bowa1234-3-twenty-1","barlowpacific-bowa1234-3","Barlow2024","twenty",20,"rungul","rungul","","false",NA,NA,NA
"13","barlowpacific-bowa1234-3-thirty-1","barlowpacific-bowa1234-3","Barlow2024","thirty",30,"tulungul","tulungul","","false",NA,NA,NA
"14","barlowpacific-bowa1234-3-forty-1","barlowpacific-bowa1234-3","Barlow2024","forty",40,"hangul","hangul","","false",NA,NA,NA
"15","barlowpacific-bowa1234-3-fifty-1","barlowpacific-bowa1234-3","Barlow2024","fifty",50,"limungul","limungul","","false",NA,NA,NA
"16","barlowpacific-bowa1234-3-sixty-1","barlowpacific-bowa1234-3","Barlow2024","sixty",60,"wonongul","wonongul","","false",NA,NA,NA
"17","barlowpacific-bowa1234-3-seventy-1","barlowpacific-bowa1234-3","Barlow2024","seventy",70,"andatalungul","andatalungul","","false",NA,NA,NA
"18","barlowpacific-bowa1234-3-eighty-1","barlowpacific-bowa1234-3","Barlow2024","eighty",80,"andurungul","andurungul","","false",NA,NA,NA
"19","barlowpacific-bowa1234-3-ninety-1","barlowpacific-bowa1234-3","Barlow2024","ninety",90,"andassungul","andassungul","","false",NA,NA,NA
"20","barlowpacific-bowa1234-3-hundred-1","barlowpacific-bowa1234-3","Barlow2024","hundred",100,"sengat","sengat","","false",NA,NA,NA
"21","barlowpacific-bowa1234-3-twohundred-1","barlowpacific-bowa1234-3","Barlow2024","twohundred",200,"rungat","rungat","","false",NA,NA,NA
"22","barlowpacific-bowa1234-3-threehundred-1","barlowpacific-bowa1234-3","Barlow2024","threehundred",300,"tulungat","tulungat","","false",NA,NA,NA
"23","barlowpacific-bowa1234-3-fourhundred-1","barlowpacific-bowa1234-3","Barlow2024","fourhundred",400,"hangat","hangat","","false",NA,NA,NA
"24","barlowpacific-bowa1234-3-fivehundred-1","barlowpacific-bowa1234-3","Barlow2024","fivehundred",500,"limangat","limangat","","false",NA,NA,NA
"25","barlowpacific-bowa1234-3-sixhundred-1","barlowpacific-bowa1234-3","Barlow2024","sixhundred",600,"anangat","anangat","","false",NA,NA,NA
"26","barlowpacific-bowa1234-3-sevenhundred-1","barlowpacific-bowa1234-3","Barlow2024","sevenhundred",700,"andatulangat","andatulangat","","false",NA,NA,NA
"27","barlowpacific-bowa1234-3-eighthundred-1","barlowpacific-bowa1234-3","Barlow2024","eighthundred",800,"andurungat","andurungat","","false",NA,NA,NA
"28","barlowpacific-bowa1234-3-ninehundred-1","barlowpacific-bowa1234-3","Barlow2024","ninehundred",900,"andassangat","andassangat","","false",NA,NA,NA
"29","barlowpacific-bowa1234-3-thousand-1","barlowpacific-bowa1234-3","Barlow2024","thousand",1000,"pā́ti","pati","","false",NA,NA,NA
