"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-ghay1237-1-one-1","barlowpacific-ghay1237-1","Barlow2024","one",1,"sago","sago","","false",NA,NA,NA
"2","barlowpacific-ghay1237-1-one-2","barlowpacific-ghay1237-1","Barlow2024","one",1,"(saukava)","saukava","","false",NA,NA,NA
"3","barlowpacific-ghay1237-1-two-1","barlowpacific-ghay1237-1","Barlow2024","two",2,"rua","rua","","false",NA,NA,NA
"4","barlowpacific-ghay1237-1-three-1","barlowpacific-ghay1237-1","Barlow2024","three",3,"aroba","aroba","","false",NA,NA,NA
"5","barlowpacific-ghay1237-1-four-1","barlowpacific-ghay1237-1","Barlow2024","four",4,"rua ma rua","ruamarua","2 + 2","false",NA,NA,NA
"6","barlowpacific-ghay1237-1-five-1","barlowpacific-ghay1237-1","Barlow2024","five",5,"meikovi","meikovi","","false",NA,NA,NA
"7","barlowpacific-ghay1237-1-six-1","barlowpacific-ghay1237-1","Barlow2024","six",6,"kumaneva sago","kumanevasago","","false",NA,NA,NA
"8","barlowpacific-ghay1237-1-seven-1","barlowpacific-ghay1237-1","Barlow2024","seven",7,"kumaneva rua","kumanevarua","","false",NA,NA,NA
"9","barlowpacific-ghay1237-1-eight-1","barlowpacific-ghay1237-1","Barlow2024","eight",8,"kumaneva aroba","kumanevaaroba","","false",NA,NA,NA
"10","barlowpacific-ghay1237-1-nine-1","barlowpacific-ghay1237-1","Barlow2024","nine",9,"kumaneva rua ma rua","kumanevaruamarua","","false",NA,NA,NA
"11","barlowpacific-ghay1237-1-ten-1","barlowpacific-ghay1237-1","Barlow2024","ten",10,"ima rua (ikovi)","imaruaikovi","‘hands two (finished)’","false",NA,NA,NA
"12","barlowpacific-ghay1237-1-twenty-1","barlowpacific-ghay1237-1","Barlow2024","twenty",20,"koroto sago isirage","korotosagoisirage","‘koroto’ = ‘man’","false",NA,NA,NA
"13","barlowpacific-ghay1237-1-forty-1","barlowpacific-ghay1237-1","Barlow2024","forty",40,"koroto rua isirage","korotoruaisirage","","false",NA,NA,NA
