"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-mari1435-2-one-1","barlowpacific-mari1435-2","Barlow2024","one",1,"ranguai","ranguai","","false",NA,NA,NA
"2","barlowpacific-mari1435-2-two-1","barlowpacific-mari1435-2","Barlow2024","two",2,"romai","romai","","false",NA,NA,NA
"3","barlowpacific-mari1435-2-three-1","barlowpacific-mari1435-2","Barlow2024","three",3,"romai-k ri-k","romaikrik","2 + 1","false",NA,NA,NA
"4","barlowpacific-mari1435-2-four-1","barlowpacific-mari1435-2","Barlow2024","four",4,"romai-k romai-k","romaikromaik","2 + 2","false",NA,NA,NA
"5","barlowpacific-mari1435-2-five-1","barlowpacific-mari1435-2","Barlow2024","five",5,"ag kalase","agkalase","‘ag’ = ‘hand’","false",NA,NA,NA
"6","barlowpacific-mari1435-2-six-1","barlowpacific-mari1435-2","Barlow2024","six",6,"ag kalase pola kalase mai wai ri","agkalasepolakalasemaiwairi","","false",NA,NA,NA
"7","barlowpacific-mari1435-2-eight-1","barlowpacific-mari1435-2","Barlow2024","eight",8,"ag kalase pola kalase romai-k ri-k","agkalasepolakalaseromaikrik","","false",NA,NA,NA
"8","barlowpacific-mari1435-2-ten-1","barlowpacific-mari1435-2","Barlow2024","ten",10,"ag kala kala pola","agkalakalapola","‘hand one one all’","false",NA,NA,NA
"9","barlowpacific-mari1435-2-eleven-1","barlowpacific-mari1435-2","Barlow2024","eleven",11,"ag kala kala pola kui meng mai wai ri","agkalakalapolakuimengmaiwairi","‘kui’ = ‘foot’","false",NA,NA,NA
"10","barlowpacific-mari1435-2-fifteen-1","barlowpacific-mari1435-2","Barlow2024","fifteen",15,"ag kala kala pola kui meng kalase","agkalakalapolakuimengkalase","","false",NA,NA,NA
"11","barlowpacific-mari1435-2-twenty-1","barlowpacific-mari1435-2","Barlow2024","twenty",20,"kui ag ag meedi pola","kuiagagmeedipola","‘foot hand hand these all’","false",NA,NA,NA
