"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-moda1244-1-one-1","barlowpacific-moda1244-1","Barlow2024","one",1,"tsåw’","tsaw","","false",NA,NA,NA
"2","barlowpacific-moda1244-1-two-1","barlowpacific-moda1244-1","Barlow2024","two",2,"nggåw’","nggaw","","false",NA,NA,NA
"3","barlowpacific-moda1244-1-three-1","barlowpacific-moda1244-1","Barlow2024","three",3,"lá’","la","","false",NA,NA,NA
"4","barlowpacific-moda1244-1-three-2","barlowpacific-moda1244-1","Barlow2024","three",3,"tlá’","tla","","false",NA,NA,NA
"5","barlowpacific-moda1244-1-four-1","barlowpacific-moda1244-1","Barlow2024","four",4,"pit","pit","","false",NA,NA,NA
"6","barlowpacific-moda1244-1-five-1","barlowpacific-moda1244-1","Barlow2024","five",5,"måw’","maw","","false",NA,NA,NA
"7","barlowpacific-moda1244-1-six-1","barlowpacific-moda1244-1","Barlow2024","six",6,"nám","nam","","false",NA,NA,NA
"8","barlowpacific-moda1244-1-seven-1","barlowpacific-moda1244-1","Barlow2024","seven",7,"såw’","saw","","false",NA,NA,NA
"9","barlowpacific-moda1244-1-eight-1","barlowpacific-moda1244-1","Barlow2024","eight",8,"tdjåw’","tdjaw","","false",NA,NA,NA
"10","barlowpacific-moda1244-1-nine-1","barlowpacific-moda1244-1","Barlow2024","nine",9,"sĕptuwn","septuwn","","false",NA,NA,NA
"11","barlowpacific-moda1244-1-ten-1","barlowpacific-moda1244-1","Barlow2024","ten",10,"pelåw’","pelaw","","false",NA,NA,NA
"12","barlowpacific-moda1244-1-ten-2","barlowpacific-moda1244-1","Barlow2024","ten",10,"soewang","soewang","","false",NA,NA,NA
"13","barlowpacific-moda1244-1-eleven-1","barlowpacific-moda1244-1","Barlow2024","eleven",11,"súh hoein soewang","suhhoeinsoewang","","false",NA,NA,NA
"14","barlowpacific-moda1244-1-twelve-1","barlowpacific-moda1244-1","Barlow2024","twelve",12,"nggåw’ hoein soewang","nggawhoeinsoewang","","false",NA,NA,NA
"15","barlowpacific-moda1244-1-thirteen-1","barlowpacific-moda1244-1","Barlow2024","thirteen",13,"lá’ hoein soewang","lahoeinsoewang","","false",NA,NA,NA
"16","barlowpacific-moda1244-1-fourteen-1","barlowpacific-moda1244-1","Barlow2024","fourteen",14,"pit hoein soewang","pithoeinsoewang","","false",NA,NA,NA
"17","barlowpacific-moda1244-1-fifteen-1","barlowpacific-moda1244-1","Barlow2024","fifteen",15,"måw’ hoein soewang","mawhoeinsoewang","","false",NA,NA,NA
"18","barlowpacific-moda1244-1-sixteen-1","barlowpacific-moda1244-1","Barlow2024","sixteen",16,"nám hoein soewang","namhoeinsoewang","","false",NA,NA,NA
"19","barlowpacific-moda1244-1-twenty-1","barlowpacific-moda1244-1","Barlow2024","twenty",20,"ngá pĕlåw’","ngapelaw","","false",NA,NA,NA
"20","barlowpacific-moda1244-1-thirty-1","barlowpacific-moda1244-1","Barlow2024","thirty",30,"atlá’ pĕlåw’","atlapelaw","","false",NA,NA,NA
"21","barlowpacific-moda1244-1-forty-1","barlowpacific-moda1244-1","Barlow2024","forty",40,"pit pĕlåw’","pitpelaw","","false",NA,NA,NA
"22","barlowpacific-moda1244-1-fifty-1","barlowpacific-moda1244-1","Barlow2024","fifty",50,"måw’ pĕlåw’","mawpelaw","","false",NA,NA,NA
"23","barlowpacific-moda1244-1-sixty-1","barlowpacific-moda1244-1","Barlow2024","sixty",60,"nám pĕlåw’","nampelaw","","false",NA,NA,NA
"24","barlowpacific-moda1244-1-hundred-1","barlowpacific-moda1244-1","Barlow2024","hundred",100,"(mĕ)tåws","metaws","","false",NA,NA,NA
"25","barlowpacific-moda1244-1-twohundred-1","barlowpacific-moda1244-1","Barlow2024","twohundred",200,"ngá’ tåws","ngataws","","false",NA,NA,NA
"26","barlowpacific-moda1244-1-threehundred-1","barlowpacific-moda1244-1","Barlow2024","threehundred",300,"tlá’ tåws","tlataws","","false",NA,NA,NA
"27","barlowpacific-moda1244-1-thousand-1","barlowpacific-moda1244-1","Barlow2024","thousand",1000,"suh djĕmlin","suhdjemlin","","false",NA,NA,NA
"28","barlowpacific-moda1244-1-threethousand-1","barlowpacific-moda1244-1","Barlow2024","threethousand",3000,"tlá’ djĕmlin","tladjemlin","","false",NA,NA,NA
