"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-tuml1238-1-one-1","barlowpacific-tuml1238-1","Barlow2024","one",1,"mɑtɑ","mata","","false",NA,NA,NA
"2","barlowpacific-tuml1238-1-two-1","barlowpacific-tuml1238-1","Barlow2024","two",2,"lou","lou","","false",NA,NA,NA
"3","barlowpacific-tuml1238-1-three-1","barlowpacific-tuml1238-1","Barlow2024","three",3,"tul","tul","","false",NA,NA,NA
"4","barlowpacific-tuml1238-1-four-1","barlowpacific-tuml1238-1","Barlow2024","four",4,"uʷ","uw","","false",NA,NA,NA
"5","barlowpacific-tuml1238-1-five-1","barlowpacific-tuml1238-1","Barlow2024","five",5,"leim","leim","","false",NA,NA,NA
"6","barlowpacific-tuml1238-1-six-1","barlowpacific-tuml1238-1","Barlow2024","six",6,"limɑŋɑ mɑtɑ","limangamata","","false",NA,NA,NA
"7","barlowpacific-tuml1238-1-seven-1","barlowpacific-tuml1238-1","Barlow2024","seven",7,"limɑŋɑ lou","limangalou","","false",NA,NA,NA
"8","barlowpacific-tuml1238-1-eight-1","barlowpacific-tuml1238-1","Barlow2024","eight",8,"leim tul","leimtul","","false",NA,NA,NA
"9","barlowpacific-tuml1238-1-nine-1","barlowpacific-tuml1238-1","Barlow2024","nine",9,"leim uʷ","leimuw","","false",NA,NA,NA
"10","barlowpacific-tuml1238-1-ten-1","barlowpacific-tuml1238-1","Barlow2024","ten",10,"wɑlim","walim","","false",NA,NA,NA
"11","barlowpacific-tuml1238-1-eleven-1","barlowpacific-tuml1238-1","Barlow2024","eleven",11,"wɑlim mɑtɑ","walimmata","","false",NA,NA,NA
"12","barlowpacific-tuml1238-1-twenty-1","barlowpacific-tuml1238-1","Barlow2024","twenty",20,"lɑluypɑlou","laluypalou","","false",NA,NA,NA
