"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-alun1238-1-one-1","numerals-alun1238-1","Chan2019","one",1,"esa","esa","","false",NA,NA,NA
"2","numerals-alun1238-1-two-1","numerals-alun1238-1","Chan2019","two",2,"lua","lua","","false",NA,NA,NA
"3","numerals-alun1238-1-three-1","numerals-alun1238-1","Chan2019","three",3,"telu","telu","","false",NA,NA,NA
"4","numerals-alun1238-1-four-1","numerals-alun1238-1","Chan2019","four",4,"ata","ata","","false",NA,NA,NA
"5","numerals-alun1238-1-five-1","numerals-alun1238-1","Chan2019","five",5,"lima","lima","","false",NA,NA,NA
"6","numerals-alun1238-1-six-1","numerals-alun1238-1","Chan2019","six",6,"ne","ne","","false",NA,NA,NA
"7","numerals-alun1238-1-seven-1","numerals-alun1238-1","Chan2019","seven",7,"itu","itu","","false",NA,NA,NA
"8","numerals-alun1238-1-eight-1","numerals-alun1238-1","Chan2019","eight",8,"ʔwalu","walu","","false",NA,NA,NA
"9","numerals-alun1238-1-nine-1","numerals-alun1238-1","Chan2019","nine",9,"siʔwa","siwa","","false",NA,NA,NA
"10","numerals-alun1238-1-ten-1","numerals-alun1238-1","Chan2019","ten",10,"butu esa","butuesa","","false",NA,NA,NA
"11","numerals-alun1238-1-eleven-1","numerals-alun1238-1","Chan2019","eleven",11,"butu esa lesin esa","butuesalesinesa","","false",NA,NA,NA
"12","numerals-alun1238-1-twelve-1","numerals-alun1238-1","Chan2019","twelve",12,"butu esa lesin lua","butuesalesinlua","","false",NA,NA,NA
"13","numerals-alun1238-1-thirteen-1","numerals-alun1238-1","Chan2019","thirteen",13,"butu esa lesin telu","butuesalesintelu","","false",NA,NA,NA
"14","numerals-alun1238-1-fourteen-1","numerals-alun1238-1","Chan2019","fourteen",14,"butu esa lesin ata","butuesalesinata","","false",NA,NA,NA
"15","numerals-alun1238-1-fifteen-1","numerals-alun1238-1","Chan2019","fifteen",15,"butu esa lesin lima","butuesalesinlima","","false",NA,NA,NA
"16","numerals-alun1238-1-sixteen-1","numerals-alun1238-1","Chan2019","sixteen",16,"butu esa lesin ne","butuesalesinne","","false",NA,NA,NA
"17","numerals-alun1238-1-seventeen-1","numerals-alun1238-1","Chan2019","seventeen",17,"butu esa lesin itu","butuesalesinitu","","false",NA,NA,NA
"18","numerals-alun1238-1-eighteen-1","numerals-alun1238-1","Chan2019","eighteen",18,"butu esa lesin ʔwalu","butuesalesinwalu","","false",NA,NA,NA
"19","numerals-alun1238-1-nineteen-1","numerals-alun1238-1","Chan2019","nineteen",19,"butu esa lesin siʔwa","butuesalesinsiwa","","false",NA,NA,NA
"20","numerals-alun1238-1-twenty-1","numerals-alun1238-1","Chan2019","twenty",20,"butu lua","butulua","","false",NA,NA,NA
"21","numerals-alun1238-1-twentyone-1","numerals-alun1238-1","Chan2019","twentyone",21,"butu lua lesin esa","butulualesinesa","","false",NA,NA,NA
"22","numerals-alun1238-1-twentytwo-1","numerals-alun1238-1","Chan2019","twentytwo",22,"butu lua lesin lua","butulualesinlua","","false",NA,NA,NA
"23","numerals-alun1238-1-twentythree-1","numerals-alun1238-1","Chan2019","twentythree",23,"butu lua lesin telu","butulualesintelu","","false",NA,NA,NA
"24","numerals-alun1238-1-twentyfour-1","numerals-alun1238-1","Chan2019","twentyfour",24,"butu lua lesin ata","butulualesinata","","false",NA,NA,NA
"25","numerals-alun1238-1-twentyfive-1","numerals-alun1238-1","Chan2019","twentyfive",25,"butu lua lesin lima","butulualesinlima","","false",NA,NA,NA
"26","numerals-alun1238-1-twentysix-1","numerals-alun1238-1","Chan2019","twentysix",26,"butu lua lesin ne","butulualesinne","","false",NA,NA,NA
"27","numerals-alun1238-1-twentyseven-1","numerals-alun1238-1","Chan2019","twentyseven",27,"butu lua lesin itu","butulualesinitu","","false",NA,NA,NA
"28","numerals-alun1238-1-twentyeight-1","numerals-alun1238-1","Chan2019","twentyeight",28,"butu lua lesin ʔwalu","butulualesinwalu","","false",NA,NA,NA
"29","numerals-alun1238-1-twentynine-1","numerals-alun1238-1","Chan2019","twentynine",29,"butu lua lesin siʔwa","butulualesinsiwa","","false",NA,NA,NA
"30","numerals-alun1238-1-thirty-1","numerals-alun1238-1","Chan2019","thirty",30,"butu telu","bututelu","","false",NA,NA,NA
"31","numerals-alun1238-1-forty-1","numerals-alun1238-1","Chan2019","forty",40,"butu ata","butuata","","false",NA,NA,NA
"32","numerals-alun1238-1-fifty-1","numerals-alun1238-1","Chan2019","fifty",50,"butu lima","butulima","","false",NA,NA,NA
"33","numerals-alun1238-1-sixty-1","numerals-alun1238-1","Chan2019","sixty",60,"butu ne","butune","","false",NA,NA,NA
"34","numerals-alun1238-1-seventy-1","numerals-alun1238-1","Chan2019","seventy",70,"butu itu","butuitu","","false",NA,NA,NA
"35","numerals-alun1238-1-eighty-1","numerals-alun1238-1","Chan2019","eighty",80,"butu ʔwalu","butuwalu","","false",NA,NA,NA
"36","numerals-alun1238-1-ninety-1","numerals-alun1238-1","Chan2019","ninety",90,"butu siʔwa","butusiwa","","false",NA,NA,NA
"37","numerals-alun1238-1-hundred-1","numerals-alun1238-1","Chan2019","hundred",100,"utune","utune","","false",NA,NA,NA
"38","numerals-alun1238-1-twohundred-1","numerals-alun1238-1","Chan2019","twohundred",200,"utuna lua","utunalua","","false",NA,NA,NA
"39","numerals-alun1238-1-thousand-1","numerals-alun1238-1","Chan2019","thousand",1000,"usate","usate","","false",NA,NA,NA
"40","numerals-alun1238-1-twothousand-1","numerals-alun1238-1","Chan2019","twothousand",2000,"usata lua","usatalua","","false",NA,NA,NA
