"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-bant1288-1-one-1","numerals-bant1288-1","Chan2019","one",1,"ʔu'sah","usah","","false",NA,NA,NA
"2","numerals-bant1288-1-two-1","numerals-bant1288-1","Chan2019","two",2,"ru'hah","ruhah","","false",NA,NA,NA
"3","numerals-bant1288-1-three-1","numerals-bant1288-1","Chan2019","three",3,"tat'loh","tatloh","","false",NA,NA,NA
"4","numerals-bant1288-1-four-1","numerals-bant1288-1","Chan2019","four",4,"ʔa'pat","apat","","false",NA,NA,NA
"5","numerals-bant1288-1-five-1","numerals-bant1288-1","Chan2019","five",5,"li'mah","limah","","false",NA,NA,NA
"6","numerals-bant1288-1-six-1","numerals-bant1288-1","Chan2019","six",6,"ʔa'nom","anom","","false",NA,NA,NA
"7","numerals-bant1288-1-seven-1","numerals-bant1288-1","Chan2019","seven",7,"pi'toh","pitoh","","false",NA,NA,NA
"8","numerals-bant1288-1-eight-1","numerals-bant1288-1","Chan2019","eight",8,"wa'yoh","wayoh","","false",NA,NA,NA
"9","numerals-bant1288-1-nine-1","numerals-bant1288-1","Chan2019","nine",9,"si'dam","sidam","","false",NA,NA,NA
"10","numerals-bant1288-1-ten-1","numerals-bant1288-1","Chan2019","ten",10,"sam'puyoʔ","sampuyo","","false",NA,NA,NA
"11","numerals-bant1288-1-eleven-1","numerals-bant1288-1","Chan2019","eleven",11,"'ʔonse","onse","","true",NA,NA,NA
"12","numerals-bant1288-1-twelve-1","numerals-bant1288-1","Chan2019","twelve",12,"'dose","dose","","true",NA,NA,NA
"13","numerals-bant1288-1-thirteen-1","numerals-bant1288-1","Chan2019","thirteen",13,"'trese","trese","","true",NA,NA,NA
"14","numerals-bant1288-1-fourteen-1","numerals-bant1288-1","Chan2019","fourteen",14,"ka'torse","katorse","","true",NA,NA,NA
"15","numerals-bant1288-1-fifteen-1","numerals-bant1288-1","Chan2019","fifteen",15,"'kinse","kinse","","true",NA,NA,NA
"16","numerals-bant1288-1-sixteen-1","numerals-bant1288-1","Chan2019","sixteen",16,"disi'sais","disisais","","true",NA,NA,NA
"17","numerals-bant1288-1-seventeen-1","numerals-bant1288-1","Chan2019","seventeen",17,"disi'syete","disisyete","","true",NA,NA,NA
