"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-hovo1239-1-one-1","numerals-hovo1239-1","Chan2019","one",1,"ci","ci","","false",NA,NA,NA
"2","numerals-hovo1239-1-two-1","numerals-hovo1239-1","Chan2019","two",2,"duo","duo","","false",NA,NA,NA
"3","numerals-hovo1239-1-three-1","numerals-hovo1239-1","Chan2019","three",3,"tou","tou","","false",NA,NA,NA
"4","numerals-hovo1239-1-four-1","numerals-hovo1239-1","Chan2019","four",4,"pat","pat","","false",NA,NA,NA
"5","numerals-hovo1239-1-five-1","numerals-hovo1239-1","Chan2019","five",5,"dīmo","dimo","","false",NA,NA,NA
"6","numerals-hovo1239-1-six-1","numerals-hovo1239-1","Chan2019","six",6,"nom","nom","","false",NA,NA,NA
"7","numerals-hovo1239-1-seven-1","numerals-hovo1239-1","Chan2019","seven",7,"tucu","tucu","","false",NA,NA,NA
"8","numerals-hovo1239-1-eight-1","numerals-hovo1239-1","Chan2019","eight",8,"hean","hean","","false",NA,NA,NA
"9","numerals-hovo1239-1-nine-1","numerals-hovo1239-1","Chan2019","nine",9,"tian","tian","","false",NA,NA,NA
"10","numerals-hovo1239-1-ten-1","numerals-hovo1239-1","Chan2019","ten",10,"pu","pu","","false",NA,NA,NA
"11","numerals-hovo1239-1-eleven-1","numerals-hovo1239-1","Chan2019","eleven",11,"pu moʔ itup","pumoitup","","false",NA,NA,NA
"12","numerals-hovo1239-1-twelve-1","numerals-hovo1239-1","Chan2019","twelve",12,"pu moʔ duo","pumoduo","","false",NA,NA,NA
"13","numerals-hovo1239-1-thirteen-1","numerals-hovo1239-1","Chan2019","thirteen",13,"pu moʔ tou","pumotou","","false",NA,NA,NA
"14","numerals-hovo1239-1-fourteen-1","numerals-hovo1239-1","Chan2019","fourteen",14,"pu moʔ pat","pumopat","","false",NA,NA,NA
"15","numerals-hovo1239-1-fifteen-1","numerals-hovo1239-1","Chan2019","fifteen",15,"pu moʔ dīmo","pumodimo","","false",NA,NA,NA
"16","numerals-hovo1239-1-sixteen-1","numerals-hovo1239-1","Chan2019","sixteen",16,"pu moʔ nom","pumonom","","false",NA,NA,NA
"17","numerals-hovo1239-1-seventeen-1","numerals-hovo1239-1","Chan2019","seventeen",17,"pu moʔ tucu","pumotucu","","false",NA,NA,NA
"18","numerals-hovo1239-1-eighteen-1","numerals-hovo1239-1","Chan2019","eighteen",18,"pu moʔ hean","pumohean","","false",NA,NA,NA
"19","numerals-hovo1239-1-nineteen-1","numerals-hovo1239-1","Chan2019","nineteen",19,"pu moʔ tian","pumotian","","false",NA,NA,NA
"20","numerals-hovo1239-1-twenty-1","numerals-hovo1239-1","Chan2019","twenty",20,"duo pu","duopu","","false",NA,NA,NA
"21","numerals-hovo1239-1-twentyone-1","numerals-hovo1239-1","Chan2019","twentyone",21,"duo pu moʔ itup","duopumoitup","","false",NA,NA,NA
"22","numerals-hovo1239-1-twentytwo-1","numerals-hovo1239-1","Chan2019","twentytwo",22,"duo pu moʔ duo","duopumoduo","","false",NA,NA,NA
"23","numerals-hovo1239-1-twentythree-1","numerals-hovo1239-1","Chan2019","twentythree",23,"duo pu moʔ tou","duopumotou","","false",NA,NA,NA
"24","numerals-hovo1239-1-twentyfour-1","numerals-hovo1239-1","Chan2019","twentyfour",24,"duo pu moʔ pat","duopumopat","","false",NA,NA,NA
"25","numerals-hovo1239-1-twentyfive-1","numerals-hovo1239-1","Chan2019","twentyfive",25,"duo pu moʔ dimo","duopumodimo","","false",NA,NA,NA
"26","numerals-hovo1239-1-twentysix-1","numerals-hovo1239-1","Chan2019","twentysix",26,"duo pu moʔ nom","duopumonom","","false",NA,NA,NA
