"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kani1281-1-one-1","numerals-kani1281-1","Chan2019","one",1,"tɑmokɑɣɑ","tamokaga","","false",NA,NA,NA
"2","numerals-kani1281-1-two-1","numerals-kani1281-1","Chan2019","two",2,"nuwesi","nuwesi","","false",NA,NA,NA
"3","numerals-kani1281-1-three-1","numerals-kani1281-1","Chan2019","three",3,"tonusi","tonusi","","false",NA,NA,NA
"4","numerals-kani1281-1-four-1","numerals-kani1281-1","Chan2019","four",4,"nuɸuninɑ","nufunina","","false",NA,NA,NA
"5","numerals-kani1281-1-five-1","numerals-kani1281-1","Chan2019","five",5,"(nimɑ) ɸɑɸɑnɑ tɑmo","nimafafanatamo","","false",NA,NA,NA
"6","numerals-kani1281-1-six-1","numerals-kani1281-1","Chan2019","six",6,"ɸɑɸɑnɑ tɑmokɑɣɑ","fafanatamokaga","","false",NA,NA,NA
"7","numerals-kani1281-1-seven-1","numerals-kani1281-1","Chan2019","seven",7,"ɸɑɸɑnɑ nuwesi","fafananuwesi","","false",NA,NA,NA
"8","numerals-kani1281-1-eight-1","numerals-kani1281-1","Chan2019","eight",8,"ɸɑɸɑnɑ tonusi","fafanatonusi","","false",NA,NA,NA
"9","numerals-kani1281-1-nine-1","numerals-kani1281-1","Chan2019","nine",9,"ɸɑɸɑnɑ nuɸuninɑ","fafananufunina","","false",NA,NA,NA
"10","numerals-kani1281-1-ten-1","numerals-kani1281-1","Chan2019","ten",10,"(nimɑ) ɸɑɸɑnɑ nuwɑ","nimafafananuwa","","false",NA,NA,NA
"11","numerals-kani1281-1-eleven-1","numerals-kani1281-1","Chan2019","eleven",11,"ɸɑɸɑnɑ nuwɑ tɑmokɑɣɑ","fafananuwatamokaga","","false",NA,NA,NA
"12","numerals-kani1281-1-twelve-1","numerals-kani1281-1","Chan2019","twelve",12,"ɸɑɸɑnɑ nuwɑ nuwesi","fafananuwanuwesi","","false",NA,NA,NA
"13","numerals-kani1281-1-thirteen-1","numerals-kani1281-1","Chan2019","thirteen",13,"ɸɑɸɑnɑ nuwɑ tonusi","fafananuwatonusi","","false",NA,NA,NA
