"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kelo1247-1-one-1","numerals-kelo1247-1","Chan2019","one",1,"nuk","nuk","","false",NA,NA,NA
"2","numerals-kelo1247-1-two-1","numerals-kelo1247-1","Chan2019","two",2,"ɔrɔk","orok","( ʔɔrɔk ?)","false",NA,NA,NA
"3","numerals-kelo1247-1-three-1","numerals-kelo1247-1","Chan2019","three",3,"tɔŋ","tong","","false",NA,NA,NA
"4","numerals-kelo1247-1-four-1","numerals-kelo1247-1","Chan2019","four",4,"ut","ut","( ʔut ?)","false",NA,NA,NA
"5","numerals-kelo1247-1-five-1","numerals-kelo1247-1","Chan2019","five",5,"eweh","eweh","( əwəh ?)","false",NA,NA,NA
"6","numerals-kelo1247-1-six-1","numerals-kelo1247-1","Chan2019","six",6,"tlan","tlan","","false",NA,NA,NA
"7","numerals-kelo1247-1-seven-1","numerals-kelo1247-1","Chan2019","seven",7,"usɔŋ","usong","","false",NA,NA,NA
"8","numerals-kelo1247-1-eight-1","numerals-kelo1247-1","Chan2019","eight",8,"tidɔrɔk","tidorok","( < 10 minus 2 ) ?","false",NA,NA,NA
"9","numerals-kelo1247-1-nine-1","numerals-kelo1247-1","Chan2019","nine",9,"tukainuk","tukainuk","( < 10 minus 1 ) ?","false",NA,NA,NA
"10","numerals-kelo1247-1-ten-1","numerals-kelo1247-1","Chan2019","ten",10,"kar nuk","karnuk","","false",NA,NA,NA
"11","numerals-kelo1247-1-eleven-1","numerals-kelo1247-1","Chan2019","eleven",11,"kar nuk awa nuk","karnukawanuk","","false",NA,NA,NA
"12","numerals-kelo1247-1-twelve-1","numerals-kelo1247-1","Chan2019","twelve",12,"kar nuk awa ɔrɔk","karnukawaorok","","false",NA,NA,NA
"13","numerals-kelo1247-1-thirteen-1","numerals-kelo1247-1","Chan2019","thirteen",13,"kar nuk awa tɔŋ","karnukawatong","","false",NA,NA,NA
"14","numerals-kelo1247-1-fourteen-1","numerals-kelo1247-1","Chan2019","fourteen",14,"kar nuk awa ut","karnukawaut","","false",NA,NA,NA
"15","numerals-kelo1247-1-fifteen-1","numerals-kelo1247-1","Chan2019","fifteen",15,"kar nuk awa eweh","karnukawaeweh","","false",NA,NA,NA
"16","numerals-kelo1247-1-sixteen-1","numerals-kelo1247-1","Chan2019","sixteen",16,"kar nuk awa tlan","karnukawatlan","","false",NA,NA,NA
"17","numerals-kelo1247-1-seventeen-1","numerals-kelo1247-1","Chan2019","seventeen",17,"kar nuk awa usɔŋ","karnukawausong","","false",NA,NA,NA
"18","numerals-kelo1247-1-eighteen-1","numerals-kelo1247-1","Chan2019","eighteen",18,"kar nuk awa tidɔrɔk","karnukawatidorok","","false",NA,NA,NA
"19","numerals-kelo1247-1-nineteen-1","numerals-kelo1247-1","Chan2019","nineteen",19,"kar nuk awa tukainuk","karnukawatukainuk","","false",NA,NA,NA
"20","numerals-kelo1247-1-twenty-1","numerals-kelo1247-1","Chan2019","twenty",20,"kar ɔrɔk","karorok","","false",NA,NA,NA
"21","numerals-kelo1247-1-twentyone-1","numerals-kelo1247-1","Chan2019","twentyone",21,"kar ɔrɔk nuk awa nuk","karoroknukawanuk","","false",NA,NA,NA
"22","numerals-kelo1247-1-twentytwo-1","numerals-kelo1247-1","Chan2019","twentytwo",22,"kar ɔrɔk nuk awa ɔrɔk","karoroknukawaorok","","false",NA,NA,NA
"23","numerals-kelo1247-1-twentythree-1","numerals-kelo1247-1","Chan2019","twentythree",23,"kar ɔrɔk nuk awa tɔŋ","karoroknukawatong","","false",NA,NA,NA
"24","numerals-kelo1247-1-twentyfour-1","numerals-kelo1247-1","Chan2019","twentyfour",24,"kar ɔrɔk nuk awa ut","karoroknukawaut","","false",NA,NA,NA
"25","numerals-kelo1247-1-twentyfive-1","numerals-kelo1247-1","Chan2019","twentyfive",25,"kar ɔrɔk nuk awa eweh","karoroknukawaeweh","","false",NA,NA,NA
"26","numerals-kelo1247-1-twentysix-1","numerals-kelo1247-1","Chan2019","twentysix",26,"kar ɔrɔk nuk awa tlan","karoroknukawatlan","","false",NA,NA,NA
"27","numerals-kelo1247-1-twentyseven-1","numerals-kelo1247-1","Chan2019","twentyseven",27,"kar ɔrɔk nuk awa usɔŋ","karoroknukawausong","","false",NA,NA,NA
"28","numerals-kelo1247-1-twentyeight-1","numerals-kelo1247-1","Chan2019","twentyeight",28,"kar ɔrɔk nuk awa tidɔrɔk","karoroknukawatidorok","","false",NA,NA,NA
"29","numerals-kelo1247-1-twentynine-1","numerals-kelo1247-1","Chan2019","twentynine",29,"kar ɔrɔk nuk awa tukainuk","karoroknukawatukainuk","","false",NA,NA,NA
"30","numerals-kelo1247-1-thirty-1","numerals-kelo1247-1","Chan2019","thirty",30,"kar tɔŋ","kartong","","false",NA,NA,NA
"31","numerals-kelo1247-1-forty-1","numerals-kelo1247-1","Chan2019","forty",40,"kar ut","karut","","false",NA,NA,NA
"32","numerals-kelo1247-1-fifty-1","numerals-kelo1247-1","Chan2019","fifty",50,"kar eweh","kareweh","","false",NA,NA,NA
"33","numerals-kelo1247-1-sixty-1","numerals-kelo1247-1","Chan2019","sixty",60,"kar tlan","kartlan","","false",NA,NA,NA
"34","numerals-kelo1247-1-seventy-1","numerals-kelo1247-1","Chan2019","seventy",70,"kar usɔŋ","karusong","","false",NA,NA,NA
"35","numerals-kelo1247-1-eighty-1","numerals-kelo1247-1","Chan2019","eighty",80,"kar tidɔrɔk","kartidorok","","false",NA,NA,NA
"36","numerals-kelo1247-1-ninety-1","numerals-kelo1247-1","Chan2019","ninety",90,"kar tukainuk","kartukainuk","","false",NA,NA,NA
"37","numerals-kelo1247-1-hundred-1","numerals-kelo1247-1","Chan2019","hundred",100,"ratu nu","ratunu","","false",NA,NA,NA
"38","numerals-kelo1247-1-twohundred-1","numerals-kelo1247-1","Chan2019","twohundred",200,"ratu aru","ratuaru","","false",NA,NA,NA
"39","numerals-kelo1247-1-thousand-1","numerals-kelo1247-1","Chan2019","thousand",1000,"ribu nu","ribunu","","false",NA,NA,NA
"40","numerals-kelo1247-1-twothousand-1","numerals-kelo1247-1","Chan2019","twothousand",2000,"ribu aru","ribuaru","","false",NA,NA,NA
