"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-koko1269-1-one-1","numerals-koko1269-1","Chan2019","one",1,"kaike-u","kaikeu","","false",NA,NA,NA
"2","numerals-koko1269-1-two-1","numerals-koko1269-1","Chan2019","two",2,"palu-ɣu","palugu","","false",NA,NA,NA
"3","numerals-koko1269-1-three-1","numerals-koko1269-1","Chan2019","three",3,"tilo-u","tilou","","false",NA,NA,NA
"4","numerals-koko1269-1-four-1","numerals-koko1269-1","Chan2019","four",4,"fnoto-u","fnotou","","false",NA,NA,NA
"5","numerals-koko1269-1-five-1","numerals-koko1269-1","Chan2019","five",5,"ɡaha-u","gahau","","false",NA,NA,NA
"6","numerals-koko1269-1-six-1","numerals-koko1269-1","Chan2019","six",6,"nablo-u","nablou","","false",NA,NA,NA
"7","numerals-koko1269-1-seven-1","numerals-koko1269-1","Chan2019","seven",7,"fitu-u","fituu","","false",NA,NA,NA
"8","numerals-koko1269-1-eight-1","numerals-koko1269-1","Chan2019","eight",8,"hana-u","hanau","","false",NA,NA,NA
"9","numerals-koko1269-1-nine-1","numerals-koko1269-1","Chan2019","nine",9,"n̥eva-u","nevau","","false",NA,NA,NA
"10","numerals-koko1269-1-ten-1","numerals-koko1269-1","Chan2019","ten",10,"naboto-u","nabotou","","false",NA,NA,NA
"11","numerals-koko1269-1-eleven-1","numerals-koko1269-1","Chan2019","eleven",11,"naboto-ai kaike-u","nabotoaikaikeu","","false",NA,NA,NA
"12","numerals-koko1269-1-twelve-1","numerals-koko1269-1","Chan2019","twelve",12,"naboto-ai palu-ɣu","nabotoaipalugu","","false",NA,NA,NA
"13","numerals-koko1269-1-thirteen-1","numerals-koko1269-1","Chan2019","thirteen",13,"naboto-ai tilo-u","nabotoaitilou","","false",NA,NA,NA
"14","numerals-koko1269-1-fourteen-1","numerals-koko1269-1","Chan2019","fourteen",14,"naboto-ai fnoto-u","nabotoaifnotou","","false",NA,NA,NA
"15","numerals-koko1269-1-fifteen-1","numerals-koko1269-1","Chan2019","fifteen",15,"naboto-ai ɡaha-u","nabotoaigahau","","false",NA,NA,NA
"16","numerals-koko1269-1-sixteen-1","numerals-koko1269-1","Chan2019","sixteen",16,"naboto-ai nablo-u","nabotoainablou","","false",NA,NA,NA
