"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mayo1262-1-one-1","numerals-mayo1262-1","Chan2019","one",1,"ʔo'ha","oha","","false",NA,NA,NA
"2","numerals-mayo1262-1-two-1","numerals-mayo1262-1","Chan2019","two",2,"t͡ʃu'ɡ͡wə","tsugwa","","false",NA,NA,NA
"3","numerals-mayo1262-1-three-1","numerals-mayo1262-1","Chan2019","three",3,"t̪o'lo","tolo","","false",NA,NA,NA
"4","numerals-mayo1262-1-four-1","numerals-mayo1262-1","Chan2019","four",4,"ʔa'pat̪","apat","","false",NA,NA,NA
"5","numerals-mayo1262-1-five-1","numerals-mayo1262-1","Chan2019","five",5,"le'mə","lema","","false",NA,NA,NA
"6","numerals-mayo1262-1-six-1","numerals-mayo1262-1","Chan2019","six",6,"ʔun'um","unum","","false",NA,NA,NA
"7","numerals-mayo1262-1-six-2","numerals-mayo1262-1","Chan2019","six",6,"k͡xin'umt͡ʃaŋ","kxinumtsang","","false",NA,NA,NA
"8","numerals-mayo1262-1-seven-1","numerals-mayo1262-1","Chan2019","seven",7,"pe't̪o","peto","","false",NA,NA,NA
"9","numerals-mayo1262-1-eight-1","numerals-mayo1262-1","Chan2019","eight",8,"ɡ͡wa'lo","gwalo","","false",NA,NA,NA
"10","numerals-mayo1262-1-nine-1","numerals-mayo1262-1","Chan2019","nine",9,"hi'd͡ʒəm","hidzam","","false",NA,NA,NA
"11","numerals-mayo1262-1-ten-1","numerals-mayo1262-1","Chan2019","ten",10,"him'polo","himpolo","","false",NA,NA,NA
"12","numerals-mayo1262-1-eleven-1","numerals-mayo1262-1","Chan2019","eleven",11,"him'polo t̪a ʔo'ha","himpolotaoha","","false",NA,NA,NA
"13","numerals-mayo1262-1-twelve-1","numerals-mayo1262-1","Chan2019","twelve",12,"him'polo t̪a t͡ʃu'ɡ͡wə","himpolotatsugwa","","false",NA,NA,NA
