"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-naka1265-2-one-1","numerals-naka1265-2","Chan2019","one",1,"keřket","kerket","(litː 'little finger')","false",NA,NA,NA
"2","numerals-naka1265-2-two-1","numerals-naka1265-2","Chan2019","two",2,"keřket kɑwl","kerketkawl","(litː 'ring finger')","false",NA,NA,NA
"3","numerals-naka1265-2-three-1","numerals-naka1265-2","Chan2019","three",3,"sɑřɑpkuř","sarapkur","(litː 'middle finger')","false",NA,NA,NA
"4","numerals-naka1265-2-four-1","numerals-naka1265-2","Chan2019","four",4,"ɑe kɑwi","aekawi","(litː 'index finger')","false",NA,NA,NA
"5","numerals-naka1265-2-five-1","numerals-naka1265-2","Chan2019","five",5,"ɑe","ae","(litː 'thumb')","false",NA,NA,NA
"6","numerals-naka1265-2-six-1","numerals-naka1265-2","Chan2019","six",6,"ⁿɡoŋ","ngong","(litː 'wrist')","false",NA,NA,NA
"7","numerals-naka1265-2-seven-1","numerals-naka1265-2","Chan2019","seven",7,"eř","er","(litː 'forearm')","false",NA,NA,NA
"8","numerals-naka1265-2-eight-1","numerals-naka1265-2","Chan2019","eight",8,"wom","wom","(litː 'inner elbow')","false",NA,NA,NA
"9","numerals-naka1265-2-nine-1","numerals-naka1265-2","Chan2019","nine",9,"ᵭɑᵬeř","daber","(litː 'bicep')","false",NA,NA,NA
"10","numerals-naka1265-2-ten-1","numerals-naka1265-2","Chan2019","ten",10,"mɑriŋ","maring","(litː 'top of shoulder')","false",NA,NA,NA
"11","numerals-naka1265-2-eleven-1","numerals-naka1265-2","Chan2019","eleven",11,"kum","kum","(litː 'side of neck')","false",NA,NA,NA
"12","numerals-naka1265-2-twelve-1","numerals-naka1265-2","Chan2019","twelve",12,"kisu","kisu","(litː 'ear')","false",NA,NA,NA
"13","numerals-naka1265-2-thirteen-1","numerals-naka1265-2","Chan2019","thirteen",13,"kiwe","kiwe","(litː 'eye')","false",NA,NA,NA
"14","numerals-naka1265-2-fourteen-1","numerals-naka1265-2","Chan2019","fourteen",14,"mito","mito","(litː 'nose')","false",NA,NA,NA
"15","numerals-naka1265-2-fifteen-1","numerals-naka1265-2","Chan2019","fifteen",15,"ᵐbɑk kiwe","mbakkiwe","(litː 'other side eye')","false",NA,NA,NA
"16","numerals-naka1265-2-sixteen-1","numerals-naka1265-2","Chan2019","sixteen",16,"ᵐbɑk kisu","mbakkisu","(litː 'other side ear')","false",NA,NA,NA
"17","numerals-naka1265-2-seventeen-1","numerals-naka1265-2","Chan2019","seventeen",17,"ᵐbɑk kum","mbakkum","(litː 'other side neck')","false",NA,NA,NA
"18","numerals-naka1265-2-eighteen-1","numerals-naka1265-2","Chan2019","eighteen",18,"ᵐbɑk mɑriŋ","mbakmaring","(litː 'other side shoulder')","false",NA,NA,NA
"19","numerals-naka1265-2-nineteen-1","numerals-naka1265-2","Chan2019","nineteen",19,"ᵐbɑk ᵭɑᵬeř","mbakdaber","(litː 'other side bicep')","false",NA,NA,NA
"20","numerals-naka1265-2-twenty-1","numerals-naka1265-2","Chan2019","twenty",20,"ᵐbɑk eř","mbaker","(litː 'other side inner elbow')","false",NA,NA,NA
"21","numerals-naka1265-2-twentyone-1","numerals-naka1265-2","Chan2019","twentyone",21,"ᵐbɑk wom","mbakwom","(litː 'other side forearm')","false",NA,NA,NA
"22","numerals-naka1265-2-twentytwo-1","numerals-naka1265-2","Chan2019","twentytwo",22,"ᵐbɑk ⁿɡoŋ","mbakngong","(litː 'other side wrist')","false",NA,NA,NA
"23","numerals-naka1265-2-twentythree-1","numerals-naka1265-2","Chan2019","twentythree",23,"ᵐbɑk ɑe","mbakae","(litː 'other side thumb')","false",NA,NA,NA
"24","numerals-naka1265-2-twentyfour-1","numerals-naka1265-2","Chan2019","twentyfour",24,"ᵐbɑk ɑe kɑwl","mbakaekawl","(litː 'other side index finger')","false",NA,NA,NA
"25","numerals-naka1265-2-twentyfive-1","numerals-naka1265-2","Chan2019","twentyfive",25,"ᵐbɑk sɑřɑpkuř","mbaksarapkur","(litː 'other side middle finger')","false",NA,NA,NA
"26","numerals-naka1265-2-twentysix-1","numerals-naka1265-2","Chan2019","twentysix",26,"ᵐbɑk keřket kɑwl","mbakkerketkawl","(litː 'other side ring finger')","false",NA,NA,NA
"27","numerals-naka1265-2-twentyseven-1","numerals-naka1265-2","Chan2019","twentyseven",27,"ᵐbɑk keřket","mbakkerket","","false",NA,NA,NA
"28","numerals-naka1265-2-twentyseven-2","numerals-naka1265-2","Chan2019","twentyseven",27,"keřket tumbiŋ","kerkettumbing","(litː 'other side little finger / little finger end')","false",NA,NA,NA
