"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-nort2845-1-one-1","numerals-nort2845-1","Chan2019","one",1,"e tahi","etahi","","false",NA,NA,NA
"2","numerals-nort2845-1-two-1","numerals-nort2845-1","Chan2019","two",2,"e ʔua","eua","","false",NA,NA,NA
"3","numerals-nort2845-1-three-1","numerals-nort2845-1","Chan2019","three",3,"e toʔu","etou","","false",NA,NA,NA
"4","numerals-nort2845-1-four-1","numerals-nort2845-1","Chan2019","four",4,"e haː","eha","","false",NA,NA,NA
"5","numerals-nort2845-1-five-1","numerals-nort2845-1","Chan2019","five",5,"e ʔima","eima","","false",NA,NA,NA
"6","numerals-nort2845-1-six-1","numerals-nort2845-1","Chan2019","six",6,"e ono","eono","","false",NA,NA,NA
"7","numerals-nort2845-1-seven-1","numerals-nort2845-1","Chan2019","seven",7,"e hitu","ehitu","","false",NA,NA,NA
"8","numerals-nort2845-1-eight-1","numerals-nort2845-1","Chan2019","eight",8,"e vaʔu","evau","","false",NA,NA,NA
"9","numerals-nort2845-1-nine-1","numerals-nort2845-1","Chan2019","nine",9,"e iva","eiva","","false",NA,NA,NA
"10","numerals-nort2845-1-ten-1","numerals-nort2845-1","Chan2019","ten",10,"ʔonohuʔu","onohuu","","false",NA,NA,NA
"11","numerals-nort2845-1-eleven-1","numerals-nort2845-1","Chan2019","eleven",11,"ʔonohuʔu ma tahi","onohuumatahi","","false",NA,NA,NA
"12","numerals-nort2845-1-twelve-1","numerals-nort2845-1","Chan2019","twelve",12,"ʔonohuʔu ma ʔua","onohuumaua","","false",NA,NA,NA
"13","numerals-nort2845-1-thirteen-1","numerals-nort2845-1","Chan2019","thirteen",13,"ʔonohuʔu ma toʔu","onohuumatou","","false",NA,NA,NA
"14","numerals-nort2845-1-fourteen-1","numerals-nort2845-1","Chan2019","fourteen",14,"ʔonohuʔu ma haː","onohuumaha","","false",NA,NA,NA
"15","numerals-nort2845-1-fifteen-1","numerals-nort2845-1","Chan2019","fifteen",15,"ʔonohuʔu ma ʔima","onohuumaima","","false",NA,NA,NA
"16","numerals-nort2845-1-sixteen-1","numerals-nort2845-1","Chan2019","sixteen",16,"ʔonohuʔu ma ono","onohuumaono","","false",NA,NA,NA
"17","numerals-nort2845-1-seventeen-1","numerals-nort2845-1","Chan2019","seventeen",17,"ʔonohuʔu ma hitu","onohuumahitu","","false",NA,NA,NA
"18","numerals-nort2845-1-eighteen-1","numerals-nort2845-1","Chan2019","eighteen",18,"ʔonohuʔu ma vaʔu","onohuumavau","","false",NA,NA,NA
"19","numerals-nort2845-1-nineteen-1","numerals-nort2845-1","Chan2019","nineteen",19,"ʔonohuʔu ma iva","onohuumaiva","","false",NA,NA,NA
"20","numerals-nort2845-1-twenty-1","numerals-nort2845-1","Chan2019","twenty",20,"tekau","tekau","","false",NA,NA,NA
"21","numerals-nort2845-1-twentyone-1","numerals-nort2845-1","Chan2019","twentyone",21,"tekau ma tahi","tekaumatahi","","false",NA,NA,NA
"22","numerals-nort2845-1-twentytwo-1","numerals-nort2845-1","Chan2019","twentytwo",22,"tekau ma ʔua","tekaumaua","","false",NA,NA,NA
"23","numerals-nort2845-1-twentythree-1","numerals-nort2845-1","Chan2019","twentythree",23,"tekau ma toʔu","tekaumatou","","false",NA,NA,NA
"24","numerals-nort2845-1-twentyfour-1","numerals-nort2845-1","Chan2019","twentyfour",24,"tekau ma faː","tekaumafa","","false",NA,NA,NA
"25","numerals-nort2845-1-twentyfive-1","numerals-nort2845-1","Chan2019","twentyfive",25,"tekau ma ʔima","tekaumaima","","false",NA,NA,NA
"26","numerals-nort2845-1-twentysix-1","numerals-nort2845-1","Chan2019","twentysix",26,"tekau ma ono","tekaumaono","","false",NA,NA,NA
"27","numerals-nort2845-1-twentyseven-1","numerals-nort2845-1","Chan2019","twentyseven",27,"tekau ma fitu","tekaumafitu","","false",NA,NA,NA
"28","numerals-nort2845-1-twentyeight-1","numerals-nort2845-1","Chan2019","twentyeight",28,"tekau ma vaʔu","tekaumavau","","false",NA,NA,NA
"29","numerals-nort2845-1-twentynine-1","numerals-nort2845-1","Chan2019","twentynine",29,"tekau ma iva","tekaumaiva","","false",NA,NA,NA
"30","numerals-nort2845-1-thirty-1","numerals-nort2845-1","Chan2019","thirty",30,"tekau ma ʔonohuʔu","tekaumaonohuu","(OF)","false",NA,NA,NA
"31","numerals-nort2845-1-thirty-2","numerals-nort2845-1","Chan2019","thirty",30,"e toʔu ʔonohuʔu","etouonohuu","(NF)","false",NA,NA,NA
"32","numerals-nort2845-1-forty-1","numerals-nort2845-1","Chan2019","forty",40,"e touhaː","etouha","(OF, still used)","false",NA,NA,NA
"33","numerals-nort2845-1-forty-2","numerals-nort2845-1","Chan2019","forty",40,"e ha: ʔonohuʔ","ehaonohu","(NF)","false",NA,NA,NA
"34","numerals-nort2845-1-fifty-1","numerals-nort2845-1","Chan2019","fifty",50,"e touhaː ma ʔonohuʔu","etouhamaonohuu","(OF)","false",NA,NA,NA
"35","numerals-nort2845-1-fifty-2","numerals-nort2845-1","Chan2019","fifty",50,"e ʔima ʔonohuʔu","eimaonohuu","(NF)","false",NA,NA,NA
"36","numerals-nort2845-1-sixty-1","numerals-nort2845-1","Chan2019","sixty",60,"e touhaː me te tekau","etouhametetekau","(OF)","false",NA,NA,NA
"37","numerals-nort2845-1-sixty-2","numerals-nort2845-1","Chan2019","sixty",60,"e ono tekau","eonotekau","(NF)","false",NA,NA,NA
"38","numerals-nort2845-1-seventy-1","numerals-nort2845-1","Chan2019","seventy",70,"e touhaː me te tekau ma ʔonohuʔu","etouhametetekaumaonohuu","","false",NA,NA,NA
"39","numerals-nort2845-1-seventy-2","numerals-nort2845-1","Chan2019","seventy",70,"e hitu ʔonohuʔu","ehituonohuu","","false",NA,NA,NA
"40","numerals-nort2845-1-eighty-1","numerals-nort2845-1","Chan2019","eighty",80,"e ʔua touhaː","euatouha","(OF)","false",NA,NA,NA
"41","numerals-nort2845-1-eighty-2","numerals-nort2845-1","Chan2019","eighty",80,"e vaʔu ʔonohuʔu","evauonohuu","(NF)","false",NA,NA,NA
"42","numerals-nort2845-1-ninety-1","numerals-nort2845-1","Chan2019","ninety",90,"e ʔua touhaː ma ʔonohuʔu","euatouhamaonohuu","(OF)","false",NA,NA,NA
"43","numerals-nort2845-1-ninety-2","numerals-nort2845-1","Chan2019","ninety",90,"e iva ʔonohuʔu","eivaonohuu","(NF)","false",NA,NA,NA
"44","numerals-nort2845-1-hundred-1","numerals-nort2845-1","Chan2019","hundred",100,"e ʔua touhaː me te tekau","euatouhametetekau","(OF)","false",NA,NA,NA
"45","numerals-nort2845-1-hundred-2","numerals-nort2845-1","Chan2019","hundred",100,"hanere","hanere","(NF)","false",NA,NA,NA
"46","numerals-nort2845-1-twohundred-1","numerals-nort2845-1","Chan2019","twohundred",200,"e ʔima touhaː","eimatouha","(OF)","false",NA,NA,NA
"47","numerals-nort2845-1-twohundred-2","numerals-nort2845-1","Chan2019","twohundred",200,"e ʔua hanare","euahanare","(NF)","false",NA,NA,NA
"48","numerals-nort2845-1-thousand-1","numerals-nort2845-1","Chan2019","thousand",1000,"e ʔua ʔau me te ʔima touhaː","euaaumeteimatouha","","false",NA,NA,NA
"49","numerals-nort2845-1-thousand-2","numerals-nort2845-1","Chan2019","thousand",1000,"tautini","tautini","","false",NA,NA,NA
"50","numerals-nort2845-1-thousand-3","numerals-nort2845-1","Chan2019","thousand",1000,"miri","miri","","false",NA,NA,NA
"51","numerals-nort2845-1-twothousand-1","numerals-nort2845-1","Chan2019","twothousand",2000,"e ʔima ʔau","eimaau","(OF)","false",NA,NA,NA
"52","numerals-nort2845-1-twothousand-2","numerals-nort2845-1","Chan2019","twothousand",2000,"e ʔua tautini","euatautini","(NF)","false",NA,NA,NA
