"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tola1247-1-one-1","numerals-tola1247-1","Chan2019","one",1,"oʔaso","oaso","","false",NA,NA,NA
"2","numerals-tola1247-1-two-1","numerals-tola1247-1","Chan2019","two",2,"oruo","oruo","","false",NA,NA,NA
"3","numerals-tola1247-1-three-1","numerals-tola1247-1","Chan2019","three",3,"otolu","otolu","","false",NA,NA,NA
"4","numerals-tola1247-1-four-1","numerals-tola1247-1","Chan2019","four",4,"oʔomba","oomba","","false",NA,NA,NA
"5","numerals-tola1247-1-five-1","numerals-tola1247-1","Chan2019","five",5,"olimo","olimo","","false",NA,NA,NA
"6","numerals-tola1247-1-six-1","numerals-tola1247-1","Chan2019","six",6,"oʔono","oono","","false",NA,NA,NA
"7","numerals-tola1247-1-seven-1","numerals-tola1247-1","Chan2019","seven",7,"opitu","opitu","","false",NA,NA,NA
"8","numerals-tola1247-1-eight-1","numerals-tola1247-1","Chan2019","eight",8,"hoalu","hoalu","","false",NA,NA,NA
"9","numerals-tola1247-1-nine-1","numerals-tola1247-1","Chan2019","nine",9,"osio","osio","","false",NA,NA,NA
"10","numerals-tola1247-1-ten-1","numerals-tola1247-1","Chan2019","ten",10,"hopulo","hopulo","","false",NA,NA,NA
"11","numerals-tola1247-1-eleven-1","numerals-tola1247-1","Chan2019","eleven",11,"hopulo oʔaso","hopulooaso","","false",NA,NA,NA
"12","numerals-tola1247-1-twelve-1","numerals-tola1247-1","Chan2019","twelve",12,"hopulo oruo","hopulooruo","","false",NA,NA,NA
"13","numerals-tola1247-1-thirteen-1","numerals-tola1247-1","Chan2019","thirteen",13,"hopulo otolu","hopulootolu","","false",NA,NA,NA
"14","numerals-tola1247-1-fourteen-1","numerals-tola1247-1","Chan2019","fourteen",14,"hopulo oʔomba","hopulooomba","","false",NA,NA,NA
"15","numerals-tola1247-1-fifteen-1","numerals-tola1247-1","Chan2019","fifteen",15,"hopulo olimo","hopuloolimo","","false",NA,NA,NA
"16","numerals-tola1247-1-sixteen-1","numerals-tola1247-1","Chan2019","sixteen",16,"hopulo oʔono","hopulooono","","false",NA,NA,NA
"17","numerals-tola1247-1-seventeen-1","numerals-tola1247-1","Chan2019","seventeen",17,"hopulo opitu","hopuloopitu","","false",NA,NA,NA
"18","numerals-tola1247-1-eighteen-1","numerals-tola1247-1","Chan2019","eighteen",18,"hopulo hoalu","hopulohoalu","","false",NA,NA,NA
"19","numerals-tola1247-1-nineteen-1","numerals-tola1247-1","Chan2019","nineteen",19,"hopulo osio","hopuloosio","","false",NA,NA,NA
"20","numerals-tola1247-1-twenty-1","numerals-tola1247-1","Chan2019","twenty",20,"ruambulo","ruambulo","","false",NA,NA,NA
"21","numerals-tola1247-1-twentyone-1","numerals-tola1247-1","Chan2019","twentyone",21,"ruambulooʔaso","ruambulooaso","","false",NA,NA,NA
"22","numerals-tola1247-1-twentytwo-1","numerals-tola1247-1","Chan2019","twentytwo",22,"ruambulo oruo","ruambulooruo","","false",NA,NA,NA
"23","numerals-tola1247-1-twentythree-1","numerals-tola1247-1","Chan2019","twentythree",23,"ruambulootolu","ruambulootolu","","false",NA,NA,NA
"24","numerals-tola1247-1-twentyfour-1","numerals-tola1247-1","Chan2019","twentyfour",24,"ruambulooʔomba","ruambulooomba","","false",NA,NA,NA
"25","numerals-tola1247-1-twentyfive-1","numerals-tola1247-1","Chan2019","twentyfive",25,"ruambulo olimo","ruambuloolimo","","false",NA,NA,NA
"26","numerals-tola1247-1-twentysix-1","numerals-tola1247-1","Chan2019","twentysix",26,"ruambulooʔono","ruambulooono","","false",NA,NA,NA
