"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tomb1243-1-one-1","numerals-tomb1243-1","Chan2019","one",1,"əsa","asa","","false",NA,NA,NA
"2","numerals-tomb1243-1-two-1","numerals-tomb1243-1","Chan2019","two",2,"ʐua","zua","","false",NA,NA,NA
"3","numerals-tomb1243-1-three-1","numerals-tomb1243-1","Chan2019","three",3,"təlu","talu","","false",NA,NA,NA
"4","numerals-tomb1243-1-four-1","numerals-tomb1243-1","Chan2019","four",4,"əpat","apat","","false",NA,NA,NA
"5","numerals-tomb1243-1-five-1","numerals-tomb1243-1","Chan2019","five",5,"lima","lima","","false",NA,NA,NA
"6","numerals-tomb1243-1-six-1","numerals-tomb1243-1","Chan2019","six",6,"ənəm","anam","","false",NA,NA,NA
"7","numerals-tomb1243-1-seven-1","numerals-tomb1243-1","Chan2019","seven",7,"pitu","pitu","","false",NA,NA,NA
"8","numerals-tomb1243-1-eight-1","numerals-tomb1243-1","Chan2019","eight",8,"walu","walu","","false",NA,NA,NA
"9","numerals-tomb1243-1-nine-1","numerals-tomb1243-1","Chan2019","nine",9,"siow","siow","","false",NA,NA,NA
"10","numerals-tomb1243-1-ten-1","numerals-tomb1243-1","Chan2019","ten",10,"mapuluʔ","mapulu","","false",NA,NA,NA
"11","numerals-tomb1243-1-eleven-1","numerals-tomb1243-1","Chan2019","eleven",11,"mapuluʔ wo əsa","mapuluwoasa","","false",NA,NA,NA
"12","numerals-tomb1243-1-twelve-1","numerals-tomb1243-1","Chan2019","twelve",12,"mapuluʔ wo ʐua","mapuluwozua","","false",NA,NA,NA
"13","numerals-tomb1243-1-thirteen-1","numerals-tomb1243-1","Chan2019","thirteen",13,"mapuluʔ wo təlu","mapuluwotalu","","false",NA,NA,NA
"14","numerals-tomb1243-1-fourteen-1","numerals-tomb1243-1","Chan2019","fourteen",14,"mapuluʔ wo əpat","mapuluwoapat","","false",NA,NA,NA
"15","numerals-tomb1243-1-fifteen-1","numerals-tomb1243-1","Chan2019","fifteen",15,"mapuluʔ wo lima","mapuluwolima","","false",NA,NA,NA
"16","numerals-tomb1243-1-sixteen-1","numerals-tomb1243-1","Chan2019","sixteen",16,"mapuluʔ wo ənəm","mapuluwoanam","","false",NA,NA,NA
"17","numerals-tomb1243-1-seventeen-1","numerals-tomb1243-1","Chan2019","seventeen",17,"mapuluʔ wo pitu","mapuluwopitu","","false",NA,NA,NA
"18","numerals-tomb1243-1-eighteen-1","numerals-tomb1243-1","Chan2019","eighteen",18,"mapuluʔ wo walu","mapuluwowalu","","false",NA,NA,NA
"19","numerals-tomb1243-1-nineteen-1","numerals-tomb1243-1","Chan2019","nineteen",19,"mapuluʔ wo siow","mapuluwosiow","","false",NA,NA,NA
"20","numerals-tomb1243-1-twenty-1","numerals-tomb1243-1","Chan2019","twenty",20,"ʐua na puluʔ","zuanapulu","","false",NA,NA,NA
"21","numerals-tomb1243-1-twentyone-1","numerals-tomb1243-1","Chan2019","twentyone",21,"ʐua na puluʔ wo əsa","zuanapuluwoasa","","false",NA,NA,NA
"22","numerals-tomb1243-1-twentytwo-1","numerals-tomb1243-1","Chan2019","twentytwo",22,"ʐua na puluʔ wo ʐua","zuanapuluwozua","","false",NA,NA,NA
"23","numerals-tomb1243-1-twentythree-1","numerals-tomb1243-1","Chan2019","twentythree",23,"ʐua na puluʔ wo təlu","zuanapuluwotalu","","false",NA,NA,NA
"24","numerals-tomb1243-1-twentyfour-1","numerals-tomb1243-1","Chan2019","twentyfour",24,"ʐua na puluʔ wo əpat","zuanapuluwoapat","","false",NA,NA,NA
"25","numerals-tomb1243-1-twentyfive-1","numerals-tomb1243-1","Chan2019","twentyfive",25,"ʐua na puluʔ wo lima","zuanapuluwolima","","false",NA,NA,NA
"26","numerals-tomb1243-1-twentysix-1","numerals-tomb1243-1","Chan2019","twentysix",26,"ʐua na puluʔ wo ənəm","zuanapuluwoanam","","false",NA,NA,NA
"27","numerals-tomb1243-1-twentyseven-1","numerals-tomb1243-1","Chan2019","twentyseven",27,"ʐua na puluʔ wo pitu","zuanapuluwopitu","","false",NA,NA,NA
"28","numerals-tomb1243-1-twentyeight-1","numerals-tomb1243-1","Chan2019","twentyeight",28,"ʐua na puluʔ wo walu","zuanapuluwowalu","","false",NA,NA,NA
"29","numerals-tomb1243-1-twentynine-1","numerals-tomb1243-1","Chan2019","twentynine",29,"ʐua na puluʔ wo siow","zuanapuluwosiow","","false",NA,NA,NA
"30","numerals-tomb1243-1-thirty-1","numerals-tomb1243-1","Chan2019","thirty",30,"təlu na puluʔ","talunapulu","","false",NA,NA,NA
"31","numerals-tomb1243-1-forty-1","numerals-tomb1243-1","Chan2019","forty",40,"əpat na puluʔ","apatnapulu","","false",NA,NA,NA
"32","numerals-tomb1243-1-fifty-1","numerals-tomb1243-1","Chan2019","fifty",50,"lima na puluʔ","limanapulu","","false",NA,NA,NA
"33","numerals-tomb1243-1-sixty-1","numerals-tomb1243-1","Chan2019","sixty",60,"ənəm na puluʔ","anamnapulu","","false",NA,NA,NA
