"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-yuru1263-1-one-1","numerals-yuru1263-1","Chan2019","one",1,"ĩ̀i̥'kʰã́-CLS","iikha","-CLS (ex:  ĩ̀i̥'kʰã́ᵑɡá 'one finger', ĩ̀i̥'kʰã́ᵑɡɨ̃̄ 'masc. sg', ĩ̀i̥'kʰã́ᵑɡȭ 'fem.sg)","false",NA,NA,NA
"2","numerals-yuru1263-1-two-1","numerals-yuru1263-1","Chan2019","two",2,"pɨ'á-CLS","pia","-CLS ex: pɨ'áɡá 'two fingers', pʰɨ̃̄'ã́ɾã̄ 'two animate'","false",NA,NA,NA
"3","numerals-yuru1263-1-three-1","numerals-yuru1263-1","Chan2019","three",3,"īi̥tʰī'á CLS","iithia","CLS ex: īi̥tʰī'áɡá 'three fingers', īi̥tʰĩ̄'áɾã̄  'three animate'","false",NA,NA,NA
"4","numerals-yuru1263-1-four-1","numerals-yuru1263-1","Chan2019","four",4,"ᵐbāḁˈpʰúbīi̥sāɾi-","mbaaphubiisari","exː ᵐbāḁˈpʰúbīi̥sāɾiɡá 'four fingers', ᵐbāḁˈpʰúbīi̥sāɾã̄ 'four animate'","false",NA,NA,NA
"5","numerals-yuru1263-1-five-1","numerals-yuru1263-1","Chan2019","five",5,"ĩ̀i̥ˈkʰã́ȭo̥pʰɨ̀ɨ̥kʰɨ̀ɲɛ̃̀","iikhaoophiikhine","(inanimate)","false",NA,NA,NA
"6","numerals-yuru1263-1-five-2","numerals-yuru1263-1","Chan2019","five",5,"ĩ̀i̥ˈkʰã́ȭo̥pʰɨ̀ɨ̥kʰɨ̀ɲɨ̃̀ɾã́","iikhaoophiikhinira","(animate) 'one hand'","false",NA,NA,NA
"7","numerals-yuru1263-1-six-1","numerals-yuru1263-1","Chan2019","six",6,"ĩ̀i̥ˈkʰã́w̃ã́mṍo̥ pɛ̄ɛ̥'tʰíi̥ āḁˈpʰɛ́w̃ã̄mȭo̥ ĩ̀i̥'kʰã́ᵑɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","iikhawamoopeethiiaaphewamooiikhagaapheniipealo","(litː ' a whole hand, one finger of another' )","false",NA,NA,NA
"8","numerals-yuru1263-1-seven-1","numerals-yuru1263-1","Chan2019","seven",7,"ĩ̀i̥ˈkʰã́w̃ã́mṍo̥ pɛ̄ɛ̥'tʰíi̥ āḁˈpʰɛ́w̃ã̄mȭo̥ pɨ'áɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","iikhawamoopeethiiaaphewamoopiagaapheniipealo","(litː ' a whole hand, two fingers of another')","false",NA,NA,NA
"9","numerals-yuru1263-1-eight-1","numerals-yuru1263-1","Chan2019","eight",8,"ĩ̀i̥ˈkʰã́w̃ã́mṍo̥ pɛ̄ɛ̥'tʰíi̥ āḁˈpʰɛ́w̃ã̄mȭo̥ īi̥tʰī'áɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","iikhawamoopeethiiaaphewamooiithiagaapheniipealo","(litː ' a whole hand, three fingers of another')","false",NA,NA,NA
"10","numerals-yuru1263-1-nine-1","numerals-yuru1263-1","Chan2019","nine",9,"ĩ̀i̥ˈkʰã́w̃ã́mṍo̥ pɛ̄ɛ̥'tʰíi̥ āḁˈpʰɛ́w̃ã̄mȭo̥ ᵐbāḁˈpʰúbīi̥sāɾiɡḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","iikhawamoopeethiiaaphewamoombaaphubiisarigapheniipealo","(litː ' a whole hand, four fingers of another')","false",NA,NA,NA
"11","numerals-yuru1263-1-ten-1","numerals-yuru1263-1","Chan2019","ten",10,"pɨ̃̄ˈã́ṍo̥pʰɨ̄ɨ̥kʰɨɲɛ̃̀","piaoophiikhine","( inanimate )","false",NA,NA,NA
"12","numerals-yuru1263-1-ten-2","numerals-yuru1263-1","Chan2019","ten",10,"pɨ̃̄ˈã́ṍo̥pʰɨ̄ɨ̥kʰɨɲɨ̃̀ɾã́","piaoophiikhinira","(litː 'two hands' ) ( animate )","false",NA,NA,NA
"13","numerals-yuru1263-1-eleven-1","numerals-yuru1263-1","Chan2019","eleven",11,"pɨ̃̄ˈáw̃ã̄mõ̀o̥ pɛ̄ɛ̥'tʰíi̥ ⁿdɨ̄ɨ̥ˈpʰó ĩ̀i̥'kʰã́ᵑɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","piawamoopeethiindiiphoiikhagaapheniipealo","(litː two whole hands, one toe on the foot' )","false",NA,NA,NA
"14","numerals-yuru1263-1-twelve-1","numerals-yuru1263-1","Chan2019","twelve",12,"pɨ̃̄ˈáw̃ã̄mõ̀o̥ pɛ̄ɛ̥'tʰíi̥ ⁿdɨ̄ɨ̥ˈpʰó pɨ'áɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","piawamoopeethiindiiphopiagaapheniipealo","(litː two whole hands, two toes on the foot' )","false",NA,NA,NA
"15","numerals-yuru1263-1-thirteen-1","numerals-yuru1263-1","Chan2019","thirteen",13,"pɨ̃̄ˈáw̃ã̄mõ̀o̥ pɛ̄ɛ̥'tʰíi̥ ⁿdɨ̄ɨ̥ˈpʰó ĩ̀i̥'kʰã́ᵑɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","piawamoopeethiindiiphoiikhagaapheniipealo","(litː two whole hands, three toes on the foot' )","false",NA,NA,NA
"16","numerals-yuru1263-1-fourteen-1","numerals-yuru1263-1","Chan2019","fourteen",14,"pɨ̃̄ˈáw̃ã̄mõ̀o̥ pɛ̄ɛ̥'tʰíi̥ ⁿdɨ̄ɨ̥ˈpʰó ᵐbāḁˈpʰúbīi̥sāɾiɡḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","piawamoopeethiindiiphombaaphubiisarigapheniipealo","(litː two whole hands, four toes on the foot' )","false",NA,NA,NA
"17","numerals-yuru1263-1-fifteen-1","numerals-yuru1263-1","Chan2019","fifteen",15,"ĩ̄ɨ̥ˈkʰã́ⁿdɨ̄ɨ̥pʰōo̥kʰɨ̀ɲɛ̃̀","iikhandiiphookhine","(inanimate)","false",NA,NA,NA
"18","numerals-yuru1263-1-fifteen-2","numerals-yuru1263-1","Chan2019","fifteen",15,"ĩ̄ɨ̥ˈkʰã́ⁿdɨ̄ɨ̥pʰōo̥kʰɨ̀ɲɨ̃̀ɾã́","iikhandiiphookhinira","(animate)","false",NA,NA,NA
"19","numerals-yuru1263-1-sixteen-1","numerals-yuru1263-1","Chan2019","sixteen",16,"ãḁˈpʰɛ́dɨ̄ɨ̥pʰōo̥ĩ̀i̥'kʰã́ᵑɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","aaphediiphooiikhagaapheniipealo","(litː 'another foot, one toe' )","false",NA,NA,NA
"20","numerals-yuru1263-1-seventeen-1","numerals-yuru1263-1","Chan2019","seventeen",17,"ãḁˈpʰɛ́dɨ̄ɨ̥pʰōo̥ pɨ'áɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","aaphediiphoopiagaapheniipealo","(litː 'another foot, two toes' )","false",NA,NA,NA
"21","numerals-yuru1263-1-eighteen-1","numerals-yuru1263-1","Chan2019","eighteen",18,"ãḁˈpʰɛ́dɨ̄ɨ̥pʰōo̥ ĩ̀i̥'kʰã́ᵑɡáḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","aaphediiphooiikhagaapheniipealo","(litː 'another foot, three toes' )","false",NA,NA,NA
"22","numerals-yuru1263-1-nineteen-1","numerals-yuru1263-1","Chan2019","nineteen",19,"ãḁˈpʰɛ́dɨ̄ɨ̥pʰōo̥ ᵐbāḁˈpʰúbīi̥sāɾiɡḁ pʰɛ̃̄nĩ̄i̥ˈpɛ́alõ","aaphediiphoombaaphubiisarigapheniipealo","(litː 'another foot, four toes' )","false",NA,NA,NA
"23","numerals-yuru1263-1-twenty-1","numerals-yuru1263-1","Chan2019","twenty",20,"pɨ'ã́ȭo̥pʰɨ̄ɨ̥̀ dɨ̄ɨ̥ˈpʰóɾíi̥ ˈpɛ́ɛ̥tʰíɾóo̥","piaoophiidiiphoriipeethiroo","(litː 'two hands and feet complete' )","false",NA,NA,NA
