"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-giry1241-1-one-1","numerals-giry1241-1","Chan2019","one",1,"mosi","mosi","","false",NA,NA,NA
"2","numerals-giry1241-1-two-1","numerals-giry1241-1","Chan2019","two",2,"hiri","hiri","","false",NA,NA,NA
"3","numerals-giry1241-1-three-1","numerals-giry1241-1","Chan2019","three",3,"hahu","hahu","","false",NA,NA,NA
"4","numerals-giry1241-1-four-1","numerals-giry1241-1","Chan2019","four",4,"ine","ine","","false",NA,NA,NA
"5","numerals-giry1241-1-five-1","numerals-giry1241-1","Chan2019","five",5,"ts'ano","tsano","","false",NA,NA,NA
"6","numerals-giry1241-1-six-1","numerals-giry1241-1","Chan2019","six",6,"handahu","handahu","( 2 x  3 ) ?","false",NA,NA,NA
"7","numerals-giry1241-1-seven-1","numerals-giry1241-1","Chan2019","seven",7,"funɡahe","fungahe","","false",NA,NA,NA
"8","numerals-giry1241-1-eight-1","numerals-giry1241-1","Chan2019","eight",8,"nane","nane","","false",NA,NA,NA
"9","numerals-giry1241-1-nine-1","numerals-giry1241-1","Chan2019","nine",9,"chenda","chenda","","false",NA,NA,NA
"10","numerals-giry1241-1-ten-1","numerals-giry1241-1","Chan2019","ten",10,"kumi","kumi","","false",NA,NA,NA
"11","numerals-giry1241-1-eleven-1","numerals-giry1241-1","Chan2019","eleven",11,"kumi na mwenɡa","kuminamwenga","","false",NA,NA,NA
"12","numerals-giry1241-1-twelve-1","numerals-giry1241-1","Chan2019","twelve",12,"kumi na mbiri","kuminambiri","","false",NA,NA,NA
"13","numerals-giry1241-1-thirteen-1","numerals-giry1241-1","Chan2019","thirteen",13,"kumi na t'ahu","kuminatahu","","false",NA,NA,NA
"14","numerals-giry1241-1-fourteen-1","numerals-giry1241-1","Chan2019","fourteen",14,"kumi na ne","kuminane","","false",NA,NA,NA
"15","numerals-giry1241-1-fifteen-1","numerals-giry1241-1","Chan2019","fifteen",15,"kumi na ts'ano","kuminatsano","","false",NA,NA,NA
"16","numerals-giry1241-1-sixteen-1","numerals-giry1241-1","Chan2019","sixteen",16,"kumi na t'andahu","kuminatandahu","","false",NA,NA,NA
"17","numerals-giry1241-1-seventeen-1","numerals-giry1241-1","Chan2019","seventeen",17,"kumi na mifunɡahe","kuminamifungahe","","false",NA,NA,NA
"18","numerals-giry1241-1-eighteen-1","numerals-giry1241-1","Chan2019","eighteen",18,"kumi na nane","kuminanane","","false",NA,NA,NA
"19","numerals-giry1241-1-nineteen-1","numerals-giry1241-1","Chan2019","nineteen",19,"kumi na chenda","kuminachenda","","false",NA,NA,NA
"20","numerals-giry1241-1-twenty-1","numerals-giry1241-1","Chan2019","twenty",20,"mironɡo miri","mirongomiri","","false",NA,NA,NA
"21","numerals-giry1241-1-twentyone-1","numerals-giry1241-1","Chan2019","twentyone",21,"mironɡo miri na mwenɡa","mirongomirinamwenga","","false",NA,NA,NA
