"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-empl1237-1-one-1","numerals-empl1237-1","Chan2019","one",1,"mɛt","met","","false",NA,NA,NA
"2","numerals-empl1237-1-two-1","numerals-empl1237-1","Chan2019","two",2,"'wuru","wuru","","false",NA,NA,NA
"3","numerals-empl1237-1-three-1","numerals-empl1237-1","Chan2019","three",3,"'wokɛl","wokel","","false",NA,NA,NA
"4","numerals-empl1237-1-four-1","numerals-empl1237-1","Chan2019","four",4,"'βiɛk","biek","","false",NA,NA,NA
"5","numerals-empl1237-1-five-1","numerals-empl1237-1","Chan2019","five",5,"wo'lim","wolim","","false",NA,NA,NA
"6","numerals-empl1237-1-six-1","numerals-empl1237-1","Chan2019","six",6,"wo'lɛm","wolem","","false",NA,NA,NA
"7","numerals-empl1237-1-seven-1","numerals-empl1237-1","Chan2019","seven",7,"wo'ik","woik","","false",NA,NA,NA
"8","numerals-empl1237-1-eight-1","numerals-empl1237-1","Chan2019","eight",8,"wo'auw","woauw","","false",NA,NA,NA
"9","numerals-empl1237-1-nine-1","numerals-empl1237-1","Chan2019","nine",9,"re'ɛr","reer","","false",NA,NA,NA
"10","numerals-empl1237-1-ten-1","numerals-empl1237-1","Chan2019","ten",10,"'wuki","wuki","","false",NA,NA,NA
"11","numerals-empl1237-1-hundred-1","numerals-empl1237-1","Chan2019","hundred",100,"'raiː","rai","","false",NA,NA,NA
"12","numerals-empl1237-1-thousand-1","numerals-empl1237-1","Chan2019","thousand",1000,"'rivale","rivale","","false",NA,NA,NA
