"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-puka1242-1-one-1","numerals-puka1242-1","Chan2019","one",1,"taði","tadi","","false",NA,NA,NA
"2","numerals-puka1242-1-one-2","numerals-puka1242-1","Chan2019","one",1,"tai","tai","","false",NA,NA,NA
"3","numerals-puka1242-1-two-1","numerals-puka1242-1","Chan2019","two",2,"lua","lua","","false",NA,NA,NA
"4","numerals-puka1242-1-three-1","numerals-puka1242-1","Chan2019","three",3,"tolu","tolu","","false",NA,NA,NA
"5","numerals-puka1242-1-four-1","numerals-puka1242-1","Chan2019","four",4,"waː","wa","","false",NA,NA,NA
"6","numerals-puka1242-1-five-1","numerals-puka1242-1","Chan2019","five",5,"lima","lima","","false",NA,NA,NA
"7","numerals-puka1242-1-six-1","numerals-puka1242-1","Chan2019","six",6,"ono","ono","","false",NA,NA,NA
"8","numerals-puka1242-1-seven-1","numerals-puka1242-1","Chan2019","seven",7,"witu","witu","","false",NA,NA,NA
"9","numerals-puka1242-1-eight-1","numerals-puka1242-1","Chan2019","eight",8,"valu","valu","","false",NA,NA,NA
"10","numerals-puka1242-1-nine-1","numerals-puka1242-1","Chan2019","nine",9,"iva","iva","","false",NA,NA,NA
"11","numerals-puka1242-1-ten-1","numerals-puka1242-1","Chan2019","ten",10,"lauŋaulu","laungaulu","","false",NA,NA,NA
"12","numerals-puka1242-1-ten-2","numerals-puka1242-1","Chan2019","ten",10,"aŋaulu","angaulu","[archaic] *","false",NA,NA,NA
"13","numerals-puka1242-1-ten-3","numerals-puka1242-1","Chan2019","ten",10,"ðeːpulupulu","depulupulu","'ten coconuts (counted in pairs)'","false",NA,NA,NA
"14","numerals-puka1242-1-ten-4","numerals-puka1242-1","Chan2019","ten",10,"tinoangulu","tinoangulu","","false",NA,NA,NA
"15","numerals-puka1242-1-eleven-1","numerals-puka1242-1","Chan2019","eleven",11,"lauŋaulu ma tai","laungaulumatai","","false",NA,NA,NA
"16","numerals-puka1242-1-twelve-1","numerals-puka1242-1","Chan2019","twelve",12,"lauŋaulu ma lua","laungaulumalua","","false",NA,NA,NA
