"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-sapo1253-1-one-1","numerals-sapo1253-1","Chan2019","one",1,"sen","sen","","false",NA,NA,NA
"2","numerals-sapo1253-1-two-1","numerals-sapo1253-1","Chan2019","two",2,"fuan","fuan","","false",NA,NA,NA
"3","numerals-sapo1253-1-three-1","numerals-sapo1253-1","Chan2019","three",3,"fopis","fopis","","false",NA,NA,NA
"4","numerals-sapo1253-1-four-1","numerals-sapo1253-1","Chan2019","four",4,"fat͡s","fats","","false",NA,NA,NA
"5","numerals-sapo1253-1-five-1","numerals-sapo1253-1","Chan2019","five",5,"ŋim","ngim","","false",NA,NA,NA
"6","numerals-sapo1253-1-six-1","numerals-sapo1253-1","Chan2019","six",6,"aunom","aunom","","false",NA,NA,NA
"7","numerals-sapo1253-1-seven-1","numerals-sapo1253-1","Chan2019","seven",7,"fit͡s","fits","","false",NA,NA,NA
"8","numerals-sapo1253-1-eight-1","numerals-sapo1253-1","Chan2019","eight",8,"d͡ʒian","dzian","","false",NA,NA,NA
"9","numerals-sapo1253-1-nine-1","numerals-sapo1253-1","Chan2019","nine",9,"sia","sia","","false",NA,NA,NA
"10","numerals-sapo1253-1-ten-1","numerals-sapo1253-1","Chan2019","ten",10,"safunuː","safunu","","false",NA,NA,NA
"11","numerals-sapo1253-1-eleven-1","numerals-sapo1253-1","Chan2019","eleven",11,"safunuː ana isen","safunuanaisen","","false",NA,NA,NA
"12","numerals-sapo1253-1-twelve-1","numerals-sapo1253-1","Chan2019","twelve",12,"safunuː ana fuan","safunuanafuan","","false",NA,NA,NA
"13","numerals-sapo1253-1-thirteen-1","numerals-sapo1253-1","Chan2019","thirteen",13,"safunuː ana fopis","safunuanafopis","","false",NA,NA,NA
"14","numerals-sapo1253-1-fourteen-1","numerals-sapo1253-1","Chan2019","fourteen",14,"safunuː ana fat͡s","safunuanafats","","false",NA,NA,NA
"15","numerals-sapo1253-1-fifteen-1","numerals-sapo1253-1","Chan2019","fifteen",15,"safunuː ana ŋim","safunuanangim","","false",NA,NA,NA
"16","numerals-sapo1253-1-sixteen-1","numerals-sapo1253-1","Chan2019","sixteen",16,"safunuː ana aunom","safunuanaaunom","","false",NA,NA,NA
"17","numerals-sapo1253-1-seventeen-1","numerals-sapo1253-1","Chan2019","seventeen",17,"safunuː ana fit͡s","safunuanafits","","false",NA,NA,NA
"18","numerals-sapo1253-1-eighteen-1","numerals-sapo1253-1","Chan2019","eighteen",18,"safunuː ana d͡ʒian","safunuanadzian","","false",NA,NA,NA
"19","numerals-sapo1253-1-nineteen-1","numerals-sapo1253-1","Chan2019","nineteen",19,"safunuː ana sia","safunuanasia","","false",NA,NA,NA
"20","numerals-sapo1253-1-twenty-1","numerals-sapo1253-1","Chan2019","twenty",20,"fuan safunuː","fuansafunu","","false",NA,NA,NA
"21","numerals-sapo1253-1-twentyone-1","numerals-sapo1253-1","Chan2019","twentyone",21,"fuan safunuː ana isen","fuansafunuanaisen","","false",NA,NA,NA
"22","numerals-sapo1253-1-twentytwo-1","numerals-sapo1253-1","Chan2019","twentytwo",22,"fuan safunuː ana fuan","fuansafunuanafuan","","false",NA,NA,NA
"23","numerals-sapo1253-1-twentythree-1","numerals-sapo1253-1","Chan2019","twentythree",23,"fuan safunuː ana fopis","fuansafunuanafopis","","false",NA,NA,NA
"24","numerals-sapo1253-1-twentyfour-1","numerals-sapo1253-1","Chan2019","twentyfour",24,"fuan safunuː ana fat͡s","fuansafunuanafats","","false",NA,NA,NA
"25","numerals-sapo1253-1-twentyfive-1","numerals-sapo1253-1","Chan2019","twentyfive",25,"fuan safunuː ana ŋim","fuansafunuanangim","","false",NA,NA,NA
"26","numerals-sapo1253-1-twentysix-1","numerals-sapo1253-1","Chan2019","twentysix",26,"fuan safunuː ana aunom","fuansafunuanaaunom","","false",NA,NA,NA
"27","numerals-sapo1253-1-twentyseven-1","numerals-sapo1253-1","Chan2019","twentyseven",27,"fuan safunuː ana fit͡s","fuansafunuanafits","","false",NA,NA,NA
"28","numerals-sapo1253-1-twentyeight-1","numerals-sapo1253-1","Chan2019","twentyeight",28,"fuan safunuː ana d͡ʒian","fuansafunuanadzian","","false",NA,NA,NA
"29","numerals-sapo1253-1-twentynine-1","numerals-sapo1253-1","Chan2019","twentynine",29,"fuan safunuː ana sia","fuansafunuanasia","","false",NA,NA,NA
"30","numerals-sapo1253-1-thirty-1","numerals-sapo1253-1","Chan2019","thirty",30,"fopis safunuː","fopissafunu","","false",NA,NA,NA
"31","numerals-sapo1253-1-forty-1","numerals-sapo1253-1","Chan2019","forty",40,"fat͡s safunuː","fatssafunu","","false",NA,NA,NA
"32","numerals-sapo1253-1-fifty-1","numerals-sapo1253-1","Chan2019","fifty",50,"ŋim safunuː","ngimsafunu","","false",NA,NA,NA
"33","numerals-sapo1253-1-sixty-1","numerals-sapo1253-1","Chan2019","sixty",60,"aunom safunuː","aunomsafunu","","false",NA,NA,NA
"34","numerals-sapo1253-1-seventy-1","numerals-sapo1253-1","Chan2019","seventy",70,"fit͡s safunuː","fitssafunu","","false",NA,NA,NA
"35","numerals-sapo1253-1-eighty-1","numerals-sapo1253-1","Chan2019","eighty",80,"d͡ʒian safunuː","dziansafunu","","false",NA,NA,NA
"36","numerals-sapo1253-1-ninety-1","numerals-sapo1253-1","Chan2019","ninety",90,"sia safunuː","siasafunu","","false",NA,NA,NA
"37","numerals-sapo1253-1-hundred-1","numerals-sapo1253-1","Chan2019","hundred",100,"sen natus","sennatus","","false",NA,NA,NA
"38","numerals-sapo1253-1-twohundred-1","numerals-sapo1253-1","Chan2019","twohundred",200,"fuan natus","fuannatus","","false",NA,NA,NA
"39","numerals-sapo1253-1-thousand-1","numerals-sapo1253-1","Chan2019","thousand",1000,"sen tapan","sentapan","","false",NA,NA,NA
"40","numerals-sapo1253-1-twothousand-1","numerals-sapo1253-1","Chan2019","twothousand",2000,"fuan tapan","fuantapan","","false",NA,NA,NA
