"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-sowa1244-1-one-1","numerals-sowa1244-1","Chan2019","one",1,"tuwal","tuwal","","false",NA,NA,NA
"2","numerals-sowa1244-1-one-2","numerals-sowa1244-1","Chan2019","one",1,"izuwal","izuwal","","false",NA,NA,NA
"3","numerals-sowa1244-1-two-1","numerals-sowa1244-1","Chan2019","two",2,"iru","iru","","false",NA,NA,NA
"4","numerals-sowa1244-1-three-1","numerals-sowa1244-1","Chan2019","three",3,"izol","izol","","false",NA,NA,NA
"5","numerals-sowa1244-1-four-1","numerals-sowa1244-1","Chan2019","four",4,"iβet","ibet","","false",NA,NA,NA
"6","numerals-sowa1244-1-five-1","numerals-sowa1244-1","Chan2019","five",5,"ilim","ilim","","false",NA,NA,NA
"7","numerals-sowa1244-1-six-1","numerals-sowa1244-1","Chan2019","six",6,"lowal","lowal","( 5 + 1 )","false",NA,NA,NA
"8","numerals-sowa1244-1-seven-1","numerals-sowa1244-1","Chan2019","seven",7,"lewru","lewru","( 5 + 2 )","false",NA,NA,NA
"9","numerals-sowa1244-1-eight-1","numerals-sowa1244-1","Chan2019","eight",8,"leptol","leptol","( 5 + 3 )","false",NA,NA,NA
"10","numerals-sowa1244-1-nine-1","numerals-sowa1244-1","Chan2019","nine",9,"lakpat","lakpat","( 5 + 4 )","false",NA,NA,NA
"11","numerals-sowa1244-1-ten-1","numerals-sowa1244-1","Chan2019","ten",10,"sɛbrɛnɔk","sebrenok","","false",NA,NA,NA
"12","numerals-sowa1244-1-eleven-1","numerals-sowa1244-1","Chan2019","eleven",11,"sɛbrɛnɔk nan izuwal","sebrenoknanizuwal","","false",NA,NA,NA
"13","numerals-sowa1244-1-twelve-1","numerals-sowa1244-1","Chan2019","twelve",12,"sɛbrɛnɔk nan iru","sebrenoknaniru","","false",NA,NA,NA
"14","numerals-sowa1244-1-thirteen-1","numerals-sowa1244-1","Chan2019","thirteen",13,"sɛbrɛnɔk nan izol","sebrenoknanizol","","false",NA,NA,NA
"15","numerals-sowa1244-1-fourteen-1","numerals-sowa1244-1","Chan2019","fourteen",14,"sɛbrɛnɔk nan iβet","sebrenoknanibet","","false",NA,NA,NA
"16","numerals-sowa1244-1-fifteen-1","numerals-sowa1244-1","Chan2019","fifteen",15,"sɛbrɛnɔk nan ilim","sebrenoknanilim","","false",NA,NA,NA
"17","numerals-sowa1244-1-sixteen-1","numerals-sowa1244-1","Chan2019","sixteen",16,"sɛbrɛnɔk nan lowal","sebrenoknanlowal","","false",NA,NA,NA
"18","numerals-sowa1244-1-seventeen-1","numerals-sowa1244-1","Chan2019","seventeen",17,"sɛbrɛnɔk nan lewru","sebrenoknanlewru","","false",NA,NA,NA
"19","numerals-sowa1244-1-eighteen-1","numerals-sowa1244-1","Chan2019","eighteen",18,"sɛbrɛnɔk nan leptol","sebrenoknanleptol","","false",NA,NA,NA
"20","numerals-sowa1244-1-nineteen-1","numerals-sowa1244-1","Chan2019","nineteen",19,"sɛbrɛnɔk nan lakpat","sebrenoknanlakpat","","false",NA,NA,NA
"21","numerals-sowa1244-1-twenty-1","numerals-sowa1244-1","Chan2019","twenty",20,"mawul iru","mawuliru","","false",NA,NA,NA
"22","numerals-sowa1244-1-twentyone-1","numerals-sowa1244-1","Chan2019","twentyone",21,"mawul iru nan izuwal","mawulirunanizuwal","","false",NA,NA,NA
"23","numerals-sowa1244-1-twentytwo-1","numerals-sowa1244-1","Chan2019","twentytwo",22,"mawul iru nan iru","mawulirunaniru","","false",NA,NA,NA
"24","numerals-sowa1244-1-twentythree-1","numerals-sowa1244-1","Chan2019","twentythree",23,"mawul iru nan izol","mawulirunanizol","","false",NA,NA,NA
"25","numerals-sowa1244-1-twentyfour-1","numerals-sowa1244-1","Chan2019","twentyfour",24,"mawul iru nan iβet","mawulirunanibet","","false",NA,NA,NA
"26","numerals-sowa1244-1-twentyfive-1","numerals-sowa1244-1","Chan2019","twentyfive",25,"mawul iru nan ilim","mawulirunanilim","","false",NA,NA,NA
"27","numerals-sowa1244-1-twentysix-1","numerals-sowa1244-1","Chan2019","twentysix",26,"mawul iru nan lowal","mawulirunanlowal","","false",NA,NA,NA
"28","numerals-sowa1244-1-twentyseven-1","numerals-sowa1244-1","Chan2019","twentyseven",27,"mawul iru nan lewru","mawulirunanlewru","","false",NA,NA,NA
"29","numerals-sowa1244-1-twentyeight-1","numerals-sowa1244-1","Chan2019","twentyeight",28,"mawul iru nan leptol","mawulirunanleptol","","false",NA,NA,NA
"30","numerals-sowa1244-1-twentynine-1","numerals-sowa1244-1","Chan2019","twentynine",29,"mawul iru nan lakpat","mawulirunanlakpat","","false",NA,NA,NA
"31","numerals-sowa1244-1-thirty-1","numerals-sowa1244-1","Chan2019","thirty",30,"mawul izol","mawulizol","","false",NA,NA,NA
"32","numerals-sowa1244-1-forty-1","numerals-sowa1244-1","Chan2019","forty",40,"mawul iβet","mawulibet","","false",NA,NA,NA
"33","numerals-sowa1244-1-fifty-1","numerals-sowa1244-1","Chan2019","fifty",50,"mawul ilim","mawulilim","","false",NA,NA,NA
"34","numerals-sowa1244-1-sixty-1","numerals-sowa1244-1","Chan2019","sixty",60,"mawul lowal","mawullowal","","false",NA,NA,NA
"35","numerals-sowa1244-1-seventy-1","numerals-sowa1244-1","Chan2019","seventy",70,"mawul lewru","mawullewru","","false",NA,NA,NA
"36","numerals-sowa1244-1-eighty-1","numerals-sowa1244-1","Chan2019","eighty",80,"mawul leptol","mawulleptol","","false",NA,NA,NA
"37","numerals-sowa1244-1-ninety-1","numerals-sowa1244-1","Chan2019","ninety",90,"mawul lakpat","mawullakpat","","false",NA,NA,NA
"38","numerals-sowa1244-1-hundred-1","numerals-sowa1244-1","Chan2019","hundred",100,"mawul sɛbrɛnɔk","mawulsebrenok","","false",NA,NA,NA
"39","numerals-sowa1244-1-hundred-2","numerals-sowa1244-1","Chan2019","hundred",100,"arob izuwal","arobizuwal","","false",NA,NA,NA
"40","numerals-sowa1244-1-twohundred-1","numerals-sowa1244-1","Chan2019","twohundred",200,"arob iru","arobiru","?","false",NA,NA,NA
"41","numerals-sowa1244-1-thousand-1","numerals-sowa1244-1","Chan2019","thousand",1000,"v atar izuwal","vatarizuwal","?","false",NA,NA,NA
"42","numerals-sowa1244-1-twothousand-1","numerals-sowa1244-1","Chan2019","twothousand",2000,"v atar iru","vatariru","?","false",NA,NA,NA
