"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-hixk1239-1-one-1","numerals-hixk1239-1","Chan2019","one",1,"towenyxa","towenyxa","","false",NA,NA,NA
"2","numerals-hixk1239-1-one-2","numerals-hixk1239-1","Chan2019","one",1,"tɔweɲʃæ","towensae","","false",NA,NA,NA
"3","numerals-hixk1239-1-two-1","numerals-hixk1239-1","Chan2019","two",2,"asako","asako","","false",NA,NA,NA
"4","numerals-hixk1239-1-two-2","numerals-hixk1239-1","Chan2019","two",2,"æsækɔ","aesaeko","","false",NA,NA,NA
"5","numerals-hixk1239-1-three-1","numerals-hixk1239-1","Chan2019","three",3,"osorwawo","osorwawo","","false",NA,NA,NA
"6","numerals-hixk1239-1-three-2","numerals-hixk1239-1","Chan2019","three",3,"ɔsɔɾwæwɔ","osorwaewo","","false",NA,NA,NA
"7","numerals-hixk1239-1-four-1","numerals-hixk1239-1","Chan2019","four",4,"towtɨnke rye","towtinkerye","","false",NA,NA,NA
"8","numerals-hixk1239-1-four-2","numerals-hixk1239-1","Chan2019","four",4,"tɔwtɯnke ɾ̨e","towtwnkere","","false",NA,NA,NA
"9","numerals-hixk1239-1-five-1","numerals-hixk1239-1","Chan2019","five",5,"kamorɨ ɨrakayo me","kamoriirakayome","","false",NA,NA,NA
"10","numerals-hixk1239-1-five-2","numerals-hixk1239-1","Chan2019","five",5,"kæmɔɾɯ ɯɾækæyɔ","kaemorwwraekaeyo","","false",NA,NA,NA
"11","numerals-hixk1239-1-ten-1","numerals-hixk1239-1","Chan2019","ten",10,"kamothɨrɨ tkatxehkaxe ro","kamothiritkatxehkaxero","","false",NA,NA,NA
"12","numerals-hixk1239-1-ten-2","numerals-hixk1239-1","Chan2019","ten",10,"kæmɔɾɯ","kaemorw","","false",NA,NA,NA
