"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-toto1305-1-one-1","numerals-toto1305-1","Chan2019","one",1,"tuʔuk","tuuk","","false",NA,NA,NA
"2","numerals-toto1305-1-two-1","numerals-toto1305-1","Chan2019","two",2,"mææht͡sk","maeaehtsk","","false",NA,NA,NA
"3","numerals-toto1305-1-three-1","numerals-toto1305-1","Chan2019","three",3,"tɨkɨɨk","tikiik","","false",NA,NA,NA
"4","numerals-toto1305-1-four-1","numerals-toto1305-1","Chan2019","four",4,"taʃk","task","","false",NA,NA,NA
"5","numerals-toto1305-1-five-1","numerals-toto1305-1","Chan2019","five",5,"mɨkoʃk","mikosk","","false",NA,NA,NA
"6","numerals-toto1305-1-six-1","numerals-toto1305-1","Chan2019","six",6,"tɨtuuhk","tituuhk","","false",NA,NA,NA
"7","numerals-toto1305-1-seven-1","numerals-toto1305-1","Chan2019","seven",7,"hʃtuuhk","hstuuhk","","false",NA,NA,NA
"8","numerals-toto1305-1-eight-1","numerals-toto1305-1","Chan2019","eight",8,"tuktuuhk","tuktuuhk","","false",NA,NA,NA
"9","numerals-toto1305-1-nine-1","numerals-toto1305-1","Chan2019","nine",9,"taʃtuuhk","tastuuhk","","false",NA,NA,NA
"10","numerals-toto1305-1-ten-1","numerals-toto1305-1","Chan2019","ten",10,"maahk","maahk","","false",NA,NA,NA
"11","numerals-toto1305-1-eleven-1","numerals-toto1305-1","Chan2019","eleven",11,"maahktuʔuk","maahktuuk","","false",NA,NA,NA
"12","numerals-toto1305-1-twelve-1","numerals-toto1305-1","Chan2019","twelve",12,"mamææht͡sk","mamaeaehtsk","","false",NA,NA,NA
"13","numerals-toto1305-1-thirteen-1","numerals-toto1305-1","Chan2019","thirteen",13,"maahktɨkɨɨk","maahktikiik","","false",NA,NA,NA
"14","numerals-toto1305-1-fourteen-1","numerals-toto1305-1","Chan2019","fourteen",14,"mamaahkts","mamaahkts","","false",NA,NA,NA
"15","numerals-toto1305-1-fifteen-1","numerals-toto1305-1","Chan2019","fifteen",15,"mamokʃ","mamoks","","false",NA,NA,NA
"16","numerals-toto1305-1-sixteen-1","numerals-toto1305-1","Chan2019","sixteen",16,"mamokʃtuʔuk","mamokstuuk","( 15 + 1 )","false",NA,NA,NA
"17","numerals-toto1305-1-seventeen-1","numerals-toto1305-1","Chan2019","seventeen",17,"mamokʃmææht͡sk","mamoksmaeaehtsk","( 15 + 2 )","false",NA,NA,NA
"18","numerals-toto1305-1-eighteen-1","numerals-toto1305-1","Chan2019","eighteen",18,"mamokʃtɨkɨɨk","mamokstikiik","( 15 + 3 )","false",NA,NA,NA
"19","numerals-toto1305-1-nineteen-1","numerals-toto1305-1","Chan2019","nineteen",19,"mamokʃmataʃk","mamoksmatask","( 15 + 4 )","false",NA,NA,NA
"20","numerals-toto1305-1-twenty-1","numerals-toto1305-1","Chan2019","twenty",20,"iʔpʃ","ips","","false",NA,NA,NA
"21","numerals-toto1305-1-twentyone-1","numerals-toto1305-1","Chan2019","twentyone",21,"iʔpʃtuʔuk","ipstuuk","","false",NA,NA,NA
"22","numerals-toto1305-1-twentytwo-1","numerals-toto1305-1","Chan2019","twentytwo",22,"iʔpʃmææht͡sk","ipsmaeaehtsk","","false",NA,NA,NA
"23","numerals-toto1305-1-twentythree-1","numerals-toto1305-1","Chan2019","twentythree",23,"iʔpʃtɨkɨɨk","ipstikiik","","false",NA,NA,NA
"24","numerals-toto1305-1-twentyfour-1","numerals-toto1305-1","Chan2019","twentyfour",24,"iʔpʃtaʃk","ipstask","","false",NA,NA,NA
"25","numerals-toto1305-1-twentyfive-1","numerals-toto1305-1","Chan2019","twentyfive",25,"iʔpʃmɨkoʃk","ipsmikosk","","false",NA,NA,NA
"26","numerals-toto1305-1-twentysix-1","numerals-toto1305-1","Chan2019","twentysix",26,"iʔpʃtɨtuuhk","ipstituuhk","","false",NA,NA,NA
"27","numerals-toto1305-1-twentyseven-1","numerals-toto1305-1","Chan2019","twentyseven",27,"iʔpʃhʃtuuhk","ipshstuuhk","","false",NA,NA,NA
"28","numerals-toto1305-1-twentyeight-1","numerals-toto1305-1","Chan2019","twentyeight",28,"iʔpʃtuktuuhk","ipstuktuuhk","","false",NA,NA,NA
"29","numerals-toto1305-1-twentynine-1","numerals-toto1305-1","Chan2019","twentynine",29,"iʔpʃtaʃtuuhk","ipstastuuhk","","false",NA,NA,NA
"30","numerals-toto1305-1-thirty-1","numerals-toto1305-1","Chan2019","thirty",30,"iʔpʃmaahk","ipsmaahk","","false",NA,NA,NA
"31","numerals-toto1305-1-forty-1","numerals-toto1305-1","Chan2019","forty",40,"hʃiiksʲ","hsiiksj","( 2 x 20 )","false",NA,NA,NA
"32","numerals-toto1305-1-fifty-1","numerals-toto1305-1","Chan2019","fifty",50,"hʃiiksʲmaahk","hsiiksjmaahk","","false",NA,NA,NA
"33","numerals-toto1305-1-sixty-1","numerals-toto1305-1","Chan2019","sixty",60,"tɨkɨʔpʃ","tikips","( 3 x 20 )","false",NA,NA,NA
"34","numerals-toto1305-1-seventy-1","numerals-toto1305-1","Chan2019","seventy",70,"tɨkɨʔpʃmaahk","tikipsmaahk","","false",NA,NA,NA
"35","numerals-toto1305-1-eighty-1","numerals-toto1305-1","Chan2019","eighty",80,"mataʔpʃ","mataps","( 4 x 20 )","false",NA,NA,NA
"36","numerals-toto1305-1-ninety-1","numerals-toto1305-1","Chan2019","ninety",90,"mataʔpʃmaahk","matapsmaahk","","false",NA,NA,NA
"37","numerals-toto1305-1-hundred-1","numerals-toto1305-1","Chan2019","hundred",100,"mɨkoʔpʃ","mikops","( 5 x 20 )","false",NA,NA,NA
"38","numerals-toto1305-1-twohundred-1","numerals-toto1305-1","Chan2019","twohundred",200,"mææhtskmɨkoʔpʃ","maeaehtskmikops","","false",NA,NA,NA
"39","numerals-toto1305-1-thousand-1","numerals-toto1305-1","Chan2019","thousand",1000,"mil","mil","( from Spanish )","false",NA,NA,NA
"40","numerals-toto1305-1-twothousand-1","numerals-toto1305-1","Chan2019","twothousand",2000,"mææhtsk mil","maeaehtskmil","(?) - not yet elicited","false",NA,NA,NA
