"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-binu1245-1-one-1","numerals-binu1245-1","Chan2019","one",1,"mɔːʔdáː","moda","(litː ''one'')","false",NA,NA,NA
"2","numerals-binu1245-1-two-1","numerals-binu1245-1","Chan2019","two",2,"ʔaːɽɐʔɐ́ndɐ","araanda","(litː ''two'')","false",NA,NA,NA
"3","numerals-binu1245-1-three-1","numerals-binu1245-1","Chan2019","three",3,"ʔaːɽɐʔɐndɐ ɸɐ́ʔɐ mɔːʔdáː ɸɐ́ʔɐ","araandafaamodafaa","(litː ''two plus one plus'')","false",NA,NA,NA
"4","numerals-binu1245-1-four-1","numerals-binu1245-1","Chan2019","four",4,"ʔaːɽɐʔɐ́ndɐ ɸɐ́ʔɐ ʔaːɽɐʔɐńdɐ ɸɐ́ʔɐ","araandafaaaraandafaa","(litː ''two plus two plus'')","false",NA,NA,NA
"5","numerals-binu1245-1-five-1","numerals-binu1245-1","Chan2019","five",5,"mɔːʔdáːnːɐi ʔísɐukːu tɐikːɐ́sɛː","modanaiisaukutaikase","(litː ''one with my-hand - finished'')","false",NA,NA,NA
"6","numerals-binu1245-1-six-1","numerals-binu1245-1","Chan2019","six",6,"mɔːʔdáːnːɐi ʔísɐukːu tɐikːɐ́sɛː ʔdíːnːi ɐni mɔːʔdáː mɐɽɐsɛ́ː","modanaiisaukutaikasedinianimodamarase","[litː ''one with - my-hand - finished- other (hand) - come along - one - take'']","false",NA,NA,NA
"7","numerals-binu1245-1-seven-1","numerals-binu1245-1","Chan2019","seven",7,"mɔːʔdáːnːɐi ʔísɐukːu tɐikːɐ́sɛː ʔdíːnːi ɐni ʔaːɽɐʔɐ́ndɐ mɐɽɐsɛ́ː","modanaiisaukutaikasedinianiaraandamarase","","false",NA,NA,NA
"8","numerals-binu1245-1-eight-1","numerals-binu1245-1","Chan2019","eight",8,"mɔːʔdáːnːɐi ʔísɐukːu tɐikːɐ́sɛː ʔdíːnːi ɐni ʔaːɽɐʔɐndɐ ɸɐ́ʔɐ mɔːʔdáː ɸɐ́ʔɐ mɐɽɐsɛ́ː","modanaiisaukutaikasedinianiaraandafaamodafaamarase","","false",NA,NA,NA
"9","numerals-binu1245-1-nine-1","numerals-binu1245-1","Chan2019","nine",9,"mɔːʔdáːnːɐi ʔísɐukːu tɐikːɐ́sɛː ʔdíːnːi ɐni ʔaːɽɐʔɐ́ndɐ ɸɐ́ʔɐ ʔaːɽɐʔɐńdɐ ɸɐ́ʔɐ mɐɽɐsɛ́ː","modanaiisaukutaikasedinianiaraandafaaaraandafaamarase","","false",NA,NA,NA
"10","numerals-binu1245-1-ten-1","numerals-binu1245-1","Chan2019","ten",10,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː","isaukuarataikase","(litː ''my hands two - finished'' )","false",NA,NA,NA
"11","numerals-binu1245-1-eleven-1","numerals-binu1245-1","Chan2019","eleven",11,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu mɔːʔdáː mɐɽɐsɛ́ː","isaukuarataikaseikunooumodamarase","(litː ''my-hands -finished- my foot with -down- one - take'' ]","false",NA,NA,NA
"12","numerals-binu1245-1-twelve-1","numerals-binu1245-1","Chan2019","twelve",12,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔaːɽɐʔɐ́ndɐ mɐɽɐsɛ́ː","isaukuarataikaseikunoouaraandamarase","","false",NA,NA,NA
"13","numerals-binu1245-1-thirteen-1","numerals-binu1245-1","Chan2019","thirteen",13,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔaːɽɐʔɐndɐ ɸɐ́ʔɐ mɔːʔdáː ɸɐ́ʔɐ mɐɽɐsɛ́ː","isaukuarataikaseikunoouaraandafaamodafaamarase","","false",NA,NA,NA
"14","numerals-binu1245-1-fourteen-1","numerals-binu1245-1","Chan2019","fourteen",14,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔaːɽɐʔɐ́ndɐ ɸɐ́ʔɐ ʔaːɽɐʔɐńdɐ ɸɐ́ʔɐ mɐɽɐsɛ́ː","isaukuarataikaseikunoouaraandafaaaraandafaamarase","","false",NA,NA,NA
"15","numerals-binu1245-1-fifteen-1","numerals-binu1245-1","Chan2019","fifteen",15,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔdínːi tɐikːɐ́sɛː","isaukuarataikaseikunooudinitaikase","","false",NA,NA,NA
"16","numerals-binu1245-1-seventeen-1","numerals-binu1245-1","Chan2019","seventeen",17,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔdínːi tɐikːɐ́sɛː ʔdínːi ɐni ʔaːɽɐʔɐ́ndɐ mɐɽɐsɛ́ː","isaukuarataikaseikunooudinitaikasedinianiaraandamarase","","false",NA,NA,NA
"17","numerals-binu1245-1-eighteen-1","numerals-binu1245-1","Chan2019","eighteen",18,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔdínːi tɐikːɐ́sɛː ʔdínːi ɐni ʔaːɽɐʔɐndɐ ɸɐ́ʔɐ","isaukuarataikaseikunooudinitaikasedinianiaraandafaa","( mɔːʔdáː ɸɐ́ʔɐ mɐɽɐsɛ́ː)","false",NA,NA,NA
"18","numerals-binu1245-1-nineteen-1","numerals-binu1245-1","Chan2019","nineteen",19,"ʔísɐukːuʔɐɽɐ tɐikːɐ́sɛː ʔíkːunːɔː ɔːʔu ʔdínːi tɐikːɐ́sɛː ʔdínːi ɐni ʔaːɽɐʔɐ́ndɐ ɸɐ́ʔɐ","isaukuarataikaseikunooudinitaikasedinianiaraandafaa","( ʔaːɽɐʔɐńdɐ ɸɐ́ʔɐ mɐɽɐsɛ́ː)","false",NA,NA,NA
"19","numerals-binu1245-1-twenty-1","numerals-binu1245-1","Chan2019","twenty",20,"mɔːʔdáː fɐsiʔɐ ɐ́iku ɐ́sɐukːu tɐikːɐ́sɛː","modafasiaaikuasaukutaikase","[litː 'one - man - his foot (plural) - his hand (plural) -finished'']","false",NA,NA,NA
