"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-komy1238-1-one-1","numerals-komy1238-1","Chan2019","one",1,"'ɸædiʔ","faedi","","false",NA,NA,NA
"2","numerals-komy1238-1-two-1","numerals-komy1238-1","Chan2019","two",2,"mɔːmɨ'nɛ","momine","","false",NA,NA,NA
"3","numerals-komy1238-1-three-1","numerals-komy1238-1","Chan2019","three",3,"diː'ɾænɔʔ","diraeno","","false",NA,NA,NA
"4","numerals-komy1238-1-four-1","numerals-komy1238-1","Chan2019","four",4,"nɔn'dɔːwɑnɔʔ","nondowano","","false",NA,NA,NA
"5","numerals-komy1238-1-five-1","numerals-komy1238-1","Chan2019","five",5,"wæ'jænɔʔ","waejaeno","","false",NA,NA,NA
"6","numerals-komy1238-1-six-1","numerals-komy1238-1","Chan2019","six",6,"ɠɤdɯ'nɑnɔʔ","gudwnano","","false",NA,NA,NA
"7","numerals-komy1238-1-seven-1","numerals-komy1238-1","Chan2019","seven",7,"sæwɔ'l̪ænɔʔ","saewolaeno","","false",NA,NA,NA
"8","numerals-komy1238-1-eight-1","numerals-komy1238-1","Chan2019","eight",8,"bɔŋɡu'wɑnɔʔ","bongguwano","","false",NA,NA,NA
"9","numerals-komy1238-1-nine-1","numerals-komy1238-1","Chan2019","nine",9,"t͡sɑbu'wɑnɔʔ","tsabuwano","","false",NA,NA,NA
"10","numerals-komy1238-1-ten-1","numerals-komy1238-1","Chan2019","ten",10,"ʔəl̪i'wɑnɔʔ","aliwano","","false",NA,NA,NA
